unique_featureID,gene_ID,chr,start,end,strand,mean_diffsiELAVL1,mean_diffsiSam68,mean_diffsiCFIM25,mean_diff96,mean_diff72,mean_diff48,mean_diff24,mean_diff96hrs_prev,ctrl_siELAVL1,ctrl_siSam68,ctrl_siCFIM25,ctrl_96,ctrl_72,ctrl_48,ctrl_24,ctrl_96hrs_prev,condition_siELAVL1,condition_siSam68,condition_siCFIM25,condition_96,condition_72,condition_48,condition_24,condition_96hrs_prev,V5_siELAVL1,V5_siSam68,V5_siCFIM25,V5_96,V5_72,V5_48,V5_24,V5_96hrs_prev,twostep_gene_padj_siELAVL1,twostep_gene_padj_siSam68,twostep_gene_padj_siCFIM25,twostep_gene_padj_96,twostep_gene_padj_72,twostep_gene_padj_48,twostep_gene_padj_24,twostep_gene_padj_96hrs_prev,twostep_transcript_padj_siELAVL1,twostep_transcript_padj_siSam68,twostep_transcript_padj_siCFIM25,twostep_transcript_padj_96,twostep_transcript_padj_72,twostep_transcript_padj_48,twostep_transcript_padj_24,twostep_transcript_padj_96hrs_prev,lr_siELAVL1,lr_siSam68,lr_siCFIM25,lr_96,lr_72,lr_48,lr_24,lr_96hrs_prev,df_siELAVL1,df_siSam68,df_siCFIM25,df_96,df_72,df_48,df_24,df_96hrs_prev,pvalue_siELAVL1,pvalue_siSam68,pvalue_siCFIM25,pvalue_96,pvalue_72,pvalue_48,pvalue_24,pvalue_96hrs_prev,adj_pvalue_siELAVL1,adj_pvalue_siSam68,adj_pvalue_siCFIM25,adj_pvalue_96,adj_pvalue_72,adj_pvalue_48,adj_pvalue_24,adj_pvalue_96hrs_prev
DEF8_ATTAAA_chr16_start_89959364_end_89959365,DEF8_ENSG00000140995.17,chr16,89959364,89959365,+,-0.375114809,-0.127589307,-0.183626737,-0.236531693,-0.167631297,-0.167198391,0.094146766,-0.193588921,0.613296277,0.613942905,0.613181917,0.664557934,0.523829966,0.664762508,0.647873504,0.649921001,0.238181468,0.486353598,0.429555181,0.428026241,0.356198669,0.497564117,0.74202027,0.45633208,96,96,96,359,359,359,359,608,4.07e-10,0.151280354,9.92e-4,6.88e-8,2.99e-4,0.002766654,0.049257211,0.007083676,0,NA,0,0,0,0,0,0,48.76934801,4.339079452,12.33289858,32.06838318,15.34859446,11.20422538,5.777499374,9.321883368,1,1,1,1,1,1,1,1,2.88e-12,0.037247057,4.45e-4,1.49e-8,8.94e-5,8.16e-4,0.01623262,0.002264331,6.29e-10,0.176623819,0.001162974,9.75e-8,3.95e-4,0.003567148,0.059129381,0.009223256
DEF8_ATTAAA_chr16_start_89968058_end_89968059,DEF8_ENSG00000140995.17,chr16,89968058,89968059,+,0.375114809,0.127589307,0.183626737,0.236531693,0.167631297,0.167198391,-0.094146766,0.193588921,0.386703723,0.386057095,0.386818083,0.335442066,0.476170034,0.335237492,0.352126496,0.350078999,0.761818532,0.513646402,0.570444819,0.571973759,0.643801331,0.502435883,0.25797973,0.54366792,122,122,122,256,256,256,256,228,4.07e-10,0.151280354,9.92e-4,6.88e-8,2.99e-4,0.002766654,0.049257211,0.007083676,0,NA,0,0,0,0,0,0,48.76934801,4.339079452,12.33289858,32.06838318,15.34859446,11.20422538,5.777499374,9.321883368,1,1,1,1,1,1,1,1,2.88e-12,0.037247057,4.45e-4,1.49e-8,8.94e-5,8.16e-4,0.01623262,0.002264331,6.29e-10,0.176623819,0.001162974,9.75e-8,3.95e-4,0.003567148,0.059129381,0.009223256
HERC4_ATTAAA_chr10_start_68070169_end_68070170,HERC4_ENSG00000148634.16,chr10,68070169,68070170,-,0.214248784,0.209729111,-0.040581688,-0.181580736,-0.159419361,-0.201633413,-0.16213402,-0.20951985,0.126798088,0.126623747,0.126516535,0.191462876,0.185069313,0.230770719,0.211743542,0.223003296,0.341046872,0.336352858,0.085934846,0.009882141,0.025649952,0.029137306,0.049609522,0.013483446,48,48,48,32,32,32,32,33,3.74e-11,1.24e-9,2.81e-7,4.94e-38,1.13e-27,6.12e-39,2.08e-13,6.63e-19,1.59e-10,7.14e-10,0.172574645,1.04e-25,1.25e-18,1.57e-38,1.42e-11,4.97e-11,46.26166772,43.03472828,3.630162498,112.1882985,80.23164975,171.4495388,49.17282406,46.94892622,1,1,1,1,1,1,1,1,1.03e-11,5.38e-11,0.056741276,3.25e-26,3.33e-19,3.57e-39,2.34e-12,7.29e-12,2.04e-9,9.22e-9,0.090179047,9.41e-25,7.63e-18,4.93e-37,9.18e-11,1.95e-10
CPNE3_APA_chr8_start_86561411_end_86561412,CPNE3_ENSG00000085719.13,chr8,86561411,86561412,+,-0.205404842,0.04659505,-0.492748164,0.041865555,-0.082376598,-0.092577115,-0.012232228,0.049936715,0.833628661,0.834447055,0.834276916,0.770711637,0.810884084,0.753719788,0.707175965,0.773660682,0.628223818,0.881042105,0.341528752,0.812577191,0.728507486,0.661142673,0.694943737,0.823597397,218,218,218,472,472,472,472,784,7.76e-9,0.27497632,1.51e-73,0.11517902,1.08e-5,1.4e-5,0.984827689,0.380694066,9.1e-11,NA,3.73e-74,NA,3.8e-5,2.6e-6,NA,NA,45.99664616,4.666958609,332.7234418,3.828850472,20.26143947,25.72671036,0.322655125,3.398487137,1,1,1,1,1,1,1,1,1.18e-11,0.030748334,2.45e-74,0.050377472,6.75e-6,3.93e-7,0.570016364,0.065256244,2.14e-9,0.156880015,6.51e-72,0.087768377,3.75e-5,3.61e-6,0.731054105,0.143976705
SLC2A3_AATAAA_chr12_start_7919230_end_7919231,SLC2A3_ENSG00000059804.16,chr12,7919230,7919231,-,0.201122948,0.215210951,0.02327857,0.093113731,-0.033151092,0.115528319,0.110830628,6.76e-4,0.646614229,0.646896579,0.646591899,0.66698465,0.828480126,0.660945847,0.642426246,0.656486201,0.847737177,0.86210753,0.669870469,0.76009838,0.795329034,0.776474166,0.753256875,0.657162227,351,351,351,236,236,236,236,133,2.47e-9,5.57e-7,0.562213882,0.020209653,0.322356664,0.097180144,0.304188716,1,0,0,NA,0,NA,NA,NA,NA,44.89202514,33.36661348,0.47691949,6.422215625,1.411543737,3.835712407,1.85617584,1.03e-4,1,1,1,1,1,1,1,1,2.08e-11,7.63e-9,0.489820984,0.011270147,0.234800293,0.050171666,0.173066813,0.991883938,3.46e-9,7.72e-7,0.574533985,0.023940973,0.347333254,0.113365283,0.338709206,1
SLC2A3_AATAAA_chr12_start_7920548_end_7920549,SLC2A3_ENSG00000059804.16,chr12,7920548,7920549,-,-0.201122948,-0.215210951,-0.02327857,-0.093113731,0.033151092,-0.115528319,-0.110830628,NA,0.353385771,0.353103421,0.353408101,0.33301535,0.171519874,0.339054153,0.357573754,NA,0.152262823,0.13789247,0.330129531,0.23990162,0.204670966,0.223525834,0.246743125,NA,56,56,56,26,26,26,26,NA,2.47e-9,5.57e-7,0.562213882,0.020209653,0.322356664,0.097180144,0.304188716,NA,0,0,NA,0,NA,NA,NA,NA,44.89202514,33.36661348,0.47691949,6.422215625,1.411543737,3.835712407,1.85617584,NA,1,1,1,1,1,1,1,NA,2.08e-11,7.63e-9,0.489820984,0.011270147,0.234800293,0.050171666,0.173066813,NA,3.46e-9,7.72e-7,0.574533985,0.023940973,0.347333254,0.113365283,0.338709206,NA
EIF2S3_AATAAA_chrX_start_24077466_end_24077467,EIF2S3_ENSG00000130741.11,chrX,24077466,24077467,+,0.181700459,0.053928721,0.254024487,-0.056738324,-0.104403791,-0.063336379,-0.044415205,-0.108807995,0.196331305,0.196367751,0.196339976,0.305280921,0.366884451,0.342261986,0.345635918,0.340753471,0.378031764,0.250296472,0.450364463,0.248542598,0.26248066,0.278925606,0.301220712,0.231945476,222,222,222,462,462,462,462,295,3.15e-9,0.073744337,1.7e-25,0.053782818,1.88e-14,4.4e-4,0.149694565,0.004456379,4.03e-10,NA,2.78e-22,NA,8.55e-14,3.29e-5,NA,0.004551864,44.44053106,5.228148779,96.4548483,7.164656519,58.27539,20.06417943,4.971075046,10.82421843,1,1,1,1,1,1,1,1,2.62e-11,0.022224174,9.13e-23,0.007435393,2.28e-14,7.49e-6,0.025774623,0.00100181,4.18e-9,0.129113619,1.76e-21,0.016590762,3.47e-13,5.49e-5,0.084623935,0.004701444
AVL9_ATTAAA_chr7_start_32584166_end_32584167,AVL9_ENSG00000105778.20,chr7,32584166,32584167,+,0.305837498,-0.085697311,0.450554243,-0.228508581,-0.123933591,-0.055759256,-0.05071534,-0.190967333,0.41093243,0.41033917600000003,0.411039762,0.417708675,0.332771066,0.362676969,0.377474196,0.376781095,0.716769928,0.324641865,0.861594005,0.189200094,0.208837476,0.306917713,0.326758856,0.185813762,164,164,164,85,85,85,85,80,1.78e-8,0.284872675,6.37e-36,2.1e-6,6.64e-5,9.67e-4,0.094534338,0.051638328,2.76e-10,NA,2.76e-38,9.4e-7,8.59e-4,0.457495671,NA,NA,43.82624278,3.372906171,168.2166083,24.95055063,12.27949963,1.585557599,1.145986106,6.73600515,1,1,1,1,1,1,1,1,3.59e-11,0.066276746,1.81e-38,5.88e-7,4.58e-4,0.207961979,0.284390977,0.009448598,5.62e-9,0.250658494,8.96e-37,3.04e-6,0.001706986,0.34465158,0.476117123,0.030223202
BFAR_APA_chr16_start_14650586_end_14650587,BFAR_ENSG00000103429.11,chr16,14650586,14650587,+,0.239313361,0.077510503,0.033299872,0.131622154,0.042138377,0.049220379,0.126355205,0.118371325,0.135187421,0.134811451,0.13480929,0.283613658,0.325421995,0.348337379,0.315230549,0.124765926,0.374500783,0.212321954,0.168109162,0.415235813,0.367560372,0.397557758,0.441585754,0.24313725,85,85,85,128,128,128,128,121,2.97e-9,0.127556427,0.250600136,0.004304723,0.398761858,0.198106958,0.056407188,0.001547625,4.46e-10,NA,NA,0,NA,NA,NA,0.001599492,42.88565185,5.273425871,1.337559756,9.487902406,1.05803649,1.07476499,7.965460667,11.47850492,1,1,1,1,1,1,1,1,5.8e-11,0.021653358,0.247464769,0.002068312,0.303663444,0.299871622,0.004767836,7.04e-4,8.6e-9,0.126675644,0.326241949,0.005336663,0.424981322,0.450079127,0.022217171,0.003490371
HERC4_AATAAA_chr10_start_67922484_end_67922485,HERC4_ENSG00000148634.16,chr10,67922484,67922485,-,-0.244957049,-0.255111422,-0.040790873,-0.109117581,-0.047751702,0.04793728,-0.012139483,-0.078868763,0.678288856,0.678886263,0.679246838,0.660704878,0.630971402,0.556640447,0.63893948,0.550761894,0.433331807,0.423774841,0.638455965,0.551587297,0.583219701,0.604577727,0.626799997,0.471893131,137,137,137,302,302,302,302,257,3.74e-11,1.24e-9,2.81e-7,4.94e-38,1.13e-27,6.12e-39,2.08e-13,6.63e-19,1.17e-9,4.68e-10,0.331259154,7.83e-4,0.124414135,0.216073577,1,0.15784315,42.36099292,43.85993646,1.518602128,13.45130215,3.483136162,3.871594272,0.473829443,4.457940676,1,1,1,1,1,1,1,1,7.59e-11,3.53e-11,0.217831156,2.45e-4,0.061997139,0.049109851,0.491230701,0.034739354,1.1e-8,6.58e-9,0.292900384,7.85e-4,0.1189474,0.11164043,0.670582065,0.086620514
TNPO1_AATAAA_chr5_start_72909327_end_72909328,TNPO1_ENSG00000083312.19,chr5,72909327,72909328,+,0.172055048,-1.15e-4,0.289672303,-0.076404988,-0.035234449,-0.028174951,0.046793806,-0.102569165,0.094183423,0.094139337,0.094447589,0.139740513,0.119247688,0.129938258,0.142180427,0.203727338,0.266238471,0.094024341,0.384119892,0.063335526,0.084013238,0.101763307,0.188974232,0.101158172,59,59,59,119,119,119,119,63,6.92e-8,4.65e-8,4.13e-81,1.3e-6,0.017956624,0.039760092,0.150548286,0.001382634,1.8e-9,1,3e-47,8.46e-6,0.233743929,0.504366282,NA,0.003453719,42.30323652,0.001235738,211.4673978,22.05803046,3.475216046,2.489146402,6.554216058,11.33616492,1,1,1,1,1,1,1,1,7.82e-11,0.971957692,6.57e-48,2.65e-6,0.062294587,0.114633883,0.010463593,7.6e-4,1.12e-8,0.991950005,5.37e-46,1.24e-5,0.119398822,0.217275989,0.041906227,0.00371671
MOB1A_AATAAA_chr2_start_74152593_end_74152594,MOB1A_ENSG00000114978.18,chr2,74152593,74152594,-,-0.216340952,0.188705569,-0.378376795,0.244485812,0.203324018,0.229687361,0.161929464,0.244237746,0.51680692,0.517120909,0.517078659,0.446049205,0.48871909,0.465081855,0.444258989,0.509143625,0.30046596800000003,0.705826479,0.138701863,0.690535017,0.692043108,0.694769216,0.606188453,0.753381371,38,38,38,28,28,28,28,50,3.1e-9,1.36e-9,3.55e-63,1.33e-18,5.2e-14,2.59e-18,1.9e-10,3.56e-5,2.55e-9,4.87e-12,4.71e-52,3.85e-19,1.06e-13,2.92e-21,1.66e-12,5.4e-6,41.62295205,53.609811,233.489946,83.04106502,58.65899895,93.33153595,54.18464434,24.37492134,1,1,1,1,1,1,1,1,1.11e-10,2.45e-13,1.03e-52,8.04e-20,1.88e-14,4.42e-22,1.83e-13,7.93e-7,1.51e-8,6.62e-11,9.87e-51,1.58e-18,2.87e-13,2.16e-20,7.97e-12,8.72e-6
CPNE3_APA_chr8_start_86558657_end_86558658,CPNE3_ENSG00000085719.13,chr8,86558657,86558658,+,0.183720629,-0.042026161,0.477446002,-0.014337097,0.022865296,0.058247961,0.008644119,-0.042649043,0.135579312,0.135000643,0.135142321,0.125315758,0.133152076,0.151809611,0.191943185,0.179055754,0.319299941,0.092974482,0.612588323,0.110978661,0.156017372,0.210057572,0.200587304,0.13640671,544,544,544,329,329,329,329,393,7.76e-9,0.27497632,1.51e-73,0.11517902,1.08e-5,1.4e-5,0.984827689,0.380694066,1.11e-9,NA,7.5e-73,NA,0.547179391,0.001129565,NA,NA,41.10004385,4.388860254,326.7381855,0.700397429,2.115361757,14.12391541,0.224107653,3.256082715,1,1,1,1,1,1,1,1,1.45e-10,0.036174488,4.93e-73,0.402650184,0.145827591,1.71e-4,0.63592776,0.071158928,1.88e-8,0.174421033,1.2e-70,0.50178942,0.23714731,9.05e-4,0.780429595,0.154099748
SERPINE1_APA_chr7_start_101138302_end_101138303,SERPINE1_ENSG00000106366.9,chr7,101138302,101138303,+,-0.190315644,-0.252402525,0.018806731,-0.054844004,0.001184223,0.01823968,0.108558772,-0.028242999,0.778344073,0.778408789,0.778148596,0.52631361,0.57911433,0.49078437,0.355811553,0.470903113,0.588028429,0.526006264,0.796955327,0.471469605,0.580298553,0.50902405,0.464370326,0.442660114,350,350,350,683,683,683,683,1208,1.32e-8,1.02e-15,0.460042691,0.004397403,0.971160712,0.498017453,3.86e-7,0.515687164,0,0,NA,0,NA,NA,0,NA,41.01303045,75.72854794,0.747248346,9.444473239,0.00336957,0.772013315,30.70488291,0.711446219,1,1,1,1,1,1,1,1,1.51e-10,3.25e-18,0.387348822,0.002117863,0.953710394,0.379594937,3e-8,0.39896412,1.9e-8,1.52e-15,0.473556364,0.005446137,0.969824235,0.529760848,5.83e-7,0.542467769
SERPINE1_AATAAA_chr7_start_101139244_end_101139245,SERPINE1_ENSG00000106366.9,chr7,101139244,101139245,+,0.190315644,0.252402525,-0.018806731,0.054844004,-0.001184223,-0.01823968,-0.108558772,0.028242999,0.221655927,0.221591211,0.221851404,0.47368639,0.42088567,0.50921563,0.644188447,0.529096887,0.411971571,0.473993736,0.203044673,0.528530395,0.419701447,0.49097595,0.53562967399999994,0.557339886,128,128,128,451,451,451,451,555,1.32e-8,1.02e-15,0.460042691,0.004397403,0.971160712,0.498017453,3.86e-7,0.515687164,0,0,NA,0,NA,NA,0,NA,41.01303045,75.72854794,0.747248346,9.444473239,0.00336957,0.772013315,30.70488291,0.711446219,1,1,1,1,1,1,1,1,1.51e-10,3.25e-18,0.387348822,0.002117863,0.953710394,0.379594937,3e-8,0.39896412,1.9e-8,1.52e-15,0.473556364,0.005446137,0.969824235,0.529760848,5.83e-7,0.542467769
