unique_featureID,gene_ID,chr,start,end,strand,mean_diffsiELAVL1,mean_diffsiSam68,mean_diffsiCFIM25,mean_diff96,mean_diff72,mean_diff48,mean_diff24,mean_diff96hrs_prev,ctrl_siELAVL1,ctrl_siSam68,ctrl_siCFIM25,ctrl_96,ctrl_72,ctrl_48,ctrl_24,ctrl_96hrs_prev,condition_siELAVL1,condition_siSam68,condition_siCFIM25,condition_96,condition_72,condition_48,condition_24,condition_96hrs_prev,V5_siELAVL1,V5_siSam68,V5_siCFIM25,V5_96,V5_72,V5_48,V5_24,V5_96hrs_prev,twostep_gene_padj_siELAVL1,twostep_gene_padj_siSam68,twostep_gene_padj_siCFIM25,twostep_gene_padj_96,twostep_gene_padj_72,twostep_gene_padj_48,twostep_gene_padj_24,twostep_gene_padj_96hrs_prev,twostep_transcript_padj_siELAVL1,twostep_transcript_padj_siSam68,twostep_transcript_padj_siCFIM25,twostep_transcript_padj_96,twostep_transcript_padj_72,twostep_transcript_padj_48,twostep_transcript_padj_24,twostep_transcript_padj_96hrs_prev,lr_siELAVL1,lr_siSam68,lr_siCFIM25,lr_96,lr_72,lr_48,lr_24,lr_96hrs_prev,df_siELAVL1,df_siSam68,df_siCFIM25,df_96,df_72,df_48,df_24,df_96hrs_prev,pvalue_siELAVL1,pvalue_siSam68,pvalue_siCFIM25,pvalue_96,pvalue_72,pvalue_48,pvalue_24,pvalue_96hrs_prev,adj_pvalue_siELAVL1,adj_pvalue_siSam68,adj_pvalue_siCFIM25,adj_pvalue_96,adj_pvalue_72,adj_pvalue_48,adj_pvalue_24,adj_pvalue_96hrs_prev,mean_diff_across
AGPS_APA_chr2_start_177538283_end_177538284,AGPS_ENSG00000018510.18,chr2,177538283,177538284,+,0.203276179,0.019863662,0.342722371,-0.285327372,-0.329840163,-0.244353545,0.043547051,-0.238930501,0.536741984,0.537922838,0.538948421,0.363042841,0.404723742,0.397580504,0.267174219,0.373566573,0.740018164,0.557786501,0.881670792,0.077715469,0.074883579,0.153226959,0.31072127,0.134636072,10,10,10,12,12,12,12,12,0.240831753,0.936113466,1.98e-4,4.23e-10,4.07e-6,4.59e-4,0.415996001,0.036373626,NA,NA,0,4.53e-7,1.8e-6,6.28e-4,NA,0.0488615,3.327012398,0.029530778,15.57101543,27.69799052,25.34153337,14.46672768,0.592182589,7.230076854,1,1,1,1,1,1,1,1,0.068150564,0.863559217,7.95e-5,1.42e-7,4.8e-7,1.43e-4,0.441576364,0.007169214,0.26678374,0.946264393,2.38e-4,8.06e-7,3.2e-6,7.74e-4,0.630011978,0.024055244,-0.21098090600000002
AIFM2_AATAAA_chr10_start_70112273_end_70112274,AIFM2_ENSG00000042286.15,chr10,70112273,70112274,-,0.107112526,0.004986576,-0.159028715,0.525121451,0.474712484,0.383421622,0.127722165,0.363197826,0.332898517,0.332941663,0.332903935,0.195639181,0.194749838,0.227528466,0.302623388,0.32856612,0.440011043,0.337928239,0.173875221,0.720760633,0.669462322,0.610950087,0.430345553,0.691763947,66,66,66,207,207,207,207,281,0.139509515,0.958247032,3.49e-5,8.489999999999999e-48,8.339999999999999e-37,7.209999999999999e-24,0.04575164,1.5700000000000001e-13,NA,NA,0,0,0,0,0,0,4.793041616,0.0136185,19.09484984,218.5847412,167.9801384,108.6963685,5.93739693,60.86158998,1,1,1,1,1,1,1,1,0.028574924,0.907099113,1.24e-5,1.84e-49,2.04e-38,1.89e-25,0.014822895,6.12e-15,0.159997754,0.963183506,4.31e-5,1.4899999999999999e-47,1.34e-36,1.13e-23,0.055148384,2.43e-13,0.3748351096
AIMP1_AATAAA_chr4_start_106349221_end_106349222,AIMP1_ENSG00000164022.18,chr4,106349221,106349222,+,-0.016306384,0.06541072,-0.080880151,0.228681778,0.187425075,0.149996531,0.055970671,0.224625357,0.091832119,0.092114706,0.091641019,0.080449456,0.093568584,0.088005203,0.105994076,0.10741444,0.075525735,0.157525426,0.010760869,0.309131235,0.280993659,0.238001734,0.161964747,0.332039797,48,48,48,85,85,85,85,105,0.592757375,0.01638087,7.97e-18,2.23e-30,1.19e-10,1.29e-13,1.48e-6,1.59e-6,NA,0.032896608,3.61e-14,1.57e-27,1.62e-11,7.21e-10,0.030775768,5.99e-8,0.921250026,7.895578415,58.19371812,119.1328755,46.6172698,39.50223229,6.603516428,30.95963,1,1,1,1,1,1,1,1,0.33714697,0.004955579,2.38e-14,9.79e-28,8.63e-12,3.28e-10,0.010177757,2.63e-8,0.633888243,0.044345624,2.35e-13,3.15e-26,1.03e-10,4.8e-9,0.04093535,3.9e-7,0.1693398824
AK1_AATAAA_chr9_start_127866491_end_127866492,AK1_ENSG00000106992.19,chr9,127866491,127866492,-,-0.049135198,0.01746361,-0.107671681,0.229605289,0.180838928,0.123610858,0.077769546,0.073376128,0.290541679,0.290325412,0.290387115,0.182697635,0.158692821,0.172897558,0.11182417,0.1778746,0.241406481,0.307789022,0.182715434,0.412302924,0.339531749,0.296508416,0.189593716,0.251250728,34,34,34,121,121,121,121,109,0.667549098,0.90075241,0.077493907,4.14e-11,2.47e-6,0.001205723,0.070139009,0.221404416,NA,NA,NA,0,0,0,NA,NA,0.672449007,0.074108847,3.750129531,47.23470324,25.19832957,12.92127015,5.011565907,2.214914951,1,1,1,1,1,1,1,1,0.412199073,0.785445636,0.052803419,6.3e-12,5.17e-7,3.25e-4,0.025178522,0.136682594,0.694746894,0.913953,0.084696764,6.1e-11,3.41e-6,0.001582186,0.083197957,0.248598193,0.1370401498
AK2_ATTAAA_chr1_start_33013044_end_33013045,AK2_ENSG00000004455.18,chr1,33013044,33013045,-,0.109325754,-0.026837881,0.158989015,-0.295592683,-0.283596541,-0.227971536,-0.051220804,-0.309538676,0.680950256,0.680950201,0.680913671,0.797143816,0.743854729,0.778888582,0.82556136,0.806251742,0.79027601,0.65411232,0.839902686,0.501551132,0.460258188,0.550917045,0.774340556,0.496713067,882,882,882,1553,1553,1553,1553,1351,0.014104872,0.633613627,5.81e-8,6.79e-17,1.64e-39,5.750000000000001e-29,0.016805345,3.76e-14,0.002968121,NA,2.21e-8,2.06e-17,3.06e-30,1.5399999999999998e-30,0.002353935,9.52e-16,12.59727164,0.664639376,32.11671187,74.38090272,133.207958,134.8853162,12.58319309,67.51021183,1,1,1,1,1,1,1,1,3.86e-4,0.414926831,1.45e-8,6.44e-18,8.14e-31,3.5e-31,3.89e-4,2.1e-16,0.007877122,0.692713769,7.67e-8,1.09e-16,3.93e-29,3.14e-29,0.002718371,9.18e-15,-0.233584048
AKAP12_AATAAA_chr6_start_151356772_end_151356773,AKAP12_ENSG00000131016.17,chr6,151356772,151356773,+,0.023364447,-0.003637279,0.185992373,-0.199896728,-0.15386962,-0.122396407,-0.06051076,-0.25186738,0.492979994,0.491941326,0.492787956,0.538915695,0.500280108,0.544279842,0.591394883,0.569743829,0.516344441,0.488304047,0.678780329,0.339018967,0.346410488,0.421883435,0.530884122,0.317876449,651,651,651,933,933,933,933,819,0.771262802,0.974675646,3.25e-11,1.73e-20,3.2e-11,1.84e-13,0.074751731,5.26e-10,NA,NA,1.48e-12,4.36e-20,7.99e-13,3.59e-15,NA,6.57e-12,0.940329222,0.007685776,50.90076925,85.17847207,52.52042602,63.46515676,6.636508882,48.76070764,1,1,1,1,1,1,1,1,0.332193189,0.930140109,9.72e-13,2.73e-20,4.26e-13,1.63e-15,0.009990953,2.89e-12,0.629797224,0.97228238,8.28e-12,5.54e-19,5.85e-12,4.5e-14,0.040385012,8.13e-11,-0.15770817899999998
AKAP8_AATAAA_chr19_start_15353522_end_15353523,AKAP8_ENSG00000105127.10,chr19,15353522,15353523,-,-0.013601444,-0.172186978,-0.160241966,0.225009368,0.148066038,0.134779656,0.226267428,0.175962756,0.727948671,0.727505947,0.727757522,0.566777192,0.601533423,0.587959882,0.531310513,0.650686398,0.714347227,0.555318968,0.567515555,0.79178656,0.749599461,0.722739538,0.757577941,0.826649153,146,146,146,255,255,255,255,253,0.906970361,0.059735345,0.00997028,1.72e-7,0.00128716,0.007799153,2.42e-7,3.52e-4,NA,NA,0,0,0,0,0,0,0.062327767,6.677375078,7.691884529,30.186267869999998,12.34147177,9.021729023,31.68213208,15.75245513,1,1,1,1,1,1,1,1,0.802853933,0.009764431,0.005546968,3.92e-8,4.43e-4,0.002667889,1.82e-8,7.22e-5,0.916658172,0.072057728,0.011358586,2.43e-7,0.001659291,0.009852707,3.68e-7,4.84e-4,0.1820170492
AKT2_AATAAA_chr19_start_40232334_end_40232335,AKT2_ENSG00000105221.18,chr19,40232334,40232335,-,-0.016223441,-0.073899361,-0.040271146,-0.358869218,-0.322371658,-0.254149495,-0.172468481,-0.323680938,0.685018988,0.683928837,0.684919906,0.840464329,0.834253295,0.864103525,0.893780991,0.808817873,0.668795547,0.610029476,0.64464876,0.48159511,0.511881638,0.609954029,0.72131251,0.485136935,114,114,114,244,244,244,244,373,0.906970361,0.166471709,0.060981932,1.5699999999999998e-67,3.9e-58,1.98e-34,2.06e-18,1.1399999999999999e-23,NA,NA,NA,1.9399999999999998e-69,8.219999999999999e-61,3.0699999999999997e-37,5.19e-20,1.43e-24,0.393179737,5.381542734,2.542143762,311.1739486,271.8957858,164.1605821,86.0932528,106.3171425,1,1,1,1,1,1,1,1,0.530632715,0.020350874,0.110844198,1.21e-69,4.3799999999999995e-61,1.4e-37,1.72e-20,6.28e-25,0.766216278,0.120937559,0.16328245,1.78e-67,7.020000000000001e-59,1.69e-35,1.46e-18,5.57e-23,-0.286307958
AKT3_AATAAA_chr1_start_243499724_end_243499725,AKT3_ENSG00000117020.19,chr1,243499724,243499725,-,-0.078572931,0.115020691,-0.173643594,0.192688721,0.238893695,0.079709504,0.186756015,NA,0.258506857,0.258623629,0.253163967,0.268746015,0.226332127,0.230821668,0.181840074,NA,0.179933927,0.37364432,0.079520372,0.461434736,0.465225822,0.310531171,0.368596089,NA,36,36,36,140,140,140,140,131,0.374771883,0.366382129,5.7e-13,2.2e-6,2.95e-9,0.014041649,1.33e-5,1,NA,NA,3.36e-5,0,1.18e-10,0.087390047,5.12e-6,NA,2.216414806,3.804489014,19.32321853,24.979759520000002,42.73022699,4.229610986,22.91506757,NA,1,1,1,1,1,1,1,1,0.13654983,0.05111537,1.1e-5,5.79e-7,6.28e-11,0.039724544,1.69e-6,1,0.404071352,0.213674138,3.87e-5,3e-6,6.81e-10,0.094375296,2.34e-5,NA,0.17451198375
ANKHD1_AATAAA_chr5_start_140472475_end_140472476,ANKHD1_ENSG00000131503.21,chr5,140472475,140472476,+,0.033850458,0.074051752,0.156081013,-0.415464665,-0.484096413,-0.356905073,-0.281651166,-0.35513185,0.755881802,0.756509027,0.756946087,0.784635953,0.784869215,0.751258362,0.818766085,0.760895239,0.78973226,0.830560779,0.9130271,0.369171288,0.300772802,0.394353289,0.537114919,0.405763389,423,423,423,380,380,380,380,718,0.546352027,0.038905042,9.68e-12,7.05e-34,4.4299999999999994e-42,3.3099999999999997e-23,2.97e-22,2.87e-13,NA,0,0,0,0,0,0,0,1.186326137,7.730381122,49.90919803,153.9557905,192.5908727,105.5953234,102.653671,59.58333241,1,1,1,1,1,1,1,1,0.276071873,0.005429929,1.61e-12,2.37e-35,8.65e-44,9.04e-25,3.99e-24,1.17e-14,0.577773966,0.046988289,1.35e-11,1.17e-33,7.489999999999999e-42,5.2699999999999997e-23,4.86e-22,4.47e-13,-0.3786498334
ANKH_APA_chr5_start_14711066_end_14711067,ANKH_ENSG00000154122.14,chr5,14711066,14711067,-,0.049847868,-0.071261875,0.088076163,-0.428704338,-0.409235691,-0.256035236,-0.173041926,-0.524399917,0.799013803,0.794325242,0.800920593,0.710744996,0.689077089,0.666633754,0.671435072,0.671025091,0.848861671,0.723063367,0.888996756,0.282040658,0.279841399,0.410598518,0.498393146,0.146625175,69,69,69,74,74,74,74,62,0.515196274,0.544259574,0.008845022,9.35e-12,5.08e-15,1.93e-4,0.002065446,1.28e-6,NA,NA,0,7.5e-13,9.71e-17,1.62e-5,3.1e-4,0,1.359709265,1.078474842,7.936460755,52.32976555,70.26876787,20.09182395,15.08996702,27.72303466,1,1,1,1,1,1,1,1,0.243587875,0.299038995,0.00484485,4.69e-13,5.18e-17,7.38e-6,1.03e-4,1.4e-7,0.544448094,0.587681256,0.010081179,5.12e-12,1e-15,5.42e-5,8.61e-4,1.82e-6,-0.35828342160000004
ANKRD10_ATTAAA_chr13_start_110892697_end_110892698,ANKRD10_ENSG00000088448.14,chr13,110892697,110892698,-,0.22871494,0.186944395,-0.297831271,-0.497941343,-0.525400171,-0.411518698,-0.39572572,-0.339891614,0.487233601,0.487490433,0.486862161,0.584778096,0.631511554,0.557043354,0.570924054,0.392920959,0.715948541,0.674434828,0.18903089,0.086836753,0.106111383,0.145524656,0.175198335,0.053029345,109,109,109,55,55,55,55,40,4.96e-40,2.73e-13,6.819999999999999e-31,1.12e-63,2.37e-47,1.39e-53,2.11e-21,1.44e-18,1.34e-15,7.18e-7,3.01e-22,2.3e-66,3.09e-49,1.7399999999999995e-55,4.0299999999999994e-23,0,67.87055373,28.2217019,94.9244158,297.0622317,218.804038,247.7862945,100.2664439,84.70341176,1,1,1,1,1,1,1,1,1.75e-16,1.08e-7,1.98e-22,1.44e-66,1.65e-49,7.889999999999999e-56,1.3299999999999998e-23,3.47e-20,6.9e-14,7.9e-6,3.71e-21,1.8100000000000003e-64,1.81e-47,2.03e-53,1.46e-21,2.24e-18,-0.43409550919999995
ANKRD16_None_chr10_start_5860909_end_5860910,ANKRD16_ENSG00000134461.16,chr10,5860909,5860910,-,-0.041032592,-0.003375305,-0.221048808,0.412448538,0.502039178,0.350614644,0.169324833,0.509628425,0.319730946,0.319711558,0.319748697,0.125998111,0.117252783,0.093594107,0.035658638,0.159213088,0.278698355,0.316336252,0.098699889,0.538446649,0.619291961,0.444208751,0.20498347,0.668841513,22,22,22,37,37,37,37,38,0.754570661,0.980487872,1.99e-4,3.39e-11,1.98e-10,1.77e-10,3.68e-5,1.72e-5,NA,NA,0,0,0,0,0,0,0.353871376,0.002178223,15.55911133,47.63961068,44.50460253,45.52837032,21.16136634,22.20473634,1,1,1,1,1,1,1,1,0.551929777,0.962775096,8e-5,5.12e-12,2.54e-11,1.5e-11,4.22e-6,2.45e-6,0.777008519,0.986263144,2.39e-4,5e-11,2.88e-10,2.65e-10,5.23e-5,2.42e-5,0.3888111236
ANKRD26_APA_chr10_start_27022555_end_27022556,ANKRD26_ENSG00000107890.17,chr10,27022555,27022556,-,-0.065007814,0.020243026,-0.014755321,0.35276376,0.326488616,0.340828536,0.283886596,NA,0.163516592,0.163336353,0.163665769,0.455115127,0.365042454,0.329684643,0.317344356,NA,0.098508778,0.183579379,0.148910448,0.807878887,0.69153107,0.670513179,0.601230952,NA,42,42,42,12,12,12,12,NA,0.457127434,0.828038675,0.90410225,9.5e-5,0.001156186,0.020605588,0.106816417,NA,NA,NA,NA,0,0,0,NA,NA,3.220640452,0.310608106,0.145152902,17.21768151,12.56018349,6.992860103,4.103117213,NA,1,1,1,1,1,1,1,NA,0.072715175,0.577307267,0.703211134,3.33e-5,3.94e-4,0.008183548,0.042804226,NA,0.276945037,0.804209653,0.763984686,1.26e-4,0.001494885,0.025516652,0.125495468,NA,0.325991877
ANKRD52_ATTAAA_chr12_start_56237807_end_56237808,ANKRD52_ENSG00000139645.11,chr12,56237807,56237808,-,0.011531649,0.059529709,0.020656345,0.265929224,0.153366074,0.123409423,0.131574565,0.311949445,0.518671675,0.518799034,0.519015726,0.438460327,0.507112831,0.492983469,0.445487462,0.467703356,0.530203324,0.578328743,0.53967207,0.704389551,0.660478906,0.616392892,0.577062027,0.779652802,199,199,199,623,623,623,623,638,0.918275117,0.440772715,0.803338439,1.22e-17,1.03e-5,0.041509965,0.016060823,2.3e-4,NA,NA,NA,0,0,0,0,0,0.048747147,1.648264098,0.097033353,78.02169199,22.25302208,5.571327489,8.20535226,16.67442342,1,1,1,1,1,1,1,1,0.825257849,0.199195361,0.755419197,1.02e-18,2.39e-6,0.018256914,0.0041767,4.44e-5,0.928955514,0.476729166,0.809119276,1.84e-17,1.43e-5,0.050245106,0.020074419,3.15e-4,0.1972457462
