gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,ctrl_DMSO_1,ctrl_DMSO_2,ctrl_DMSO_3,CFIM25_DMSO_1,CFIM25_DMSO_2,CFIM25_DMSO_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
NONO_ENSG00000147140.17,PAS19749_ATTAAA_0.25,4.43E-111,0,NONO_ENSG00000147140.17,512.8449516,1,1.52E-113,1.08E-110,NONO_ENSG00000147140.17,0.10376253,0.10376253,0.10376253,0.467570669,0.467570669,0.467570669,0.36380814,chrX,71300267,71300268,528,+,ENSG00000147140.17,NONO,UTR3
NONO_ENSG00000147140.17,PAS19750_ATTAAA_0.1,4.43E-111,0,NONO_ENSG00000147140.17,512.8449516,1,1.52E-113,1.08E-110,NONO_ENSG00000147140.17,0.89623747,0.89623747,0.89623747,0.532429331,0.532429331,0.532429331,-0.36380814,chrX,71301165,71301166,2980,+,ENSG00000147140.17,NONO,UTR3
GLS_ENSG00000115419.14,PAS2554_AATAAA_0.4,3.20E-122,1.83E-103,GLS_ENSG00000115419.14,468.7453104,1,6.01E-104,3.93E-101,GLS_ENSG00000115419.14,0.052009256,0.052009256,0.052009256,0.693820522,0.693820522,0.693820522,0.641811266,chr2,190963181,190963182,49,+,ENSG00000115419.14,GLS,UTR3
BRI3BP_ENSG00000184992.13,PAS12504_AATAAA_0.2,6.52E-115,2.97E-103,BRI3BP_ENSG00000184992.13,466.3909694,1,1.95E-103,1.19E-100,BRI3BP_ENSG00000184992.13,0.529098164,0.529098164,0.529098164,0.100077561,0.100077561,0.100077561,-0.429020603,chr12,125031181,125031182,136,+,ENSG00000184992.13,BRI3BP,UTR3
TIMP2_ENSG00000035862.13,PAS16924_AATAAA_0.2,1.47E-93,2.47E-97,TIMP2_ENSG00000035862.13,439.1901184,1,1.62E-97,9.20E-95,TIMP2_ENSG00000035862.13,0.22644236,0.22644236,0.22644236,0.753531809,0.753531809,0.753531809,0.527089449,chr17,78855543,78855544,386,-,ENSG00000035862.13,TIMP2,UTR3
GFPT1_ENSG00000198380.13,PAS2953_None_0.15,3.68E-118,5.33E-97,GFPT1_ENSG00000198380.13,439.0375172,1,1.75E-97,9.31E-95,GFPT1_ENSG00000198380.13,0.141720656,0.141720656,0.141720656,0.676197596,0.676197596,0.676197596,0.534476939,chr2,69326104,69326105,54,-,ENSG00000198380.13,GFPT1,UTR3
BRI3BP_ENSG00000184992.13,PAS12502_AATAAA_0.2,6.52E-115,1.65E-96,BRI3BP_ENSG00000184992.13,435.4042562,1,1.08E-96,5.41E-94,BRI3BP_ENSG00000184992.13,0.294601262,0.294601262,0.294601262,0.75152279,0.75152279,0.75152279,0.456921528,chr12,125025540,125025541,171,+,ENSG00000184992.13,BRI3BP,UTR3
CYCS_ENSG00000172115.9,PAS7855_APA_0.3,2.75E-91,6.34E-95,CYCS_ENSG00000172115.9,428.1194691,1,4.17E-95,1.97E-92,CYCS_ENSG00000172115.9,0.25104323,0.25104323,0.25104323,0.65345511,0.65345511,0.65345511,0.40241188,chr7,25123669,25123670,210,-,ENSG00000172115.9,CYCS,UTR3
FLNB_ENSG00000136068.16,PAS3602_None_0.15,2.29E-91,7.55E-95,FLNB_ENSG00000136068.16,427.7704193,1,4.97E-95,2.22E-92,FLNB_ENSG00000136068.16,0.541620297,0.541620297,0.541620297,0.924148987,0.924148987,0.924148987,0.38252869,chr3,58170781,58170782,454,+,ENSG00000136068.16,FLNB,UTR3
FLNB_ENSG00000136068.16,PAS3604_AATAAA_0.15,2.29E-91,1.43E-93,FLNB_ENSG00000136068.16,421.9045253,1,9.40E-94,3.99E-91,FLNB_ENSG00000136068.16,0.45135204,0.45135204,0.45135204,0.073740702,0.073740702,0.073740702,-0.377611337,chr3,58172247,58172248,1305,+,ENSG00000136068.16,FLNB,UTR3
NDFIP1_ENSG00000131507.11,PAS5738_AATAAA_0.15,5.81E-82,0,NDFIP1_ENSG00000131507.11,378.4794385,1,2.67E-84,1.03E-81,NDFIP1_ENSG00000131507.11,0.201024323,0.201024323,0.201024323,0.747203738,0.747203738,0.747203738,0.546179414,chr5,142151866,142151867,160,+,ENSG00000131507.11,NDFIP1,UTR3
NDFIP1_ENSG00000131507.11,PAS5739_AATAAA_0.25,5.81E-82,0,NDFIP1_ENSG00000131507.11,378.4794385,1,2.67E-84,1.03E-81,NDFIP1_ENSG00000131507.11,0.798975677,0.798975677,0.798975677,0.252796262,0.252796262,0.252796262,-0.546179414,chr5,142152773,142152774,228,+,ENSG00000131507.11,NDFIP1,UTR3
REEP3_ENSG00000165476.14,PAS9990_ATTAAA_0.25,1.56E-78,1.00E-81,REEP3_ENSG00000165476.14,367.4891478,1,6.59E-82,2.43E-79,REEP3_ENSG00000165476.14,0.43765707,0.43765707,0.43765707,0.945380574,0.945380574,0.945380574,0.507723504,chr10,63620968,63620969,101,+,ENSG00000165476.14,REEP3,UTR3
CBX3_ENSG00000122565.19,PAS7441_AATAAA_0.35,2.01E-76,7.48E-80,CBX3_ENSG00000122565.19,358.8873567,1,4.92E-80,1.74E-77,CBX3_ENSG00000122565.19,0.277087933,0.277087933,0.277087933,0.611936124,0.611936124,0.611936124,0.334848191,chr7,26212437,26212438,186,+,ENSG00000122565.19,CBX3,UTR3
PTEN_ENSG00000171862.14,PAS10099_AATAAA_0.25,9.72E-82,3.50E-79,PTEN_ENSG00000171862.14,358.5773776,1,5.75E-80,1.95E-77,PTEN_ENSG00000171862.14,0.267254229,0.267254229,0.267254229,0.798737106,0.798737106,0.798737106,0.531482876,chr10,87965525,87965526,485,+,ENSG00000171862.14,PTEN,UTR3
MAP4K4_ENSG00000071054.17,PAS2358_AATAAA_0.3,1.59E-75,5.84E-79,MAP4K4_ENSG00000071054.17,356.1722196,1,1.92E-79,6.27E-77,MAP4K4_ENSG00000071054.17,0.218648402,0.218648402,0.218648402,0.65469139,0.65469139,0.65469139,0.436042988,chr2,101891494,101891495,103,+,ENSG00000071054.17,MAP4K4,UTR3
UBE2D3_ENSG00000109332.20,PAS5207_AATAAA_0.2,4.76E-134,3.98E-77,UBE2D3_ENSG00000109332.20,348.5615353,1,8.72E-78,2.74E-75,UBE2D3_ENSG00000109332.20,0.571890491,0.571890491,0.571890491,0.144939524,0.144939524,0.144939524,-0.426950967,chr4,102795970,102795971,207,-,ENSG00000109332.20,UBE2D3,UTR3
CBX3_ENSG00000122565.19,PAS7442_AATAAA_0.25,2.01E-76,1.11E-76,CBX3_ENSG00000122565.19,344.3164534,1,7.33E-77,2.22E-74,CBX3_ENSG00000122565.19,0.708717142,0.708717142,0.708717142,0.379730302,0.379730302,0.379730302,-0.328986841,chr7,26213353,26213354,639,+,ENSG00000122565.19,CBX3,UTR3
CSNK1E_ENSG00000213923.13,PAS19533_AATAAA_0,5.30E-114,3.37E-76,CSNK1E_ENSG00000213923.13,343.489006,1,1.11E-76,3.25E-74,CSNK1E_ENSG00000213923.13,0.038828455,0.038828455,0.038828455,0.363387404,0.363387404,0.363387404,0.324558949,chr22,38296205,38296206,406,-,ENSG00000213923.13,CSNK1E,UTR3
REEP3_ENSG00000165476.14,PAS9991_AATAAA_0.1,1.56E-78,3.13E-75,REEP3_ENSG00000165476.14,337.6644325,1,2.06E-75,5.83E-73,REEP3_ENSG00000165476.14,0.521578083,0.521578083,0.521578083,0.048040575,0.048040575,0.048040575,-0.473537508,chr10,63624574,63624575,221,+,ENSG00000165476.14,REEP3,UTR3
GLS_ENSG00000115419.14,PAS2553_AATAAA_0.1,3.20E-122,1.18E-74,GLS_ENSG00000115419.14,336.3944592,1,3.89E-75,1.07E-72,GLS_ENSG00000115419.14,0.585181422,0.585181422,0.585181422,0.060366212,0.060366212,0.060366212,-0.52481521,chr2,190935287,190935288,133,+,ENSG00000115419.14,GLS,UTR3
CPNE3_ENSG00000085719.13,PAS8359_APA_0.25,1.51E-73,3.73E-74,CPNE3_ENSG00000085719.13,332.7234418,1,2.45E-74,6.51E-72,CPNE3_ENSG00000085719.13,0.834276916,0.834276916,0.834276916,0.341528752,0.341528752,0.341528752,-0.492748164,chr8,86561411,86561412,218,+,ENSG00000085719.13,CPNE3,UTR3
ARF4_ENSG00000168374.11,PAS4228_AATAAA_0.1,2.01E-71,0,ARF4_ENSG00000168374.11,329.2766242,1,1.38E-73,3.45E-71,ARF4_ENSG00000168374.11,0.900312263,0.900312263,0.900312263,0.494324246,0.494324246,0.494324246,-0.405988017,chr3,57571364,57571365,779,-,ENSG00000168374.11,ARF4,UTR3
ARF4_ENSG00000168374.11,PAS4229_ATTAAA_0.3,2.01E-71,0,ARF4_ENSG00000168374.11,329.2766242,1,1.38E-73,3.45E-71,ARF4_ENSG00000168374.11,0.099687737,0.099687737,0.099687737,0.505675754,0.505675754,0.505675754,0.405988017,chr3,57572075,57572076,133,-,ENSG00000168374.11,ARF4,UTR3
CPNE3_ENSG00000085719.13,PAS8357_APA_0.35,1.51E-73,7.50E-73,CPNE3_ENSG00000085719.13,326.7381855,1,4.93E-73,1.20E-70,CPNE3_ENSG00000085719.13,0.135142321,0.135142321,0.135142321,0.612588323,0.612588323,0.612588323,0.477446002,chr8,86558657,86558658,544,+,ENSG00000085719.13,CPNE3,UTR3
TIMP2_ENSG00000035862.13,PAS16922_AATAAA_0.1,1.47E-93,1.82E-72,TIMP2_ENSG00000035862.13,324.9665013,1,1.20E-72,2.83E-70,TIMP2_ENSG00000035862.13,0.660636183,0.660636183,0.660636183,0.205778306,0.205778306,0.205778306,-0.454857877,chr17,78852978,78852979,338,-,ENSG00000035862.13,TIMP2,UTR3
GNB1_ENSG00000078369.19,PAS1032_AATAAA_0.15,2.40E-70,0,GNB1_ENSG00000078369.19,324.2461338,1,1.72E-72,3.85E-70,GNB1_ENSG00000078369.19,0.556578932,0.556578932,0.556578932,0.126387786,0.126387786,0.126387786,-0.430191145,chr1,1785290,1785291,305,-,ENSG00000078369.19,GNB1,UTR3
GNB1_ENSG00000078369.19,PAS1033_AATAAA_0.4,2.40E-70,0,GNB1_ENSG00000078369.19,324.2461338,1,1.72E-72,3.85E-70,GNB1_ENSG00000078369.19,0.443421068,0.443421068,0.443421068,0.873612214,0.873612214,0.873612214,0.430191145,chr1,1786756,1786757,229,-,ENSG00000078369.19,GNB1,UTR3
CLIC4_ENSG00000169504.15,PAS152_APA_0.35,9.34E-69,9.00E-72,CLIC4_ENSG00000169504.15,321.7852004,1,5.92E-72,1.29E-69,CLIC4_ENSG00000169504.15,0.071152385,0.071152385,0.071152385,0.468073763,0.468073763,0.468073763,0.396921379,chr1,24840948,24840949,161,+,ENSG00000169504.15,CLIC4,UTR3
CLIC4_ENSG00000169504.15,PAS153_AATAAA_0.35,9.34E-69,9.25E-71,CLIC4_ENSG00000169504.15,317.1399731,1,6.08E-71,1.29E-68,CLIC4_ENSG00000169504.15,0.922059498,0.922059498,0.922059498,0.52375205,0.52375205,0.52375205,-0.398307448,chr1,24844316,24844317,341,+,ENSG00000169504.15,CLIC4,UTR3
CD164_ENSG00000135535.17,PAS7202_AATAAA_0.3,3.89E-73,4.66E-70,CD164_ENSG00000135535.17,315.2958587,1,1.53E-70,3.18E-68,CD164_ENSG00000135535.17,0.76968759,0.76968759,0.76968759,0.282733376,0.282733376,0.282733376,-0.486954213,chr6,109366519,109366520,257,-,ENSG00000135535.17,CD164,UTR3
MED13L_ENSG00000123066.9,PAS13035_APA_0.1,1.74E-65,1.12E-68,MED13L_ENSG00000123066.9,307.5840864,1,7.34E-69,1.48E-66,MED13L_ENSG00000123066.9,0.105096928,0.105096928,0.105096928,0.56879441,0.56879441,0.56879441,0.463697482,chr12,115961255,115961256,129,-,ENSG00000123066.9,MED13L,UTR3
SPCS3_ENSG00000129128.13,PAS4964_ATTAAA_0.4,9.49E-65,9.12E-68,SPCS3_ENSG00000129128.13,303.3950375,1,6.00E-68,1.19E-65,SPCS3_ENSG00000129128.13,0.400602328,0.400602328,0.400602328,0.90745516,0.90745516,0.90745516,0.506852832,chr4,176328348,176328349,151,+,ENSG00000129128.13,SPCS3,UTR3
FGF2_ENSG00000138685.18,PAS4897_AATAAA_0.3,1.24E-63,1.96E-66,FGF2_ENSG00000138685.18,298.6612366,1,6.45E-67,1.25E-64,FGF2_ENSG00000138685.18,0.363383302,0.363383302,0.363383302,0.851759984,0.851759984,0.851759984,0.488376682,chr4,122892491,122892492,158,+,ENSG00000138685.18,FGF2,UTR3
TMBIM6_ENSG00000139644.13,PAS12070_APA_0.25,1.24E-63,0,TMBIM6_ENSG00000139644.13,292.9926965,1,1.11E-65,2.05E-63,TMBIM6_ENSG00000139644.13,0.177519986,0.177519986,0.177519986,0.484176428,0.484176428,0.484176428,0.306656442,chr12,49763000,49763001,309,+,ENSG00000139644.13,TMBIM6,UTR3
TMBIM6_ENSG00000139644.13,PAS12071_AATAAA_0.15,1.24E-63,0,TMBIM6_ENSG00000139644.13,292.9926965,1,1.11E-65,2.05E-63,TMBIM6_ENSG00000139644.13,0.822480014,0.822480014,0.822480014,0.515823572,0.515823572,0.515823572,-0.306656442,chr12,49764933,49764934,2634,+,ENSG00000139644.13,TMBIM6,UTR3
HIGD1A_ENSG00000181061.14,PAS4097_ATTAAA_0.25,6.82E-63,0,HIGD1A_ENSG00000181061.14,289.3639861,1,6.84E-65,1.21E-62,HIGD1A_ENSG00000181061.14,0.77412248,0.77412248,0.77412248,0.254359417,0.254359417,0.254359417,-0.519763063,chr3,42784300,42784301,463,-,ENSG00000181061.14,HIGD1A,UTR3
HIGD1A_ENSG00000181061.14,PAS4098_AATAAA_0.35,6.82E-63,0,HIGD1A_ENSG00000181061.14,289.3639861,1,6.84E-65,1.21E-62,HIGD1A_ENSG00000181061.14,0.22587752,0.22587752,0.22587752,0.745640583,0.745640583,0.745640583,0.519763063,chr3,42785157,42785158,111,-,ENSG00000181061.14,HIGD1A,UTR3
TRAM1_ENSG00000067167.8,PAS8728_APA_0.15,4.41E-61,2.06E-63,TRAM1_ENSG00000067167.8,284.7945218,1,6.77E-64,1.17E-61,TRAM1_ENSG00000067167.8,0.157230666,0.157230666,0.157230666,0.523425452,0.523425452,0.523425452,0.366194786,chr8,70574825,70574826,118,-,ENSG00000067167.8,TRAM1,UTR3
SPCS3_ENSG00000129128.13,PAS4966_AATAAA_0.2,9.49E-65,3.29E-63,SPCS3_ENSG00000129128.13,282.4799853,1,2.16E-63,3.68E-61,SPCS3_ENSG00000129128.13,0.563330775,0.563330775,0.563330775,0.08324669,0.08324669,0.08324669,-0.480084084,chr4,176332242,176332243,74,+,ENSG00000129128.13,SPCS3,UTR3
C6orf89_ENSG00000198663.17,PAS6547_AATAAA_0.05,7.43E-60,3.22E-62,C6orf89_ENSG00000198663.17,277.9318291,1,2.12E-62,3.53E-60,C6orf89_ENSG00000198663.17,0.238429831,0.238429831,0.238429831,0.781619371,0.781619371,0.781619371,0.54318954,chr6,36923525,36923526,89,+,ENSG00000198663.17,C6orf89,UTR3
ATL3_ENSG00000184743.13,PAS11603_AATAAA_0.1,5.19E-60,0,ATL3_ENSG00000184743.13,275.9249236,1,5.80E-62,9.30E-60,ATL3_ENSG00000184743.13,0.746637657,0.746637657,0.746637657,0.24019747,0.24019747,0.24019747,-0.506440188,chr11,63624087,63624088,309,-,ENSG00000184743.13,ATL3,UTR3
ATL3_ENSG00000184743.13,PAS11604_ATTAAA_0.15,5.19E-60,0,ATL3_ENSG00000184743.13,275.9249236,1,5.80E-62,9.30E-60,ATL3_ENSG00000184743.13,0.253362343,0.253362343,0.253362343,0.75980253,0.75980253,0.75980253,0.506440188,chr11,63629123,63629124,76,-,ENSG00000184743.13,ATL3,UTR3
G3BP1_ENSG00000145907.16,PAS5773_APA_0.15,1.07E-59,2.65E-61,G3BP1_ENSG00000145907.16,275.1175068,1,8.70E-62,1.37E-59,G3BP1_ENSG00000145907.16,0.149029606,0.149029606,0.149029606,0.580801064,0.580801064,0.580801064,0.431771458,chr5,151804216,151804217,69,+,ENSG00000145907.16,G3BP1,UTR3
CYCS_ENSG00000172115.9,PAS7853_ATTAAA_0.15,2.75E-91,2.19E-61,CYCS_ENSG00000172115.9,274.1149444,1,1.44E-61,2.22E-59,CYCS_ENSG00000172115.9,0.609645692,0.609645692,0.609645692,0.284697839,0.284697839,0.284697839,-0.324947853,chr7,25122826,25122827,478,-,ENSG00000172115.9,CYCS,UTR3
RAN_ENSG00000132341.12,PAS12506_AATAAA_0.35,1.01E-58,6.41E-61,RAN_ENSG00000132341.12,273.3531827,1,2.11E-61,3.20E-59,RAN_ENSG00000132341.12,0.870824392,0.870824392,0.870824392,0.985267357,0.985267357,0.985267357,0.114442965,chr12,130876278,130876279,463,+,ENSG00000132341.12,RAN,UTR3
OGT_ENSG00000147162.15,PAS19753_AATAAA_0.25,2.26E-65,1.60E-60,OGT_ENSG00000147162.15,271.5315479,1,5.26E-61,7.84E-59,OGT_ENSG00000147162.15,0.172687691,0.172687691,0.172687691,0.527799225,0.527799225,0.527799225,0.355111533,chrX,71573821,71573822,151,+,ENSG00000147162.15,OGT,UTR3
ATAD1_ENSG00000138138.14,PAS10625_APA_0.15,2.16E-62,1.70E-60,ATAD1_ENSG00000138138.14,271.4081766,1,5.60E-61,8.20E-59,ATAD1_ENSG00000138138.14,0.137189038,0.137189038,0.137189038,0.647842504,0.647842504,0.647842504,0.510653466,chr10,87754662,87754663,146,-,ENSG00000138138.14,ATAD1,UTR3
SERBP1_ENSG00000142864.15,PAS1391_ATTAAA_0.4,5.96E-59,3.86E-59,SERBP1_ENSG00000142864.15,267.6850123,1,3.63E-60,5.22E-58,SERBP1_ENSG00000142864.15,0.69773063,0.69773063,0.69773063,0.880998647,0.880998647,0.880998647,0.183268017,chr1,67413090,67413091,159,-,ENSG00000142864.15,SERBP1,UTR3
CSNK1A1_ENSG00000113712.19,PAS6230_None_0.2,2.38E-62,3.48E-59,CSNK1A1_ENSG00000113712.19,266.7786738,1,5.71E-60,8.09E-58,CSNK1A1_ENSG00000113712.19,0.068786023,0.068786023,0.068786023,0.318626021,0.318626021,0.318626021,0.249839998,chr5,149496628,149496629,54,-,ENSG00000113712.19,CSNK1A1,UTR3
VMA21_ENSG00000160131.14,PAS19871_AATAAA_0.25,7.57E-58,0,VMA21_ENSG00000160131.14,265.6671691,1,9.98E-60,1.37E-57,VMA21_ENSG00000160131.14,0.566193959,0.566193959,0.566193959,0.959804857,0.959804857,0.959804857,0.393610898,chrX,151405159,151405160,176,+,ENSG00000160131.14,VMA21,UTR3
VMA21_ENSG00000160131.14,PAS19872_ATTAAA_0.1,7.57E-58,0,VMA21_ENSG00000160131.14,265.6671691,1,9.98E-60,1.37E-57,VMA21_ENSG00000160131.14,0.433806041,0.433806041,0.433806041,0.040195143,0.040195143,0.040195143,-0.393610898,chrX,151409362,151409363,107,+,ENSG00000160131.14,VMA21,UTR3
IER3IP1_ENSG00000134049.6,PAS17216_AATAAA_0.2,1.88E-57,0,IER3IP1_ENSG00000134049.6,263.8156697,1,2.53E-59,3.36E-57,IER3IP1_ENSG00000134049.6,0.557073227,0.557073227,0.557073227,0.10915213,0.10915213,0.10915213,-0.447921097,chr18,47155043,47155044,163,-,ENSG00000134049.6,IER3IP1,UTR3
IER3IP1_ENSG00000134049.6,PAS17217_AATAAA_0.15,1.88E-57,0,IER3IP1_ENSG00000134049.6,263.8156697,1,2.53E-59,3.36E-57,IER3IP1_ENSG00000134049.6,0.442926773,0.442926773,0.442926773,0.89084787,0.89084787,0.89084787,0.447921097,chr18,47156030,47156031,287,-,ENSG00000134049.6,IER3IP1,UTR3
SQSTM1_ENSG00000161011.20,PAS5876_AATAAA_0.3,4.96E-56,3.85E-58,SQSTM1_ENSG00000161011.20,261.9896877,1,6.32E-59,8.26E-57,SQSTM1_ENSG00000161011.20,0.095056822,0.095056822,0.095056822,0.308346625,0.308346625,0.308346625,0.213289803,chr5,179838074,179838075,1990,+,ENSG00000161011.20,SQSTM1,UTR3
TRAM1_ENSG00000067167.8,PAS8726_AATAAA_0.25,4.41E-61,2.16E-58,TRAM1_ENSG00000067167.8,261.758944,1,7.10E-59,9.14E-57,TRAM1_ENSG00000067167.8,0.79151154,0.79151154,0.79151154,0.427803613,0.427803613,0.427803613,-0.363707927,chr8,70573445,70573446,773,-,ENSG00000067167.8,TRAM1,UTR3
IREB2_ENSG00000136381.13,PAS14505_AATAAA_0.45,1.89E-56,0,IREB2_ENSG00000136381.13,259.1320051,1,2.65E-58,3.32E-56,IREB2_ENSG00000136381.13,0.160612152,0.160612152,0.160612152,0.864905273,0.864905273,0.864905273,0.70429312,chr15,78498449,78498450,54,+,ENSG00000136381.13,IREB2,UTR3
IREB2_ENSG00000136381.13,PAS14506_AATAAA_0.15,1.89E-56,0,IREB2_ENSG00000136381.13,259.1320051,1,2.65E-58,3.32E-56,IREB2_ENSG00000136381.13,0.839387848,0.839387848,0.839387848,0.135094727,0.135094727,0.135094727,-0.70429312,chr15,78501449,78501450,178,+,ENSG00000136381.13,IREB2,UTR3
YWHAB_ENSG00000166913.13,PAS18638_APA_0.3,5.56E-55,6.11E-58,YWHAB_ENSG00000166913.13,258.3036011,1,4.02E-58,4.95E-56,YWHAB_ENSG00000166913.13,0.675443454,0.675443454,0.675443454,0.872635642,0.872635642,0.872635642,0.197192189,chr20,44906526,44906527,131,+,ENSG00000166913.13,YWHAB,UTR3
OGFRL1_ENSG00000119900.9,PAS6665_ATTAAA_0.35,7.69E-119,8.46E-57,OGFRL1_ENSG00000119900.9,255.2584761,1,1.85E-57,2.25E-55,OGFRL1_ENSG00000119900.9,0.288911132,0.288911132,0.288911132,0.03879043,0.03879043,0.03879043,-0.250120702,chr6,71308943,71308944,98,+,ENSG00000119900.9,OGFRL1,UTR3
GNAI3_ENSG00000065135.12,PAS501_ATTAAA_0.1,7.98E-69,2.15E-56,GNAI3_ENSG00000065135.12,252.5962753,1,7.05E-57,8.44E-55,GNAI3_ENSG00000065135.12,0.576231122,0.576231122,0.576231122,0.159469365,0.159469365,0.159469365,-0.416761757,chr1,109593507,109593508,114,+,ENSG00000065135.12,GNAI3,UTR3
BCAT1_ENSG00000060982.15,PAS12629_APA_0.3,1.44E-59,1.03E-55,BCAT1_ENSG00000060982.15,250.8512852,1,1.69E-56,2.00E-54,BCAT1_ENSG00000060982.15,0.047705326,0.047705326,0.047705326,0.269210218,0.269210218,0.269210218,0.221504892,chr12,24817828,24817829,23,-,ENSG00000060982.15,BCAT1,UTR3
MAP4K4_ENSG00000071054.17,PAS2359_APA_0.25,1.59E-75,1.52E-55,MAP4K4_ENSG00000071054.17,248.6962893,1,5.00E-56,5.82E-54,MAP4K4_ENSG00000071054.17,0.654588905,0.654588905,0.654588905,0.283727136,0.283727136,0.283727136,-0.370861769,chr2,101892038,101892039,11,+,ENSG00000071054.17,MAP4K4,UTR3
TNPO1_ENSG00000083312.19,PAS5508_AATAAA_0.2,4.13E-81,4.12E-55,TNPO1_ENSG00000083312.19,247.515272,1,9.04E-56,1.04E-53,TNPO1_ENSG00000083312.19,0.54161045,0.54161045,0.54161045,0.181765695,0.181765695,0.181765695,-0.359844754,chr5,72914386,72914387,143,+,ENSG00000083312.19,TNPO1,UTR3
PRKAR1A_ENSG00000108946.16,PAS16247_AATAAA_0.15,1.91E-53,2.63E-55,PRKAR1A_ENSG00000108946.16,246.2262812,1,1.73E-55,1.96E-53,PRKAR1A_ENSG00000108946.16,0.037234901,0.037234901,0.037234901,0.268928832,0.268928832,0.268928832,0.231693932,chr17,68530663,68530664,54,+,ENSG00000108946.16,PRKAR1A,UTR3
