gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,ctrl_DMSO_1,ctrl_DMSO_2,ctrl_DMSO_3,ELAVL1_DMSO_1,ELAVL1_DMSO_2,ELAVL1_DMSO_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
UBE2D3_ENSG00000109332.20,PAS5207_AATAAA_0.2,2.87E-20,2.62E-20,UBE2D3_ENSG00000109332.20,91.46006706,1,1.14E-21,8.59E-19,UBE2D3_ENSG00000109332.20,0.571606568,0.571606568,0.571606568,0.300614609,0.300614609,0.300614609,-0.270991959,chr4,102795970,102795971,207,-,ENSG00000109332.20,UBE2D3,UTR3
CSNK2A1_ENSG00000101266.19,PAS18763_AATAAA_0.2,1.46E-14,9.02E-18,CSNK2A1_ENSG00000101266.19,79.91365324,1,3.91E-19,2.71E-16,CSNK2A1_ENSG00000101266.19,0.309837313,0.309837313,0.309837313,0.131754276,0.131754276,0.131754276,-0.178083037,chr20,481106,481107,122,-,ENSG00000101266.19,CSNK2A1,UTR3
PABPC1_ENSG00000070756.17,PAS8845_AATAAA_0.1,3.52E-14,1.11E-17,PABPC1_ENSG00000070756.17,79.49631929,1,4.83E-19,3.08E-16,PABPC1_ENSG00000070756.17,0.430295202,0.430295202,0.430295202,0.370173371,0.370173371,0.370173371,-0.060121832,chr8,100702915,100702916,20278,-,ENSG00000070756.17,PABPC1,UTR3
PABPC1_ENSG00000070756.17,PAS8846_AATAAA_0.35,3.52E-14,1.84E-17,PABPC1_ENSG00000070756.17,78.50761026,1,7.97E-19,4.72E-16,PABPC1_ENSG00000070756.17,0.560627092,0.560627092,0.560627092,0.620531168,0.620531168,0.620531168,0.059904076,chr8,100703236,100703237,283,-,ENSG00000070756.17,PABPC1,UTR3
EGFR_ENSG00000146648.21,PAS7519_ATTAAA_0.15,6.12E-15,2.51E-17,EGFR_ENSG00000146648.21,77.09297937,1,1.63E-18,9.02E-16,EGFR_ENSG00000146648.21,0.427715144,0.427715144,0.427715144,0.238458763,0.238458763,0.238458763,-0.189256381,chr7,55211567,55211568,75,+,ENSG00000146648.21,EGFR,UTR3
LMAN2_ENSG00000169223.16,PAS6308_AATAAA_0.15,9.32E-16,0,LMAN2_ENSG00000169223.16,76.06461923,1,2.75E-18,1.34E-15,LMAN2_ENSG00000169223.16,0.553485986,0.553485986,0.553485986,0.291416652,0.291416652,0.291416652,-0.262069334,chr5,177331562,177331563,300,-,ENSG00000169223.16,LMAN2,UTR3
LMAN2_ENSG00000169223.16,PAS6309_AATAAA_0.15,9.32E-16,0,LMAN2_ENSG00000169223.16,76.06461923,1,2.75E-18,1.34E-15,LMAN2_ENSG00000169223.16,0.446514014,0.446514014,0.446514014,0.708583348,0.708583348,0.708583348,0.262069334,chr5,177331954,177331955,119,-,ENSG00000169223.16,LMAN2,UTR3
CARD8_ENSG00000105483.18,PAS18343_ATTAAA_0.2,2.25E-14,1.68E-15,CARD8_ENSG00000105483.18,70.59853977,1,4.38E-17,2.02E-14,CARD8_ENSG00000105483.18,0.190939792,0.190939792,0.190939792,0.400784016,0.400784016,0.400784016,0.209844224,chr19,48238334,48238335,91,-,ENSG00000105483.18,CARD8,UTR3
SARNP_ENSG00000205323.9,PAS12795_AATAAA_0.4,1.46E-14,0,SARNP_ENSG00000205323.9,70.19777038,1,5.36E-17,2.23E-14,SARNP_ENSG00000205323.9,0.064714193,0.064714193,0.064714193,0.224508052,0.224508052,0.224508052,0.159793859,chr12,55752581,55752582,33,-,ENSG00000205323.9,SARNP,UTR3
SARNP_ENSG00000205323.9,PAS12796_AATAAA_0.3,1.46E-14,0,SARNP_ENSG00000205323.9,70.19777038,1,5.36E-17,2.23E-14,SARNP_ENSG00000205323.9,0.935285807,0.935285807,0.935285807,0.775491948,0.775491948,0.775491948,-0.159793859,chr12,55757271,55757272,214,-,ENSG00000205323.9,SARNP,UTR3
ANKRD10_ENSG00000088448.14,PAS13519_ATTAAA_0.1,4.96E-40,1.34E-15,ANKRD10_ENSG00000088448.14,67.87055373,1,1.75E-16,6.90E-14,ANKRD10_ENSG00000088448.14,0.487233601,0.487233601,0.487233601,0.715948541,0.715948541,0.715948541,0.22871494,chr13,110892697,110892698,109,-,ENSG00000088448.14,ANKRD10,UTR3
RRM2_ENSG00000171848.16,PAS2042_AATAAA_0.35,1.16E-12,0,RRM2_ENSG00000171848.16,60.96310968,1,5.82E-15,2.10E-12,RRM2_ENSG00000171848.16,0.600130307,0.600130307,0.600130307,0.92220152,0.92220152,0.92220152,0.322071212,chr2,10129797,10129798,133,+,ENSG00000171848.16,RRM2,UTR3
RRM2_ENSG00000171848.16,PAS2043_AATAAA_0.3,1.16E-12,0,RRM2_ENSG00000171848.16,60.96310968,1,5.82E-15,2.10E-12,RRM2_ENSG00000171848.16,0.399869693,0.399869693,0.399869693,0.07779848,0.07779848,0.07779848,-0.322071212,chr2,10131412,10131413,168,+,ENSG00000171848.16,RRM2,UTR3
GFPT1_ENSG00000198380.13,PAS2951_AATAAA_0.4,2.15E-23,1.52E-13,GFPT1_ENSG00000198380.13,59.91682401,1,9.90E-15,3.42E-12,GFPT1_ENSG00000198380.13,0.337933159,0.337933159,0.337933159,0.160985618,0.160985618,0.160985618,-0.176947541,chr2,69321691,69321692,77,-,ENSG00000198380.13,GFPT1,UTR3
OGFRL1_ENSG00000119900.9,PAS6661_AATAAA_0.3,8.83E-11,4.99E-13,OGFRL1_ENSG00000119900.9,58.37610446,1,2.17E-14,7.19E-12,OGFRL1_ENSG00000119900.9,0.371521853,0.371521853,0.371521853,0.646587917,0.646587917,0.646587917,0.275066064,chr6,71302267,71302268,209,+,ENSG00000119900.9,OGFRL1,UTR3
GLS_ENSG00000115419.14,PAS2555_AATAAA_0.45,4.59E-11,1.10E-12,GLS_ENSG00000115419.14,56.02269755,1,7.16E-14,2.29E-11,GLS_ENSG00000115419.14,0.213516745,0.213516745,0.213516745,0.033745042,0.033745042,0.033745042,-0.179771703,chr2,190965551,190965552,22,+,ENSG00000115419.14,GLS,UTR3
SPRING1_ENSG00000111412.6,PAS13041_None_0.05,9.08E-11,6.56E-13,SPRING1_ENSG00000111412.6,55.67915597,1,8.53E-14,2.62E-11,SPRING1_ENSG00000111412.6,0.402003328,0.402003328,0.402003328,0.228918423,0.228918423,0.228918423,-0.173084906,chr12,116717336,116717337,320,-,ENSG00000111412.6,SPRING1,UTR3
TLE5_ENSG00000104964.15,PAS17953_AATAAA_0,1.88E-11,0,TLE5_ENSG00000104964.15,55.37728561,1,9.95E-14,2.85E-11,TLE5_ENSG00000104964.15,0.274837524,0.274837524,0.274837524,0.144949199,0.144949199,0.144949199,-0.129888325,chr19,3052909,3052910,1298,-,ENSG00000104964.15,TLE5,UTR3
TLE5_ENSG00000104964.15,PAS17954_AATAAA_0.2,1.88E-11,0,TLE5_ENSG00000104964.15,55.37728561,1,9.95E-14,2.85E-11,TLE5_ENSG00000104964.15,0.725162476,0.725162476,0.725162476,0.855050801,0.855050801,0.855050801,0.129888325,chr19,3053161,3053162,1838,-,ENSG00000104964.15,TLE5,UTR3
CD44_ENSG00000026508.21,PAS10978_ATTAAA_0.3,1.91E-20,1.29E-11,CD44_ENSG00000026508.21,51.18010536,1,8.43E-13,2.33E-10,CD44_ENSG00000026508.21,0.208829145,0.208829145,0.208829145,0.117240962,0.117240962,0.117240962,-0.091588183,chr11,35232400,35232401,189,+,ENSG00000026508.21,CD44,UTR3
SSR3_ENSG00000114850.7,PAS4480_ATTAAA_0.3,3.54E-09,4.04E-11,SSR3_ENSG00000114850.7,50.30536673,1,1.32E-12,3.52E-10,SSR3_ENSG00000114850.7,0.246576774,0.246576774,0.246576774,0.164497812,0.164497812,0.164497812,-0.082078963,chr3,156540147,156540148,829,-,ENSG00000114850.7,SSR3,UTR3
IPO7_ENSG00000205339.10,PAS10875_AATAAA_0.4,2.98E-27,2.89E-11,IPO7_ENSG00000205339.10,49.60370113,1,1.88E-12,4.73E-10,IPO7_ENSG00000205339.10,0.440052356,0.440052356,0.440052356,0.259398395,0.259398395,0.259398395,-0.180653961,chr11,9447240,9447241,324,+,ENSG00000205339.10,IPO7,UTR3
ANKRD11_ENSG00000167522.17,PAS15742_AATAAA_0.3,1.78E-09,1.44E-11,ANKRD11_ENSG00000167522.17,49.60806239,1,1.88E-12,4.73E-10,ANKRD11_ENSG00000167522.17,0.842775721,0.842775721,0.842775721,0.95454109,0.95454109,0.95454109,0.111765369,chr16,89298875,89298876,341,-,ENSG00000167522.17,ANKRD11,UTR3
UBE2D3_ENSG00000109332.20,PAS5209_AATAAA_0.1,2.87E-20,5.26E-11,UBE2D3_ENSG00000109332.20,49.2260472,1,2.28E-12,5.57E-10,UBE2D3_ENSG00000109332.20,0.117541416,0.117541416,0.117541416,0.27480744,0.27480744,0.27480744,0.157266024,chr4,102797355,102797356,504,-,ENSG00000109332.20,UBE2D3,UTR3
TMEM41B_ENSG00000166471.11,PAS11437_AATAAA_0.3,2.47E-09,1.95E-11,TMEM41B_ENSG00000166471.11,49.01216196,1,2.54E-12,5.86E-10,TMEM41B_ENSG00000166471.11,0.731400683,0.731400683,0.731400683,0.888823281,0.888823281,0.888823281,0.157422598,chr11,9280656,9280657,280,-,ENSG00000166471.11,TMEM41B,UTR3
TIMP2_ENSG00000035862.13,PAS16924_AATAAA_0.2,2.47E-09,1.95E-11,TIMP2_ENSG00000035862.13,49.0205958,1,2.53E-12,5.86E-10,TIMP2_ENSG00000035862.13,0.226583822,0.226583822,0.226583822,0.41865808,0.41865808,0.41865808,0.192074258,chr17,78855543,78855544,386,-,ENSG00000035862.13,TIMP2,UTR3
DEF8_ENSG00000140995.17,PAS15375_ATTAAA_0.15,4.07E-10,0,DEF8_ENSG00000140995.17,48.76934801,1,2.88E-12,6.29E-10,DEF8_ENSG00000140995.17,0.613296277,0.613296277,0.613296277,0.238181468,0.238181468,0.238181468,-0.375114809,chr16,89959364,89959365,96,+,ENSG00000140995.17,DEF8,UTR3
DEF8_ENSG00000140995.17,PAS15376_ATTAAA_0.05,4.07E-10,0,DEF8_ENSG00000140995.17,48.76934801,1,2.88E-12,6.29E-10,DEF8_ENSG00000140995.17,0.386703723,0.386703723,0.386703723,0.761818532,0.761818532,0.761818532,0.375114809,chr16,89968058,89968059,122,+,ENSG00000140995.17,DEF8,UTR3
CDCP1_ENSG00000163814.8,PAS4113_AATAAA_0.35,3.96E-13,1.10E-10,CDCP1_ENSG00000163814.8,47.77221755,1,4.79E-12,1.02E-09,CDCP1_ENSG00000163814.8,0.584774947,0.584774947,0.584774947,0.415321369,0.415321369,0.415321369,-0.169453578,chr3,45082516,45082517,65,-,ENSG00000163814.8,CDCP1,UTR3
IPO7_ENSG00000205339.10,PAS10876_AATAAA_0.35,2.98E-27,8.26E-11,IPO7_ENSG00000205339.10,47.54609306,1,5.37E-12,1.10E-09,IPO7_ENSG00000205339.10,0.207237805,0.207237805,0.207237805,0.078628856,0.078628856,0.078628856,-0.128608949,chr11,9448125,9448126,157,+,ENSG00000205339.10,IPO7,UTR3
MLXIP_ENSG00000175727.14,PAS12450_APA_0.1,9.08E-11,8.36E-11,MLXIP_ENSG00000175727.14,47.52166292,1,5.44E-12,1.10E-09,MLXIP_ENSG00000175727.14,0.043966328,0.043966328,0.043966328,0.00742897,0.00742897,0.00742897,-0.036537358,chr12,122134162,122134163,42,+,ENSG00000175727.14,MLXIP,UTR3
HERC4_ENSG00000148634.16,PAS10536_ATTAAA_0.15,3.74E-11,1.59E-10,HERC4_ENSG00000148634.16,46.26166772,1,1.03E-11,2.04E-09,HERC4_ENSG00000148634.16,0.126798088,0.126798088,0.126798088,0.341046872,0.341046872,0.341046872,0.214248784,chr10,68070169,68070170,48,-,ENSG00000148634.16,HERC4,UTR3
CUL4A_ENSG00000139842.15,PAS13351_AATAAA_0.4,3.81E-21,8.97E-11,CUL4A_ENSG00000139842.15,46.02424065,1,1.17E-11,2.14E-09,CUL4A_ENSG00000139842.15,0.55745759,0.55745759,0.55745759,0.282926624,0.282926624,0.282926624,-0.274530966,chr13,113265071,113265072,52,+,ENSG00000139842.15,CUL4A,UTR3
JPT1_ENSG00000189159.16,PAS16861_APA_0.25,1.59E-09,0,JPT1_ENSG00000189159.16,46.01884027,1,1.17E-11,2.14E-09,JPT1_ENSG00000189159.16,0.39060256,0.39060256,0.39060256,0.195546188,0.195546188,0.195546188,-0.195056372,chr17,75135250,75135251,556,-,ENSG00000189159.16,JPT1,UTR3
JPT1_ENSG00000189159.16,PAS16862_ATTAAA_0.1,1.59E-09,0,JPT1_ENSG00000189159.16,46.01884027,1,1.17E-11,2.14E-09,JPT1_ENSG00000189159.16,0.60939744,0.60939744,0.60939744,0.804453812,0.804453812,0.804453812,0.195056372,chr17,75135988,75135989,445,-,ENSG00000189159.16,JPT1,UTR3
CPNE3_ENSG00000085719.13,PAS8359_APA_0.25,7.76E-09,9.10E-11,CPNE3_ENSG00000085719.13,45.99664616,1,1.18E-11,2.14E-09,CPNE3_ENSG00000085719.13,0.833628661,0.833628661,0.833628661,0.628223818,0.628223818,0.628223818,-0.205404842,chr8,86561411,86561412,218,+,ENSG00000085719.13,CPNE3,UTR3
DENR_ENSG00000139726.11,PAS12462_ATTAAA_0.3,4.65E-09,2.16E-10,DENR_ENSG00000139726.11,45.66241451,1,1.40E-11,2.48E-09,DENR_ENSG00000139726.11,0.64059623,0.64059623,0.64059623,0.449669163,0.449669163,0.449669163,-0.190927067,chr12,122771059,122771060,422,+,ENSG00000139726.11,DENR,UTR3
NPM1_ENSG00000181163.14,PAS5819_AATAAA_0.4,1.24E-08,1.24E-10,NPM1_ENSG00000181163.14,45.38293722,1,1.62E-11,2.80E-09,NPM1_ENSG00000181163.14,0.178571187,0.178571187,0.178571187,0.246578281,0.246578281,0.246578281,0.068007094,chr5,171406724,171406725,1796,+,ENSG00000181163.14,NPM1,UTR3
SLC2A3_ENSG00000059804.16,PAS12582_AATAAA_0.25,2.47E-09,0,SLC2A3_ENSG00000059804.16,44.89202514,1,2.08E-11,3.46E-09,SLC2A3_ENSG00000059804.16,0.646614229,0.646614229,0.646614229,0.847737177,0.847737177,0.847737177,0.201122948,chr12,7919230,7919231,351,-,ENSG00000059804.16,SLC2A3,UTR3
SLC2A3_ENSG00000059804.16,PAS12583_AATAAA_0.1,2.47E-09,0,SLC2A3_ENSG00000059804.16,44.89202514,1,2.08E-11,3.46E-09,SLC2A3_ENSG00000059804.16,0.353385771,0.353385771,0.353385771,0.152262823,0.152262823,0.152262823,-0.201122948,chr12,7920548,7920549,56,-,ENSG00000059804.16,SLC2A3,UTR3
CD59_ENSG00000085063.18,PAS11508_AATAAA_0.25,8.18E-09,3.54E-10,CD59_ENSG00000085063.18,44.69215439,1,2.31E-11,3.75E-09,CD59_ENSG00000085063.18,0.122990143,0.122990143,0.122990143,0.202483419,0.202483419,0.202483419,0.079493277,chr11,33705282,33705283,574,-,ENSG00000085063.18,CD59,UTR3
EIF2S3_ENSG00000130741.11,PAS19658_AATAAA_0.2,3.15E-09,4.03E-10,EIF2S3_ENSG00000130741.11,44.44053106,1,2.62E-11,4.18E-09,EIF2S3_ENSG00000130741.11,0.196331305,0.196331305,0.196331305,0.378031764,0.378031764,0.378031764,0.181700459,chrX,24077466,24077467,222,+,ENSG00000130741.11,EIF2S3,UTR3
AVL9_ENSG00000105778.20,PAS7465_ATTAAA_0.25,1.78E-08,2.76E-10,AVL9_ENSG00000105778.20,43.82624278,1,3.59E-11,5.62E-09,AVL9_ENSG00000105778.20,0.41093243,0.41093243,0.41093243,0.716769928,0.716769928,0.716769928,0.305837498,chr7,32584166,32584167,164,+,ENSG00000105778.20,AVL9,UTR3
POLR1D_ENSG00000186184.20,PAS13218_AATAAA_0.25,2.21E-08,5.72E-10,POLR1D_ENSG00000186184.20,43.75550195,1,3.72E-11,5.72E-09,POLR1D_ENSG00000186184.20,0.539348055,0.539348055,0.539348055,0.713315063,0.713315063,0.713315063,0.173967008,chr13,27623445,27623446,392,+,ENSG00000186184.20,POLR1D,UTR3
GFPT1_ENSG00000198380.13,PAS2953_None_0.15,2.15E-23,8.38E-10,GFPT1_ENSG00000198380.13,43.00821983,1,5.45E-11,8.23E-09,GFPT1_ENSG00000198380.13,0.141380589,0.141380589,0.141380589,0.278409335,0.278409335,0.278409335,0.137028746,chr2,69326104,69326105,54,-,ENSG00000198380.13,GFPT1,UTR3
BFAR_ENSG00000103429.11,PAS15073_APA_0.15,2.97E-09,4.46E-10,BFAR_ENSG00000103429.11,42.88565185,1,5.80E-11,8.60E-09,BFAR_ENSG00000103429.11,0.135187421,0.135187421,0.135187421,0.374500783,0.374500783,0.374500783,0.239313361,chr16,14650586,14650587,85,+,ENSG00000103429.11,BFAR,UTR3
HERC4_ENSG00000148634.16,PAS10533_AATAAA_0.2,3.74E-11,1.17E-09,HERC4_ENSG00000148634.16,42.36099292,1,7.59E-11,1.10E-08,HERC4_ENSG00000148634.16,0.678288856,0.678288856,0.678288856,0.433331807,0.433331807,0.433331807,-0.244957049,chr10,67922484,67922485,137,-,ENSG00000148634.16,HERC4,UTR3
TNPO1_ENSG00000083312.19,PAS5505_AATAAA_0.3,6.92E-08,1.80E-09,TNPO1_ENSG00000083312.19,42.30323652,1,7.82E-11,1.12E-08,TNPO1_ENSG00000083312.19,0.094183423,0.094183423,0.094183423,0.266238471,0.266238471,0.266238471,0.172055048,chr5,72909327,72909328,59,+,ENSG00000083312.19,TNPO1,UTR3
NUDT21_ENSG00000167005.14,PAS15584_AATAAA_0.25,1.34E-08,1.36E-09,NUDT21_ENSG00000167005.14,42.06436111,1,8.83E-11,1.24E-08,NUDT21_ENSG00000167005.14,0.258655112,0.258655112,0.258655112,0.098827223,0.098827223,0.098827223,-0.15982789,chr16,56429136,56429137,22,-,ENSG00000167005.14,NUDT21,UTR3
PEDS1-UBE2V1_ENSG00000124208.16,PAS18964_AATAAA_0.2,4.46E-08,7.10E-10,PEDS1-UBE2V1_ENSG00000124208.16,41.97621812,1,9.24E-11,1.28E-08,PEDS1-UBE2V1_ENSG00000124208.16,0.238289398,0.238289398,0.238289398,0.110183909,0.110183909,0.110183909,-0.12810549,chr20,50081125,50081126,121,-,ENSG00000124208.16,PEDS1-UBE2V1,UTR3
MOB1A_ENSG00000114978.18,PAS2984_AATAAA_0.4,3.10E-09,2.55E-09,MOB1A_ENSG00000114978.18,41.62295205,1,1.11E-10,1.51E-08,MOB1A_ENSG00000114978.18,0.51680692,0.51680692,0.51680692,0.300465968,0.300465968,0.300465968,-0.216340952,chr2,74152593,74152594,38,-,ENSG00000114978.18,MOB1A,UTR3
CALM1_ENSG00000198668.14,PAS13794_AATAAA_0.25,2.30E-08,9.89E-10,CALM1_ENSG00000198668.14,41.32723211,1,1.29E-10,1.72E-08,CALM1_ENSG00000198668.14,0.329929819,0.329929819,0.329929819,0.166205858,0.166205858,0.166205858,-0.163723961,chr14,90408265,90408266,588,+,ENSG00000198668.14,CALM1,UTR3
NPM1_ENSG00000181163.14,PAS5820_AATAAA_0.2,1.24E-08,1.09E-09,NPM1_ENSG00000181163.14,41.14546977,1,1.41E-10,1.86E-08,NPM1_ENSG00000181163.14,0.79881476,0.79881476,0.79881476,0.731733249,0.731733249,0.731733249,-0.067081511,chr5,171410882,171410883,5891,+,ENSG00000181163.14,NPM1,UTR3
CPNE3_ENSG00000085719.13,PAS8357_APA_0.35,7.76E-09,1.11E-09,CPNE3_ENSG00000085719.13,41.10004385,1,1.45E-10,1.88E-08,CPNE3_ENSG00000085719.13,0.135579312,0.135579312,0.135579312,0.319299941,0.319299941,0.319299941,0.183720629,chr8,86558657,86558658,544,+,ENSG00000085719.13,CPNE3,UTR3
SERPINE1_ENSG00000106366.9,PAS7609_APA_0.05,1.32E-08,0,SERPINE1_ENSG00000106366.9,41.01303045,1,1.51E-10,1.90E-08,SERPINE1_ENSG00000106366.9,0.778344073,0.778344073,0.778344073,0.588028429,0.588028429,0.588028429,-0.190315644,chr7,101138302,101138303,350,+,ENSG00000106366.9,SERPINE1,UTR3
SERPINE1_ENSG00000106366.9,PAS7610_AATAAA_0.4,1.32E-08,0,SERPINE1_ENSG00000106366.9,41.01303045,1,1.51E-10,1.90E-08,SERPINE1_ENSG00000106366.9,0.221655927,0.221655927,0.221655927,0.411971571,0.411971571,0.411971571,0.190315644,chr7,101139244,101139245,128,+,ENSG00000106366.9,SERPINE1,UTR3
USP33_ENSG00000077254.14,PAS1415_AATAAA_0.4,1.91E-08,0,USP33_ENSG00000077254.14,40.04910652,1,2.48E-10,2.97E-08,USP33_ENSG00000077254.14,0.546251646,0.546251646,0.546251646,0.273430392,0.273430392,0.273430392,-0.272821254,chr1,77695990,77695991,166,-,ENSG00000077254.14,USP33,UTR3
USP33_ENSG00000077254.14,PAS1416_AATAAA_0.4,1.91E-08,0,USP33_ENSG00000077254.14,40.04910652,1,2.48E-10,2.97E-08,USP33_ENSG00000077254.14,0.453748354,0.453748354,0.453748354,0.726569608,0.726569608,0.726569608,0.272821254,chr1,77711654,77711655,21,-,ENSG00000077254.14,USP33,UTR3
MAP4K4_ENSG00000071054.17,PAS2358_AATAAA_0.3,3.82E-07,3.76E-09,MAP4K4_ENSG00000071054.17,40.07111043,1,2.45E-10,2.97E-08,MAP4K4_ENSG00000071054.17,0.218701066,0.218701066,0.218701066,0.350472303,0.350472303,0.350472303,0.131771237,chr2,101891494,101891495,103,+,ENSG00000071054.17,MAP4K4,UTR3
KDELR2_ENSG00000136240.10,PAS7796_AATAAA_0.25,1.32E-08,1.92E-09,KDELR2_ENSG00000136240.10,40.02792478,1,2.50E-10,2.97E-08,KDELR2_ENSG00000136240.10,0.510993833,0.510993833,0.510993833,0.375636507,0.375636507,0.375636507,-0.135357326,chr7,6461090,6461091,472,-,ENSG00000136240.10,KDELR2,UTR3
CLIC4_ENSG00000169504.15,PAS152_APA_0.35,2.11E-08,0,CLIC4_ENSG00000169504.15,39.81227128,1,2.80E-10,3.22E-08,CLIC4_ENSG00000169504.15,0.072240495,0.072240495,0.072240495,0.2177435,0.2177435,0.2177435,0.145503005,chr1,24840948,24840949,161,+,ENSG00000169504.15,CLIC4,UTR3
CLIC4_ENSG00000169504.15,PAS153_AATAAA_0.35,2.11E-08,0,CLIC4_ENSG00000169504.15,39.81227128,1,2.80E-10,3.22E-08,CLIC4_ENSG00000169504.15,0.927759505,0.927759505,0.927759505,0.7822565,0.7822565,0.7822565,-0.145503005,chr1,24844316,24844317,341,+,ENSG00000169504.15,CLIC4,UTR3
TMED10_ENSG00000170348.9,PAS14128_AATAAA_0.2,2.34E-08,0,TMED10_ENSG00000170348.9,39.4819247,1,3.31E-10,3.71E-08,TMED10_ENSG00000170348.9,0.649947516,0.649947516,0.649947516,0.418810389,0.418810389,0.418810389,-0.231137127,chr14,75131469,75131470,683,-,ENSG00000170348.9,TMED10,UTR3
TMED10_ENSG00000170348.9,PAS14129_ATTAAA_0.15,2.34E-08,0,TMED10_ENSG00000170348.9,39.4819247,1,3.31E-10,3.71E-08,TMED10_ENSG00000170348.9,0.350052484,0.350052484,0.350052484,0.581189611,0.581189611,0.581189611,0.231137127,chr14,75134245,75134246,252,-,ENSG00000170348.9,TMED10,UTR3
RPL28_ENSG00000108107.15,PAS17847_AATAAA_0.1,9.78E-07,7.53E-09,RPL28_ENSG00000108107.15,38.71623323,1,4.90E-10,5.42E-08,RPL28_ENSG00000108107.15,0.976500923,0.976500923,0.976500923,0.990961094,0.990961094,0.990961094,0.014460171,chr19,55388371,55388372,20114,+,ENSG00000108107.15,RPL28,UTR3
