gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,ctrl_DMSO_1,ctrl_DMSO_2,ctrl_DMSO_3,ctrl_SDMAi_ADMAi_1,ctrl_SDMAi_ADMAi_2,ctrl_SDMAi_ADMAi_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
NUTF2_ENSG00000102898.13,PAS15260_AATAAA_0.35,1.42E-21,0,NUTF2_ENSG00000102898.13,101.3174091,1,7.84E-24,2.75E-21,NUTF2_ENSG00000102898.13,0.899920967,0.899920967,0.899920967,0.638679382,0.638679382,0.638679382,-0.261241585,chr16,67871311,67871312,224,+,ENSG00000102898.13,NUTF2,UTR3
NUTF2_ENSG00000102898.13,PAS15261_AATAAA_0.15,1.42E-21,0,NUTF2_ENSG00000102898.13,101.3174091,1,7.84E-24,2.75E-21,NUTF2_ENSG00000102898.13,0.100079033,0.100079033,0.100079033,0.361320618,0.361320618,0.361320618,0.261241585,chr16,67872563,67872564,43,+,ENSG00000102898.13,NUTF2,UTR3
AP2B1_ENSG00000006125.18,PAS15965_ATTAAA_0.3,7.85E-24,1.89E-22,AP2B1_ENSG00000006125.18,98.05220406,1,4.07E-23,1.37E-20,AP2B1_ENSG00000006125.18,0.305945955,0.305945955,0.305945955,0.090525629,0.090525629,0.090525629,-0.215420325,chr17,35724085,35724086,228,+,ENSG00000006125.18,AP2B1,UTR3
ANKRD10_ENSG00000088448.14,PAS13518_AATAAA_0.05,3.53E-18,1.09E-20,ANKRD10_ENSG00000088448.14,90.03267607,1,2.34E-21,7.58E-19,ANKRD10_ENSG00000088448.14,0.324145138,0.324145138,0.324145138,0.705009766,0.705009766,0.705009766,0.380864628,chr13,110878540,110878541,234,-,ENSG00000088448.14,ANKRD10,UTR3
GSPT1_ENSG00000103342.13,PAS15475_AATAAA_0.25,1.70E-26,4.03E-20,GSPT1_ENSG00000103342.13,88.80941487,1,4.35E-21,1.35E-18,GSPT1_ENSG00000103342.13,0.063085814,0.063085814,0.063085814,0.263741703,0.263741703,0.263741703,0.200655889,chr16,11868129,11868130,29,-,ENSG00000103342.13,GSPT1,UTR3
RPS24_ENSG00000138326.21,PAS10068_AATAAA_0.15,4.57E-18,2.47E-20,RPS24_ENSG00000138326.21,88.40346935,1,5.34E-21,1.60E-18,RPS24_ENSG00000138326.21,0.999222958,0.999222958,0.999222958,0.992678495,0.992678495,0.992678495,-0.006544463,chr10,78040695,78040696,25909,+,ENSG00000138326.21,RPS24,UTR3
RPL28_ENSG00000108107.15,PAS17847_AATAAA_0.1,1.09E-20,5.29E-20,RPL28_ENSG00000108107.15,88.27153647,1,5.71E-21,1.66E-18,RPL28_ENSG00000108107.15,0.976624661,0.976624661,0.976624661,0.946346776,0.946346776,0.946346776,-0.030277886,chr19,55388371,55388372,20114,+,ENSG00000108107.15,RPL28,UTR3
NSD2_ENSG00000109685.19,PAS4658_ATTAAA_0.15,2.53E-65,7.75E-20,NSD2_ENSG00000109685.19,87.51607305,1,8.36E-21,2.34E-18,NSD2_ENSG00000109685.19,0.519396161,0.519396161,0.519396161,0.175898659,0.175898659,0.175898659,-0.343497503,chr4,1982191,1982192,170,+,ENSG00000109685.19,NSD2,UTR3
UBA52_ENSG00000221983.8,PAS17515_AATAAA_0.15,2.46E-18,0,UBA52_ENSG00000221983.8,86.3601348,1,1.50E-20,3.94E-18,UBA52_ENSG00000221983.8,0.985490215,0.985490215,0.985490215,0.924981373,0.924981373,0.924981373,-0.060508842,chr19,18575238,18575239,6067,+,ENSG00000221983.8,UBA52,UTR3
UBA52_ENSG00000221983.8,PAS17516_AATAAA_0.1,2.46E-18,0,UBA52_ENSG00000221983.8,86.3601348,1,1.50E-20,3.94E-18,UBA52_ENSG00000221983.8,0.014509785,0.014509785,0.014509785,0.075018627,0.075018627,0.075018627,0.060508842,chr19,18577458,18577459,102,+,ENSG00000221983.8,UBA52,UTR3
AKT2_ENSG00000105221.18,PAS18246_AATAAA_0.2,2.70E-17,3.46E-19,AKT2_ENSG00000105221.18,83.18443988,1,7.47E-20,1.91E-17,AKT2_ENSG00000105221.18,0.684638933,0.684638933,0.684638933,0.422556225,0.422556225,0.422556225,-0.262082708,chr19,40232334,40232335,114,-,ENSG00000105221.18,AKT2,UTR3
N4BP2L2_ENSG00000244754.9,PAS13411_AATAAA_0.3,3.09E-26,6.81E-19,N4BP2L2_ENSG00000244754.9,81.84747535,1,1.47E-19,3.64E-17,N4BP2L2_ENSG00000244754.9,0.837370646,0.837370646,0.837370646,0.525923523,0.525923523,0.525923523,-0.311447123,chr13,32517622,32517623,136,-,ENSG00000244754.9,N4BP2L2,UTR3
MLXIP_ENSG00000175727.14,PAS12450_APA_0.1,2.54E-24,1.49E-18,MLXIP_ENSG00000175727.14,81.6712911,1,1.61E-19,3.86E-17,MLXIP_ENSG00000175727.14,0.044598818,0.044598818,0.044598818,0.177214963,0.177214963,0.177214963,0.132616145,chr12,122134162,122134163,42,+,ENSG00000175727.14,MLXIP,UTR3
WWP2_ENSG00000198373.13,PAS15287_AATAAA_0.3,2.59E-17,0,WWP2_ENSG00000198373.13,81.36207356,1,1.88E-19,4.05E-17,WWP2_ENSG00000198373.13,0.128274922,0.128274922,0.128274922,0.631528725,0.631528725,0.631528725,0.503253803,chr16,69910251,69910252,20,+,ENSG00000198373.13,WWP2,UTR3
WWP2_ENSG00000198373.13,PAS15288_AATAAA_0.05,2.59E-17,0,WWP2_ENSG00000198373.13,81.36207356,1,1.88E-19,4.05E-17,WWP2_ENSG00000198373.13,0.871725078,0.871725078,0.871725078,0.368471275,0.368471275,0.368471275,-0.503253803,chr16,69941737,69941739,68,+,ENSG00000198373.13,WWP2,UTR3
ASB1_ENSG00000065802.12,PAS2708_APA_0.15,2.59E-17,0,ASB1_ENSG00000065802.12,81.40517229,1,1.84E-19,4.05E-17,ASB1_ENSG00000065802.12,0.30927303,0.30927303,0.30927303,0.106942053,0.106942053,0.106942053,-0.202330978,chr2,238446729,238446730,225,+,ENSG00000065802.12,ASB1,UTR3
ASB1_ENSG00000065802.12,PAS2709_AATAAA_0.05,2.59E-17,0,ASB1_ENSG00000065802.12,81.40517229,1,1.84E-19,4.05E-17,ASB1_ENSG00000065802.12,0.69072697,0.69072697,0.69072697,0.893057947,0.893057947,0.893057947,0.202330978,chr2,238452248,238452249,739,+,ENSG00000065802.12,ASB1,UTR3
GPN2_ENSG00000142751.15,PAS1178_AATAAA_0.15,4.02E-17,0,GPN2_ENSG00000142751.15,80.34148166,1,3.15E-19,6.46E-17,GPN2_ENSG00000142751.15,0.517247115,0.517247115,0.517247115,0.895737985,0.895737985,0.895737985,0.37849087,chr1,26876132,26876133,43,-,ENSG00000142751.15,GPN2,UTR3
GPN2_ENSG00000142751.15,PAS1179_APA_0.25,4.02E-17,0,GPN2_ENSG00000142751.15,80.34148166,1,3.15E-19,6.46E-17,GPN2_ENSG00000142751.15,0.482752885,0.482752885,0.482752885,0.104262015,0.104262015,0.104262015,-0.37849087,chr1,26879381,26879382,57,-,ENSG00000142751.15,GPN2,UTR3
PDXK_ENSG00000160209.19,PAS19089_None_0.15,7.84E-17,0,PDXK_ENSG00000160209.19,78.94931419,1,6.37E-19,1.25E-16,PDXK_ENSG00000160209.19,0.857618221,0.857618221,0.857618221,0.53469585,0.53469585,0.53469585,-0.322922371,chr21,43756177,43756178,44,+,ENSG00000160209.19,PDXK,UTR3
PDXK_ENSG00000160209.19,PAS19090_AATAAA_0.15,7.84E-17,0,PDXK_ENSG00000160209.19,78.94931419,1,6.37E-19,1.25E-16,PDXK_ENSG00000160209.19,0.142381779,0.142381779,0.142381779,0.46530415,0.46530415,0.46530415,0.322922371,chr21,43762295,43762296,73,+,ENSG00000160209.19,PDXK,UTR3
TMEM30A_ENSG00000112697.17,PAS7108_AATAAA_0.25,2.44E-15,5.32E-17,TMEM30A_ENSG00000112697.17,75.40939662,1,3.83E-18,7.32E-16,TMEM30A_ENSG00000112697.17,0.441469688,0.441469688,0.441469688,0.672666475,0.672666475,0.672666475,0.231196788,chr6,75252926,75252927,322,-,ENSG00000112697.17,TMEM30A,UTR3
RPL28_ENSG00000108107.15,PAS17849_AATAAA_0.35,1.09E-20,5.14E-17,RPL28_ENSG00000108107.15,74.67661153,1,5.54E-18,1.04E-15,RPL28_ENSG00000108107.15,0.00561879,0.00561879,0.00561879,0.021877414,0.021877414,0.021877414,0.016258624,chr19,55392090,55392091,42,+,ENSG00000108107.15,RPL28,UTR3
MOK_ENSG00000080823.23,PAS14204_AATAAA_0.25,3.55E-15,1.30E-16,MOK_ENSG00000080823.23,71.4781501,1,2.80E-17,5.13E-15,MOK_ENSG00000080823.23,0.142511394,0.142511394,0.142511394,0.303201177,0.303201177,0.303201177,0.160689783,chr14,102224500,102224501,297,-,ENSG00000080823.23,MOK,UTR3
CALM3_ENSG00000160014.17,PAS17744_APA_0.2,4.37E-15,0,CALM3_ENSG00000160014.17,70.74551345,1,4.06E-17,7.12E-15,CALM3_ENSG00000160014.17,0.274964708,0.274964708,0.274964708,0.128015151,0.128015151,0.128015151,-0.146949556,chr19,46609302,46609303,481,+,ENSG00000160014.17,CALM3,UTR3
CALM3_ENSG00000160014.17,PAS17745_AATAAA_0.05,4.37E-15,0,CALM3_ENSG00000160014.17,70.74551345,1,4.06E-17,7.12E-15,CALM3_ENSG00000160014.17,0.725035292,0.725035292,0.725035292,0.871984849,0.871984849,0.871984849,0.146949556,chr19,46610780,46610781,1713,+,ENSG00000160014.17,CALM3,UTR3
ASPH_ENSG00000198363.18,PAS8695_AATAAA_0.2,3.20E-13,1.09E-15,ASPH_ENSG00000198363.18,70.02254128,1,5.86E-17,1.01E-14,ASPH_ENSG00000198363.18,0.714763948,0.714763948,0.714763948,0.499959946,0.499959946,0.499959946,-0.214804002,chr8,61624536,61624537,726,-,ENSG00000198363.18,ASPH,UTR3
ARHGAP11A_ENSG00000198826.11,PAS14261_ATTAAA_0.4,2.29E-30,8.36E-16,ARHGAP11A_ENSG00000198826.11,69.97218038,1,6.01E-17,1.01E-14,ARHGAP11A_ENSG00000198826.11,0.460117694,0.460117694,0.460117694,0.211635628,0.211635628,0.211635628,-0.248482067,chr15,32639037,32639038,70,+,ENSG00000198826.11,ARHGAP11A,UTR3
TAF5L_ENSG00000135801.11,PAS1949_ATTAAA_0.2,1.24E-14,0,TAF5L_ENSG00000135801.11,68.63277129,1,1.19E-16,1.92E-14,TAF5L_ENSG00000135801.11,0.713329357,0.713329357,0.713329357,0.233996822,0.233996822,0.233996822,-0.479332535,chr1,229593110,229593111,10,-,ENSG00000135801.11,TAF5L,UTR3
TAF5L_ENSG00000135801.11,PAS1950_AATAAA_0.1,1.24E-14,0,TAF5L_ENSG00000135801.11,68.63277129,1,1.19E-16,1.92E-14,TAF5L_ENSG00000135801.11,0.286670643,0.286670643,0.286670643,0.766003178,0.766003178,0.766003178,0.479332535,chr1,229599194,229599195,40,-,ENSG00000135801.11,TAF5L,UTR3
TMEM30A_ENSG00000112697.17,PAS7109_AATAAA_0.2,2.44E-15,4.24E-15,TMEM30A_ENSG00000112697.17,66.7708438,1,3.05E-16,4.84E-14,TMEM30A_ENSG00000112697.17,0.423062532,0.423062532,0.423062532,0.219325351,0.219325351,0.219325351,-0.203737181,chr6,75253614,75253615,169,-,ENSG00000112697.17,TMEM30A,UTR3
CD59_ENSG00000085063.18,PAS11511_AATAAA_0.35,2.41E-31,3.86E-15,CD59_ENSG00000085063.18,66.15518726,1,4.17E-16,6.49E-14,CD59_ENSG00000085063.18,0.338638219,0.338638219,0.338638219,0.200101735,0.200101735,0.200101735,-0.138536485,chr11,33709997,33709998,454,-,ENSG00000085063.18,CD59,UTR3
SYNCRIP_ENSG00000135316.19,PAS7144_AATAAA_0.35,2.29E-16,1.17E-14,SYNCRIP_ENSG00000135316.19,64.77263316,1,8.41E-16,1.29E-13,SYNCRIP_ENSG00000135316.19,0.211337835,0.211337835,0.211337835,0.488105337,0.488105337,0.488105337,0.276767501,chr6,85614205,85614206,66,-,ENSG00000135316.19,SYNCRIP,UTR3
RNF114_ENSG00000124226.11,PAS18679_ATTAAA_0.15,1.29E-13,0,RNF114_ENSG00000124226.11,63.89114316,1,1.31E-15,1.94E-13,RNF114_ENSG00000124226.11,0.677483027,0.677483027,0.677483027,0.377041682,0.377041682,0.377041682,-0.300441344,chr20,49952209,49952210,204,+,ENSG00000124226.11,RNF114,UTR3
RNF114_ENSG00000124226.11,PAS18680_AATAAA_0.25,1.29E-13,0,RNF114_ENSG00000124226.11,63.89114316,1,1.31E-15,1.94E-13,RNF114_ENSG00000124226.11,0.322516973,0.322516973,0.322516973,0.622958318,0.622958318,0.622958318,0.300441344,chr20,49953882,49953883,76,+,ENSG00000124226.11,RNF114,UTR3
PCNX4_ENSG00000126773.13,PAS13683_AATAAA_0.4,1.27E-12,7.82E-15,PCNX4_ENSG00000126773.13,63.40022483,1,1.69E-15,2.45E-13,PCNX4_ENSG00000126773.13,0.932127308,0.932127308,0.932127308,0.639505495,0.639505495,0.639505495,-0.292621812,chr14,60134808,60134809,259,+,ENSG00000126773.13,PCNX4,UTR3
ANKHD1_ENSG00000131503.21,PAS5713_AATAAA_0.1,1.75E-13,0,ANKHD1_ENSG00000131503.21,63.24403864,1,1.83E-15,2.56E-13,ANKHD1_ENSG00000131503.21,0.755180256,0.755180256,0.755180256,0.434262794,0.434262794,0.434262794,-0.320917462,chr5,140472475,140472476,423,+,ENSG00000131503.21,ANKHD1,UTR3
ANKHD1_ENSG00000131503.21,PAS5714_AATAAA_0.2,1.75E-13,0,ANKHD1_ENSG00000131503.21,63.24403864,1,1.83E-15,2.56E-13,ANKHD1_ENSG00000131503.21,0.244819744,0.244819744,0.244819744,0.565737206,0.565737206,0.565737206,0.320917462,chr5,140539848,140539849,101,+,ENSG00000131503.21,ANKHD1,UTR3
DDX5_ENSG00000108654.16,PAS16821_AATAAA_0.15,2.05E-12,1.19E-14,DDX5_ENSG00000108654.16,62.5654341,1,2.58E-15,3.56E-13,DDX5_ENSG00000108654.16,0.041452587,0.041452587,0.041452587,0.118439627,0.118439627,0.118439627,0.076987039,chr17,64498254,64498255,163,-,ENSG00000108654.16,DDX5,UTR3
TMBIM6_ENSG00000139644.13,PAS12070_APA_0.25,2.68E-13,0,TMBIM6_ENSG00000139644.13,62.24150378,1,3.04E-15,4.06E-13,TMBIM6_ENSG00000139644.13,0.177560389,0.177560389,0.177560389,0.074707945,0.074707945,0.074707945,-0.102852444,chr12,49763000,49763001,309,+,ENSG00000139644.13,TMBIM6,UTR3
TMBIM6_ENSG00000139644.13,PAS12071_AATAAA_0.15,2.68E-13,0,TMBIM6_ENSG00000139644.13,62.24150378,1,3.04E-15,4.06E-13,TMBIM6_ENSG00000139644.13,0.822439611,0.822439611,0.822439611,0.925292055,0.925292055,0.925292055,0.102852444,chr12,49764933,49764934,2634,+,ENSG00000139644.13,TMBIM6,UTR3
C6orf89_ENSG00000198663.17,PAS6549_ATTAAA_0.1,1.99E-13,2.19E-14,C6orf89_ENSG00000198663.17,61.3670739,1,4.74E-15,6.23E-13,C6orf89_ENSG00000198663.17,0.483638449,0.483638449,0.483638449,0.742556718,0.742556718,0.742556718,0.258918269,chr6,36928961,36928962,143,+,ENSG00000198663.17,C6orf89,UTR3
DNAJB6_ENSG00000105993.15,PAS7737_AATAAA_0.15,2.40E-12,0,DNAJB6_ENSG00000105993.15,57.69466596,1,3.06E-14,3.90E-12,DNAJB6_ENSG00000105993.15,0.246999413,0.246999413,0.246999413,0.659558669,0.659558669,0.659558669,0.412559255,chr7,157386304,157386305,54,+,ENSG00000105993.15,DNAJB6,UTR3
DNAJB6_ENSG00000105993.15,PAS7738_AATAAA_0.2,2.40E-12,0,DNAJB6_ENSG00000105993.15,57.69466596,1,3.06E-14,3.90E-12,DNAJB6_ENSG00000105993.15,0.753000587,0.753000587,0.753000587,0.340441331,0.340441331,0.340441331,-0.412559255,chr7,157417432,157417433,60,+,ENSG00000105993.15,DNAJB6,UTR3
EIF1_ENSG00000173812.11,PAS16027_AATAAA_0.2,3.01E-13,1.92E-13,EIF1_ENSG00000173812.11,57.10446035,1,4.13E-14,5.19E-12,EIF1_ENSG00000173812.11,0.786456057,0.786456057,0.786456057,0.720412201,0.720412201,0.720412201,-0.066043856,chr17,41690997,41690998,5109,+,ENSG00000173812.11,EIF1,UTR3
KPNB1_ENSG00000108424.11,PAS16112_AATAAA_0.3,2.40E-27,4.82E-13,KPNB1_ENSG00000108424.11,56.65387895,1,5.20E-14,6.43E-12,KPNB1_ENSG00000108424.11,0.261662498,0.261662498,0.261662498,0.418378703,0.418378703,0.418378703,0.156716205,chr17,47684663,47684664,144,+,ENSG00000108424.11,KPNB1,UTR3
PRMT2_ENSG00000160310.19,PAS19119_None_0.15,4.10E-12,0,PRMT2_ENSG00000160310.19,56.59179388,1,5.36E-14,6.45E-12,PRMT2_ENSG00000160310.19,0.340369927,0.340369927,0.340369927,0.657867284,0.657867284,0.657867284,0.317497357,chr21,46649886,46649887,161,+,ENSG00000160310.19,PRMT2,UTR3
PRMT2_ENSG00000160310.19,PAS19121_AATAAA_0.25,4.10E-12,0,PRMT2_ENSG00000160310.19,56.59179388,1,5.36E-14,6.45E-12,PRMT2_ENSG00000160310.19,0.659630073,0.659630073,0.659630073,0.342132716,0.342132716,0.342132716,-0.317497357,chr21,46664939,46664940,126,+,ENSG00000160310.19,PRMT2,UTR3
OBSCN_ENSG00000154358.23,PAS945_AATAAA_0.1,2.07E-47,5.15E-13,OBSCN_ENSG00000154358.23,56.52197281,1,5.56E-14,6.59E-12,OBSCN_ENSG00000154358.23,0.511737674,0.511737674,0.511737674,0.124999386,0.124999386,0.124999386,-0.386738288,chr1,228361248,228361249,140,+,ENSG00000154358.23,OBSCN,UTR3
MAP4K4_ENSG00000071054.17,PAS2358_AATAAA_0.3,1.01E-10,5.53E-13,MAP4K4_ENSG00000071054.17,56.38052243,1,5.97E-14,6.98E-12,MAP4K4_ENSG00000071054.17,0.218934336,0.218934336,0.218934336,0.114500252,0.114500252,0.114500252,-0.104434084,chr2,101891494,101891495,103,+,ENSG00000071054.17,MAP4K4,UTR3
SAR1A_ENSG00000079332.15,PAS10549_AATAAA_0.25,1.94E-11,3.26E-13,SAR1A_ENSG00000079332.15,56.05636582,1,7.04E-14,8.12E-12,SAR1A_ENSG00000079332.15,0.437069871,0.437069871,0.437069871,0.200673602,0.200673602,0.200673602,-0.236396269,chr10,70152436,70152437,214,-,ENSG00000079332.15,SAR1A,UTR3
TCF3_ENSG00000071564.19,PAS17929_AATAAA_0.1,6.03E-12,0,TCF3_ENSG00000071564.19,55.79262353,1,8.05E-14,9.04E-12,TCF3_ENSG00000071564.19,0.458594762,0.458594762,0.458594762,0.753788879,0.753788879,0.753788879,0.295194117,chr19,1609293,1609294,87,-,ENSG00000071564.19,TCF3,UTR3
TCF3_ENSG00000071564.19,PAS17930_AATAAA_0.25,6.03E-12,0,TCF3_ENSG00000071564.19,55.79262353,1,8.05E-14,9.04E-12,TCF3_ENSG00000071564.19,0.541405238,0.541405238,0.541405238,0.246211121,0.246211121,0.246211121,-0.295194117,chr19,1611171,1611172,77,-,ENSG00000071564.19,TCF3,UTR3
