unique_featureID,gene_ID,chr,start,end,strand,mean_diffsiELAVL1,mean_diffsiSam68,mean_diffsiCFIM25,mean_diff96,mean_diff72,mean_diff48,mean_diff24,mean_diff96hrs_prev,ctrl_siELAVL1,ctrl_siSam68,ctrl_siCFIM25,ctrl_96,ctrl_72,ctrl_48,ctrl_24,ctrl_96hrs_prev,condition_siELAVL1,condition_siSam68,condition_siCFIM25,condition_96,condition_72,condition_48,condition_24,condition_96hrs_prev,V5_siELAVL1,V5_siSam68,V5_siCFIM25,V5_96,V5_72,V5_48,V5_24,V5_96hrs_prev,twostep_gene_padj_siELAVL1,twostep_gene_padj_siSam68,twostep_gene_padj_siCFIM25,twostep_gene_padj_96,twostep_gene_padj_72,twostep_gene_padj_48,twostep_gene_padj_24,twostep_gene_padj_96hrs_prev,twostep_transcript_padj_siELAVL1,twostep_transcript_padj_siSam68,twostep_transcript_padj_siCFIM25,twostep_transcript_padj_96,twostep_transcript_padj_72,twostep_transcript_padj_48,twostep_transcript_padj_24,twostep_transcript_padj_96hrs_prev,lr_siELAVL1,lr_siSam68,lr_siCFIM25,lr_96,lr_72,lr_48,lr_24,lr_96hrs_prev,df_siELAVL1,df_siSam68,df_siCFIM25,df_96,df_72,df_48,df_24,df_96hrs_prev,pvalue_siELAVL1,pvalue_siSam68,pvalue_siCFIM25,pvalue_96,pvalue_72,pvalue_48,pvalue_24,pvalue_96hrs_prev,adj_pvalue_siELAVL1,adj_pvalue_siSam68,adj_pvalue_siCFIM25,adj_pvalue_96,adj_pvalue_72,adj_pvalue_48,adj_pvalue_24,adj_pvalue_96hrs_prev,category,Location,Effect
TKT_AATAAA_chr3_start_53224713_end_53224714,TKT,chr3,53224713,53224714,-,0.01007936,0.036044777,3.19e-4,-0.017276988,-0.011270039,-0.010849046,-0.010709813,-0.016892235,0.012337789,0.012328916,0.01240207,0.022111838,0.017481119,0.020916954,0.022413301,0.02380327,0.022417149,0.048373693,0.012721304,0.00483485,0.006211079,0.010067908,0.011703488,0.006911036,388,388,388,322,322,322,322,363,9.98e-4,3.2200000000000004e-33,0.909386644,1.26e-32,0.001380572,3.17e-8,1.95e-9,9.73e-8,1.36e-4,1.83e-36,NA,3.2000000000000003e-27,2.21e-4,1.14e-9,9.27e-7,0,18.41578987,162.802852,0.022791946,117.7142591,14.82949045,38.61032219,26.20732179,33.11240416,1,1,1,1,1,1,1,1,1.78e-5,2.7599999999999997e-37,0.879999368,2e-27,1.18e-4,5.17e-10,3.07e-7,8.7e-9,6.46e-4,3.31e-34,0.9105363,6.33e-26,5.09e-4,7.49e-9,4.9099999999999996e-06,1.41e-7,Control_sites,distal,Control
PCBP2_APA_chr12_start_53480806_end_53480807,PCBP2,chr12,53480806,53480807,+,0.022433605,0.003801448,-0.002941386,4.03e-4,-0.008170651,6.75e-4,0.008299376,0.004257175,0.020445477,0.020015557,0.020624757,0.022379521,0.026276872,0.026285843,0.023366698,0.020232629,0.042879082,0.023817005,0.017683372,0.022782351,0.018106221,0.026961083,0.031666074,0.024489804,202,202,202,271,271,271,271,262,1.32e-5,0.924589867,0.265422708,1.97e-7,1.75e-11,0.002055963,0.19871211,0.009131684,7.55e-4,NA,NA,1,0.053376217,1,NA,1,17.79798544,1.504289545,0.417149205,0.013657613,6.729436942,0.043981472,4.954160306,0.670224775,1,1,1,1,1,1,1,1,2.46e-5,0.220012523,0.518362974,0.906966409,0.009483453,0.833888088,0.026027962,0.412973251,8.49e-4,0.499234037,0.599326334,0.929745955,0.024638593,0.893858963,0.085381376,0.554796722,Control_sites,distal,Control
SFPQ_ATTAAA_chr1_start_35183601_end_35183602,SFPQ,chr1,35183601,35183602,-,0.098790138,-0.02593467,-0.033796474,-0.020367672,-0.048314524,-0.035492505,-0.019606614,-0.064797364,0.512514222,0.512234073,0.512470787,0.523654764,0.539000152,0.561057248,0.554025967,0.487688523,0.61130436,0.486299403,0.478674313,0.503287091,0.490685628,0.525564743,0.534419353,0.422891159,349,349,349,1053,1053,1053,1053,1360,9.36e-6,0.683275695,7.27e-5,1.13e-23,1.79e-17,4.16e-12,2.18e-11,2.75e-6,3.88e-4,NA,0.342693257,0.245951267,0.005171592,0.018288268,0.648504161,0.075067132,17.74794833,0.952298455,2.516295152,2.033212037,10.23464724,8.21410008,2.594542795,5.746519169,1,1,1,1,1,1,1,1,2.52e-5,0.329134935,0.112675027,0.153895061,0.00137827,0.004156612,0.10723238,0.016521361,8.68e-4,0.615469869,0.16560228,0.229134422,0.004537149,0.014396678,0.244011896,0.048142364,Control_sites,distal,Control
CSDE1_AATAAA_chr1_start_114716916_end_114716917,CSDE1,chr1,114716916,114716917,-,-0.051997627,-0.041047684,-0.08664725,0.071242209,0.02676596,0.041957962,0.022005552,0.087839992,0.197020067,0.196819874,0.197080902,0.311416416,0.321846632,0.307505007,0.297592096,0.214573154,0.14502244,0.15577219,0.110433651,0.382658625,0.348612592,0.349462969,0.319597648,0.302413146,466,466,466,1315,1315,1315,1315,1262,2.41e-5,5.53e-5,4.54e-15,1.62e-49,5.62e-41,3.77e-39,1.31e-19,1.85e-30,2.22e-4,2.15e-6,6.72e-12,7.93e-12,0.006479109,2.19e-6,0.00566764,2.25e-9,17.49027602,26.10057095,47.93048328,47.70220192,8.550925197,23.93376112,9.668711483,37.34111271,1,1,1,1,1,1,1,1,2.89e-5,3.24e-7,4.42e-12,4.96e-12,0.003453467,9.97e-7,0.001874327,9.92e-10,9.78e-4,1.97e-5,3.55e-11,4.86e-11,0.010235777,8.58e-6,0.010209985,1.91e-8,Control_sites,distal,Control
VCAN_AATAAA_chr5_start_83581444_end_83581445,VCAN,chr5,83581444,83581445,+,0.11341444,0.084118879,0.068652686,0.023679066,0.040616214,0.106202874,-0.00829272,0.066253641,0.792982201,0.790397622,0.792631598,0.665647107,0.662006258,0.657438531,0.746427769,0.802526112,0.906396641,0.874516501,0.861284283,0.689326173,0.702622472,0.763641404,0.738135049,0.868779753,12,12,12,19,19,19,19,11,0.001032331,0.265918041,0.129904166,0.682473587,0.479692865,0.091692263,0.920312679,0.270988316,0,NA,NA,NA,NA,NA,NA,NA,16.86542175,2.903145178,2.816133121,0.243497299,0.767927579,3.948115502,0.02344867,1.824220696,1,1,1,1,1,1,1,1,4.01e-5,0.088406901,0.093320978,0.621691514,0.380858937,0.046923889,0.878296086,0.176811696,0.001300802,0.299880281,0.140039143,0.704215306,0.506449665,0.107556891,0.931306646,0.299748098,Control_sites,proximal,Control
VCAN_APA_chr5_start_83582295_end_83582296,VCAN,chr5,83582295,83582296,+,-0.11341444,-0.084118879,-0.068652686,-0.023679066,-0.040616214,-0.106202874,0.00829272,-0.066253641,0.207017799,0.209602378,0.207368402,0.334352893,0.337993742,0.342561469,0.253572231,0.197473888,0.093603359,0.125483499,0.138715717,0.310673827,0.297377528,0.236358596,0.261864951,0.131220247,21,21,21,25,25,25,25,32,0.001032331,0.265918041,0.129904166,0.682473587,0.479692865,0.091692263,0.920312679,0.270988316,0,NA,NA,NA,NA,NA,NA,NA,16.86542175,2.903145178,2.816133121,0.243497299,0.767927579,3.948115502,0.02344867,1.824220696,1,1,1,1,1,1,1,1,4.01e-5,0.088406901,0.093320978,0.621691514,0.380858937,0.046923889,0.878296086,0.176811696,0.001300802,0.299880281,0.140039143,0.704215306,0.506449665,0.107556891,0.931306646,0.299748098,Control_sites,distal,Control
CDCP1_AATAAA_chr3_start_45110240_end_45110241,CDCP1,chr3,45110240,45110241,-,0.055134452,-0.002896517,0.084489279,-0.004175824,-0.009112863,0.047296828,0.108531453,-0.024731621,0.056996722,0.056963722,0.056959422,0.018820558,0.034766263,0.026563997,0.034062897,0.036560093,0.112131174,0.054067205,0.141448701,0.014644734,0.025653399,0.073860825,0.142594351,0.011828472,224,224,224,62,62,62,62,60,3.96e-13,0.003635404,2.54e-20,1.59e-4,0.24935107,0.002357898,1.72e-8,0.165461817,0.001026605,1,7.53e-8,1,NA,5.68e-4,2.28e-9,NA,16.66745343,0.041540307,31.86737123,0.448859235,1.3345701699999999,15.42181072,40.01633895,5.50786902,1,1,1,1,1,1,1,1,4.45e-5,0.838498545,1.65e-8,0.502877184,0.247993804,8.6e-5,2.52e-10,0.018931099,0.001410786,0.933916392,8.65e-8,0.598164118,0.362771296,4.9e-4,7.36e-9,0.05382004,Control_sites,proximal,Control
PPP2R2D_AATAAA_chr10_start_131956546_end_131956547,PPP2R2D,chr10,131956546,131956547,+,-0.140554929,0.0172497,-0.124040785,0.092948618,0.085714531,0.098826538,0.099924588,0.101573228,0.579735123,0.578237882,0.58076002,0.507879524,0.55970488,0.574466364,0.526916085,0.648716993,0.439180195,0.595487582,0.456719235,0.600828142,0.645419411,0.673292902,0.626840673,0.750290221,172,172,172,540,540,540,540,519,8.13e-6,0.023414422,5.34e-6,0.026677375,0.060827905,3.21e-4,0.015210213,3.06e-6,0.00190935,1,1.05e-4,0.008722389,NA,0.003448715,0.00215361,0.001792218,15.49243877,0.153019115,17.92647751,8.980433582,8.430790823,11.27912667,12.74948751,12.55832387,1,1,1,1,1,1,1,1,8.28e-5,0.69566672,2.3e-5,0.002728859,0.003689199,7.84e-4,3.56e-4,3.94e-4,0.002420618,0.870673176,7.64e-5,0.006830485,0.010796855,0.003449465,0.00252285,0.002135115,Control_sites,distal,Control
PAPOLA_AATAAA_chr14_start_96532693_end_96532694,PAPOLA,chr14,96532693,96532694,+,0.090374241,-0.014282769,-0.008409568,-0.116764214,-0.117415608,-0.113445543,-0.055763295,-0.142984166,0.179199628,0.178869545,0.179265156,0.141567691,0.151346302,0.14311147,0.12707683,0.142984166,0.269573869,0.164586776,0.170855587,0.024803477,0.033930695,0.029665928,0.071313535,0,72,72,72,93,93,93,93,136,0.010612488,0.007092525,4.59e-17,1.1299999999999998e-31,2e-18,2.5399999999999996e-31,4.42e-5,1.89e-16,0.002351947,1,1,1.31e-25,5.99e-16,3.88e-30,4e-6,1,15.09862215,0.5494419,0.212777028,113.1079821,69.41405816,134.4272881,26.06096498,NA,1,1,1,1,1,1,1,1,1.02e-4,0.458545823,0.644599451,2.04e-26,7.98e-17,4.41e-31,3.31e-7,1,0.002865672,0.725620468,0.713320327,5.93e-25,1.52e-15,3.93e-29,5.24e-6,NA,Control_sites,distal,Control
ST13_APA_chr22_start_40824598_end_40824599,ST13,chr22,40824598,40824599,-,-0.041080829,0.018252883,-0.053211734,0.08062716,0.048966126,0.011123221,0.03565074,0.095716311,0.098681542,0.098703889,0.098675109,0.098460747,0.104388281,0.11230427,0.096148976,0.096162798,0.057600713,0.116956772,0.045463375,0.179087907,0.153354407,0.123427491,0.131799716,0.191879109,71,71,71,124,124,124,124,213,2.23e-4,0.118664713,4.82e-19,3.11e-22,1.45e-13,0.002378409,1.06e-5,3.3e-6,0.00161775,NA,6.01e-8,3.89e-12,2.92e-5,1,4.63e-4,1.11e-4,15.03962035,2.511708858,31.51797272,50.45918128,19.98995224,0.7380301,15.64123373,17.80364442,1,1,1,1,1,1,1,1,1.05e-4,0.113003335,1.98e-8,1.22e-12,7.79e-6,0.390292639,7.66e-5,2.45e-5,0.002922071,0.345905841,1.02e-7,1.27e-11,4.29e-5,0.539560496,6.69e-4,1.86e-4,Control_sites,distal,Control
RPL13A_AATAAA_chr19_start_49492304_end_49492305,RPL13A,chr19,49492304,49492305,+,0.040020874,0.029147953,-0.031625268,0.064379222,0.032606341,0.03363364,0.059841533,0.00826928,0.906999331,0.908431726,0.908343494,0.753968062,0.810996001,0.81719885,0.807508774,0.932227036,0.947020205,0.93757968,0.876718226,0.818347284,0.843602342,0.85083249,0.867350308,0.940496317,14747,14747,14747,22910,22910,22910,22910,22351,0.005686173,5.88e-7,3.72e-5,1.12e-11,0.133024409,0.001209615,2.58e-7,0.274830925,8.65e-4,1.44e-8,4.29e-6,6.8e-12,NA,3.61e-4,2.61e-8,NA,14.91264601,35.80992368,21.93291446,49.36135338,6.368190978,15.50986957,34.47701069,5.230068194,1,1,1,1,1,1,1,1,1.13e-4,2.18e-9,2.82e-6,2.13e-12,0.011618398,8.21e-5,4.31e-9,0.022199662,0.00306398,2.54e-7,1.08e-5,2.16e-11,0.029242637,4.7e-4,9.9e-8,0.061080427,Control_sites,distal,Control
TMEM41B_APA_chr11_start_9281400_end_9281401,TMEM41B,chr11,9281400,9281401,-,-0.059447563,-0.019288742,-0.007861938,-0.113288311,-0.044182005,-0.066433643,-0.057418336,-0.060875547,0.10800008,0.108243355,0.108251906,0.219870885,0.202447964,0.230205293,0.19657699,0.131477951,0.048552518,0.088954613,0.100389968,0.106582574,0.158265959,0.16377165,0.139158654,0.070602404,15,15,15,30,30,30,30,24,2.47e-9,0.068041854,0.001249636,3.48e-8,0.004518189,1.12e-5,0.054930052,0.042736613,9.09e-4,NA,0.985503817,3.74e-5,0.061576016,0.00425851,NA,0.287232609,14.81956036,1.142593048,0.208363844,17.89003806,4.555093028,9.609461535,5.464364092,2.335765862,1,1,1,1,1,1,1,1,1.18e-4,0.28510507,0.64805284,2.34e-5,0.032820981,0.001935774,0.019408115,0.126432795,0.003208461,0.57376285,0.715958532,9.19e-5,0.069686745,0.007504926,0.06783547,0.235838465,Control_sites,proximal,Control
GPRC5A_AATAAA_chr12_start_12913635_end_12913636,GPRC5A,chr12,12913635,12913636,+,-0.087240992,-0.130108908,-0.094894278,-0.014258847,-0.03271565,-0.082298949,-0.043471699,0.006337032,0.295853719,0.295972149,0.295857787,0.199484253,0.172612344,0.218756065,0.220477496,0.277539803,0.208612728,0.165863241,0.200963509,0.185225406,0.139896694,0.136457116,0.177005797,0.283876835,254,254,254,483,483,483,483,509,0.00253516,3.97e-7,1.13e-4,0.272350854,0.026245535,1.18e-11,0.006139245,0.896785996,0,0,0,NA,0.011560164,2.47e-13,9.17e-4,NA,14.75491144,34.11266419,16.71296193,1.123772839,7.502380771,55.13946376,13.04953129,0.049272327,1,1,1,1,1,1,1,1,1.22e-4,5.2e-9,4.35e-5,0.289107512,0.006161749,1.12e-13,3.03e-4,0.82433435,0.003288128,5.39e-7,1.37e-4,0.384348447,0.016940399,2.56e-12,0.002197323,0.892252777,Control_sites,proximal,Control
GPRC5A_AATAAA_chr12_start_12917934_end_12917935,GPRC5A,chr12,12917934,12917935,+,0.087240992,0.130108908,0.094894278,0.018197023,0.03483424,0.082922388,0.044151006,-0.006337032,0.704146281,0.704027851,0.704142213,0.790936321,0.821969156,0.774328591,0.770572413,0.722460197,0.791387272,0.834136759,0.799036491,0.809133344,0.856803396,0.857250979,0.814723419,0.716123165,289,289,289,931,931,931,931,885,0.00253516,3.97e-7,1.13e-4,0.272350854,0.026245535,1.18e-11,0.006139245,0.896785996,0,0,0,NA,0.006829444,2.86e-13,9.46e-4,NA,14.75491144,34.11266419,16.71296193,1.736920752,8.455105827,54.84990327,12.99239817,0.049272327,1,1,1,1,1,1,1,1,1.22e-4,5.2e-9,4.35e-5,0.187529461,0.003640201,1.3e-13,3.13e-4,0.82433435,0.003288128,5.39e-7,1.37e-4,0.270062204,0.010684896,2.93e-12,0.002252416,0.892252777,Control_sites,distal,Control
NFIC_None_chr19_start_3465132_end_3465133,NFIC,chr19,3465132,3465133,+,-0.103783099,0.038816056,0.002899295,-0.10042301,-0.102611437,-0.071405503,0.001116342,-0.093415365,0.494131452,0.49374134,0.494914058,0.609370646,0.605900567,0.63945453,0.608109832,0.459172616,0.390348353,0.532557396,0.497813353,0.508947636,0.50328913,0.568049027,0.609226174,0.365757251,26,26,26,30,30,30,30,41,0.009579634,0.072296264,0.862947633,3.09e-7,0.001163383,0.002697461,0.406101464,0.005536821,0.001051113,NA,NA,4.35e-7,1.17e-4,0.002516221,NA,0.013509721,14.54562957,1.627040525,0.017981921,27.77905244,17.35193002,11.86530399,0.001752763,7.566398261,1,1,1,1,1,1,1,1,1.37e-4,0.202112875,0.893326121,1.36e-7,3.11e-5,5.72e-4,0.966605508,0.00594665,0.003581545,0.480153867,0.921520439,7.77e-7,1.51e-4,0.002600661,0.983203697,0.02073848,Control_sites,proximal,Control
