gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,DMSO_96hrs_1,DMSO_96hrs_2,DMSO_96hrs_3,ADMAi_96hrs_1,ADMAi_96hrs_2,ADMAi_96hrs_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
RPL15_ENSG00000174748.22,PAS4596_AATAAA_0.15,3.85E-54,0,RPL15_ENSG00000174748.22,252.3556684,1,7.96E-57,7.92E-54,RPL15_ENSG00000174748.22,0.896321584,0.896321584,0.896321584,0.758967248,0.758967248,0.758967248,-0.137354337,chr3,23919550,23919551,15497,+,ENSG00000174748.22,RPL15,UTR3
RPL15_ENSG00000174748.22,PAS4597_AATAAA_0.4,3.85E-54,0,RPL15_ENSG00000174748.22,252.3556684,1,7.96E-57,7.92E-54,RPL15_ENSG00000174748.22,0.103678416,0.103678416,0.103678416,0.241032752,0.241032752,0.241032752,0.137354337,chr3,23920838,23920839,4658,+,ENSG00000174748.22,RPL15,UTR3
CD59_ENSG00000085063.18,PAS15660_AATAAA_0.35,7.32E-134,4.37E-55,CD59_ENSG00000085063.18,249.9713925,1,2.63E-56,2.43E-53,CD59_ENSG00000085063.18,0.294882978,0.294882978,0.294882978,0.157341518,0.157341518,0.157341518,-0.137541459,chr11,33709997,33709998,1779,-,ENSG00000085063.18,CD59,UTR3
HNRNPU_ENSG00000153187.21,PAS2613_AATAAA_0.1,1.62E-89,5.08E-54,HNRNPU_ENSG00000153187.21,245.4482982,1,2.55E-55,2.20E-52,HNRNPU_ENSG00000153187.21,0.086356918,0.086356918,0.086356918,0.194203251,0.194203251,0.194203251,0.107846334,chr1,244853388,244853389,1156,-,ENSG00000153187.21,HNRNPU,UTR3
RPL14_ENSG00000188846.14,PAS4660_AATAAA_0.25,5.44E-46,2.97E-50,RPL14_ENSG00000188846.14,226.7922348,1,2.98E-51,2.41E-48,RPL14_ENSG00000188846.14,0.960712899,0.960712899,0.960712899,0.868189047,0.868189047,0.868189047,-0.092523852,chr3,40462279,40462280,2508,+,ENSG00000188846.14,RPL14,UTR3
KPNB1_ENSG00000108424.11,PAS21634_AATAAA_0.3,6.25E-77,2.85E-48,KPNB1_ENSG00000108424.11,217.7034948,1,2.87E-49,2.18E-46,KPNB1_ENSG00000108424.11,0.175729491,0.175729491,0.175729491,0.368698075,0.368698075,0.368698075,0.192968585,chr17,47684663,47684664,555,+,ENSG00000108424.11,KPNB1,UTR3
FLNB_ENSG00000136068.16,PAS4819_None_0.15,6.62E-42,2.86E-45,FLNB_ENSG00000136068.16,201.7630144,1,8.61E-46,6.19E-43,FLNB_ENSG00000136068.16,0.557018892,0.557018892,0.557018892,0.242613979,0.242613979,0.242613979,-0.314404913,chr3,58170781,58170782,401,+,ENSG00000136068.16,FLNB,UTR3
HNRNPU_ENSG00000153187.21,PAS2616_AATAAA_0.45,1.62E-89,4.24E-44,HNRNPU_ENSG00000153187.21,199.9580193,1,2.13E-45,1.45E-42,HNRNPU_ENSG00000153187.21,0.173225151,0.173225151,0.173225151,0.079855568,0.079855568,0.079855568,-0.093369583,chr1,244854414,244854415,908,-,ENSG00000153187.21,HNRNPU,UTR3
RPL37_ENSG00000145592.14,PAS8148_AATAAA_0.3,8.03E-54,2.05E-43,RPL37_ENSG00000145592.14,195.4439878,1,2.06E-44,1.33E-41,RPL37_ENSG00000145592.14,0.010817738,0.010817738,0.010817738,0.043427412,0.043427412,0.043427412,0.032609674,chr5,40826332,40826333,1480,-,ENSG00000145592.14,RPL37,UTR3
FLNB_ENSG00000136068.16,PAS4821_AATAAA_0.15,6.62E-42,2.37E-43,FLNB_ENSG00000136068.16,192.9703378,1,7.14E-44,4.40E-41,FLNB_ENSG00000136068.16,0.432239631,0.432239631,0.432239631,0.742560568,0.742560568,0.742560568,0.310320937,chr3,58172247,58172248,2689,+,ENSG00000136068.16,FLNB,UTR3
SQSTM1_ENSG00000161011.20,PAS8014_ATTAAA_0.35,2.92E-39,1.37E-42,SQSTM1_ENSG00000161011.20,191.6664665,1,1.38E-43,8.09E-41,SQSTM1_ENSG00000161011.20,0.695304837,0.695304837,0.695304837,0.802119515,0.802119515,0.802119515,0.106814677,chr5,179837251,179837252,11746,+,ENSG00000161011.20,SQSTM1,UTR3
SERPINE1_ENSG00000106366.9,PAS10444_APA_0.05,2.92E-39,0,SERPINE1_ENSG00000106366.9,183.3943841,1,8.80E-42,4.74E-39,SERPINE1_ENSG00000106366.9,0.470783459,0.470783459,0.470783459,0.791908045,0.791908045,0.791908045,0.321124587,chr7,101138302,101138303,1208,+,ENSG00000106366.9,SERPINE1,UTR3
SERPINE1_ENSG00000106366.9,PAS10445_AATAAA_0.4,2.92E-39,0,SERPINE1_ENSG00000106366.9,183.3943841,1,8.80E-42,4.74E-39,SERPINE1_ENSG00000106366.9,0.529216541,0.529216541,0.529216541,0.208091955,0.208091955,0.208091955,-0.321124587,chr7,101139244,101139245,555,+,ENSG00000106366.9,SERPINE1,UTR3
LMNA_ENSG00000160789.24,PAS837_ATTAAA_0.05,1.34E-37,3.22E-40,LMNA_ENSG00000160789.24,178.6178527,1,9.71E-41,5.02E-38,LMNA_ENSG00000160789.24,0.404757478,0.404757478,0.404757478,0.222074126,0.222074126,0.222074126,-0.182683352,chr1,156137864,156137865,2853,+,ENSG00000160789.24,LMNA,UTR3
KPNB1_ENSG00000108424.11,PAS21632_AATAAA_0.45,6.25E-77,1.73E-39,KPNB1_ENSG00000108424.11,177.4607775,1,1.74E-40,8.64E-38,KPNB1_ENSG00000108424.11,0.473003704,0.473003704,0.473003704,0.281776041,0.281776041,0.281776041,-0.191227664,chr17,47683547,47683548,35,+,ENSG00000108424.11,KPNB1,UTR3
NPLOC4_ENSG00000182446.15,PAS22682_AATAAA_0.1,7.65E-37,0,NPLOC4_ENSG00000182446.15,171.900676,1,2.84E-39,1.27E-36,NPLOC4_ENSG00000182446.15,0.762902126,0.762902126,0.762902126,0.963450987,0.963450987,0.963450987,0.200548861,chr17,81556888,81556889,1504,-,ENSG00000182446.15,NPLOC4,UTR3
NPLOC4_ENSG00000182446.15,PAS22683_APA_0.3,7.65E-37,0,NPLOC4_ENSG00000182446.15,171.900676,1,2.84E-39,1.27E-36,NPLOC4_ENSG00000182446.15,0.237097874,0.237097874,0.237097874,0.036549013,0.036549013,0.036549013,-0.200548861,chr17,81558560,81558561,17,-,ENSG00000182446.15,NPLOC4,UTR3
NSD2_ENSG00000109685.19,PAS6293_ATTAAA_0.15,5.04E-162,4.43E-38,NSD2_ENSG00000109685.19,172.0277703,1,2.67E-39,1.27E-36,NSD2_ENSG00000109685.19,0.481619192,0.481619192,0.481619192,0.154118791,0.154118791,0.154118791,-0.327500401,chr4,1982191,1982192,257,+,ENSG00000109685.19,NSD2,UTR3
CSNK1E_ENSG00000213923.13,PAS26082_AATAAA_0.15,2.92E-39,1.96E-38,CSNK1E_ENSG00000213923.13,170.4426176,1,5.92E-39,2.55E-36,CSNK1E_ENSG00000213923.13,0.787529471,0.787529471,0.787529471,0.412685805,0.412685805,0.412685805,-0.374843665,chr22,38290691,38290692,428,-,ENSG00000213923.13,CSNK1E,UTR3
STAU2_ENSG00000040341.18,PAS11994_APA_0.1,5.31E-60,7.69E-37,STAU2_ENSG00000040341.18,166.3515531,1,4.64E-38,1.93E-35,STAU2_ENSG00000040341.18,0.579463986,0.579463986,0.579463986,0.139568969,0.139568969,0.139568969,-0.439895017,chr8,73420370,73420371,306,-,ENSG00000040341.18,STAU2,UTR3
CSNK1E_ENSG00000213923.13,PAS26083_AATAAA_0,2.92E-39,7.16E-37,CSNK1E_ENSG00000213923.13,163.29251,1,2.16E-37,8.73E-35,CSNK1E_ENSG00000213923.13,0.122294769,0.122294769,0.122294769,0.459982483,0.459982483,0.459982483,0.337687714,chr22,38296205,38296206,480,-,ENSG00000213923.13,CSNK1E,UTR3
RPL14_ENSG00000188846.14,PAS4662_APA_0.25,5.44E-46,1.20E-34,RPL14_ENSG00000188846.14,155.3022242,1,1.20E-35,4.71E-33,RPL14_ENSG00000188846.14,0.024112614,0.024112614,0.024112614,0.08662011,0.08662011,0.08662011,0.062507496,chr3,40466533,40466534,12,+,ENSG00000188846.14,RPL14,UTR3
RBM17_ENSG00000134453.16,PAS13497_APA_0.2,4.13E-32,4.52E-35,RBM17_ENSG00000134453.16,155.0524181,1,1.36E-35,5.09E-33,RBM17_ENSG00000134453.16,0.831347185,0.831347185,0.831347185,0.612783687,0.612783687,0.612783687,-0.218563498,chr10,6115750,6115751,909,+,ENSG00000134453.16,RBM17,UTR3
RPL28_ENSG00000108107.15,PAS23890_AATAAA_0.1,8.66E-34,1.37E-34,RPL28_ENSG00000108107.15,155.035076,1,1.38E-35,5.09E-33,RPL28_ENSG00000108107.15,0.991944527,0.991944527,0.991944527,0.971432656,0.971432656,0.971432656,-0.020511871,chr19,55388371,55388372,26306,+,ENSG00000108107.15,RPL28,UTR3
OBSCN_ENSG00000154358.23,PAS1210_APA_0.25,1.64E-32,5.79E-34,OBSCN_ENSG00000154358.23,149.9848701,1,1.75E-34,6.28E-32,OBSCN_ENSG00000154358.23,0.060681504,0.060681504,0.060681504,0.914136872,0.914136872,0.914136872,0.853455368,chr1,228218030,228218031,33,+,ENSG00000154358.23,OBSCN,UTR3
ATP11A_ENSG00000068650.19,PAS18069_APA_0.05,1.67E-34,4.11E-33,ATP11A_ENSG00000068650.19,146.0909408,1,1.24E-33,4.34E-31,ATP11A_ENSG00000068650.19,0.032704053,0.032704053,0.032704053,0.687982691,0.687982691,0.687982691,0.655278638,chr13,112860806,112860807,15,+,ENSG00000068650.19,ATP11A,UTR3
RPL37A_ENSG00000197756.10,PAS3487_APA_0.25,3.70E-185,2.52E-31,RPL37A_ENSG00000197756.10,140.0971389,1,2.53E-32,8.63E-30,RPL37A_ENSG00000197756.10,7.99E-04,7.99E-04,7.99E-04,0.005895154,0.005895154,0.005895154,0.00509595,chr2,216579172,216579173,37,+,ENSG00000197756.10,RPL37A,UTR3
RPS3_ENSG00000149273.15,PAS15260_AATAAA_0.35,1.22E-29,3.80E-30,RPS3_ENSG00000149273.15,132.5296392,1,1.15E-30,3.80E-28,RPS3_ENSG00000149273.15,0.001780256,0.001780256,0.001780256,0.023488493,0.023488493,0.023488493,0.021708238,chr11,75422298,75422299,149,+,ENSG00000149273.15,RPS3,UTR3
ENSA_ENSG00000143420.19,PAS2083_AATAAA_0.25,1.07E-29,1.33E-28,ENSA_ENSG00000143420.19,127.6578812,1,1.33E-29,4.31E-27,ENSA_ENSG00000143420.19,0.023039728,0.023039728,0.023039728,0.108858588,0.108858588,0.108858588,0.085818861,chr1,150627047,150627048,140,-,ENSG00000143420.19,ENSA,UTR3
RPS3_ENSG00000149273.15,PAS15258_AATAAA_0.3,1.22E-29,1.07E-28,RPS3_ENSG00000149273.15,125.9107263,1,3.22E-29,1.01E-26,RPS3_ENSG00000149273.15,0.995506907,0.995506907,0.995506907,0.969525098,0.969525098,0.969525098,-0.025981808,chr11,75405687,75405688,22411,+,ENSG00000149273.15,RPS3,UTR3
KDELR2_ENSG00000136240.10,PAS10690_AATAAA_0.25,9.68E-26,3.84E-28,KDELR2_ENSG00000136240.10,125.5512103,1,3.86E-29,1.14E-26,KDELR2_ENSG00000136240.10,0.489717255,0.489717255,0.489717255,0.642248692,0.642248692,0.642248692,0.152531437,chr7,6461090,6461091,1657,-,ENSG00000136240.10,KDELR2,UTR3
MXD4_ENSG00000123933.17,PAS6816_APA_0.05,7.25E-27,0,MXD4_ENSG00000123933.17,125.5316226,1,3.89E-29,1.14E-26,MXD4_ENSG00000123933.17,0.405534798,0.405534798,0.405534798,0.849578087,0.849578087,0.849578087,0.444043289,chr4,2247432,2247433,415,-,ENSG00000123933.17,MXD4,UTR3
MXD4_ENSG00000123933.17,PAS6817_ATTAAA_0.2,7.25E-27,0,MXD4_ENSG00000123933.17,125.5316226,1,3.89E-29,1.14E-26,MXD4_ENSG00000123933.17,0.594465202,0.594465202,0.594465202,0.150421913,0.150421913,0.150421913,-0.444043289,chr4,2250228,2250229,162,-,ENSG00000123933.17,MXD4,UTR3
ENSA_ENSG00000143420.19,PAS2080_AATAAA_0.35,1.07E-29,1.94E-27,ENSA_ENSG00000143420.19,122.3342444,1,1.95E-28,5.61E-26,ENSA_ENSG00000143420.19,0.933845331,0.933845331,0.933845331,0.818581224,0.818581224,0.818581224,-0.115264107,chr1,150622127,150622128,1318,-,ENSG00000143420.19,ENSA,UTR3
CALM3_ENSG00000160014.17,PAS23740_APA_0.2,5.22E-26,0,CALM3_ENSG00000160014.17,121.468469,1,3.02E-28,8.31E-26,CALM3_ENSG00000160014.17,0.215700566,0.215700566,0.215700566,0.094723246,0.094723246,0.094723246,-0.12097732,chr19,46609302,46609303,1140,+,ENSG00000160014.17,CALM3,UTR3
CALM3_ENSG00000160014.17,PAS23741_AATAAA_0.05,5.22E-26,0,CALM3_ENSG00000160014.17,121.468469,1,3.02E-28,8.31E-26,CALM3_ENSG00000160014.17,0.784299434,0.784299434,0.784299434,0.905276754,0.905276754,0.905276754,0.12097732,chr19,46610780,46610781,6388,+,ENSG00000160014.17,CALM3,UTR3
UBAP2L_ENSG00000143569.19,PAS801_AATAAA_0.1,1.44E-25,5.11E-27,UBAP2L_ENSG00000143569.19,119.6103629,1,7.70E-28,2.08E-25,UBAP2L_ENSG00000143569.19,0.623011937,0.623011937,0.623011937,0.35821824,0.35821824,0.35821824,-0.264793697,chr1,154263501,154263502,399,+,ENSG00000143569.19,UBAP2L,UTR3
CYCS_ENSG00000172115.9,PAS10766_APA_0.3,2.12E-24,6.17E-27,CYCS_ENSG00000172115.9,119.2355806,1,9.30E-28,2.46E-25,CYCS_ENSG00000172115.9,0.242896513,0.242896513,0.242896513,0.121199163,0.121199163,0.121199163,-0.12169735,chr7,25123669,25123670,222,-,ENSG00000172115.9,CYCS,UTR3
ATP11A_ENSG00000068650.19,PAS18071_AATAAA_0.2,1.67E-34,4.84E-26,ATP11A_ENSG00000068650.19,113.773461,1,1.46E-26,3.78E-24,ATP11A_ENSG00000068650.19,0.761818709,0.761818709,0.761818709,0.123247682,0.123247682,0.123247682,-0.638571028,chr13,112887165,112887166,25,+,ENSG00000068650.19,ATP11A,UTR3
ENSG00000264058_ENSG00000264058.2,PAS22264_AATAAA_0.4,7.00E-24,0,ENSG00000264058_ENSG00000264058.2,111.4282847,1,4.77E-26,1.19E-23,ENSG00000264058_ENSG00000264058.2,0.240483597,0.240483597,0.240483597,0.50543827,0.50543827,0.50543827,0.264954674,chr17,40627716,40627717,262,-,ENSG00000264058.2,ENSG00000264058,UTR3
ENSG00000264058_ENSG00000264058.2,PAS22265_APA_0.15,7.00E-24,0,ENSG00000264058_ENSG00000264058.2,111.4282847,1,4.77E-26,1.19E-23,ENSG00000264058_ENSG00000264058.2,0.759516403,0.759516403,0.759516403,0.49456173,0.49456173,0.49456173,-0.264954674,chr17,40628723,40628724,727,-,ENSG00000264058.2,ENSG00000264058,UTR3
PRDX6_ENSG00000117592.9,PAS937_ATTAAA_0.3,1.17E-23,0,PRDX6_ENSG00000117592.9,110.3480344,1,8.22E-26,1.97E-23,PRDX6_ENSG00000117592.9,0.665749853,0.665749853,0.665749853,0.506470821,0.506470821,0.506470821,-0.159279031,chr1,173488010,173488011,5337,+,ENSG00000117592.9,PRDX6,UTR3
PRDX6_ENSG00000117592.9,PAS938_AATAAA_0.2,1.17E-23,0,PRDX6_ENSG00000117592.9,110.3480344,1,8.22E-26,1.97E-23,PRDX6_ENSG00000117592.9,0.334250147,0.334250147,0.334250147,0.493529179,0.493529179,0.493529179,0.159279031,chr1,173488805,173488806,1967,+,ENSG00000117592.9,PRDX6,UTR3
SQSTM1_ENSG00000161011.20,PAS8015_AATAAA_0.3,2.92E-39,6.57E-24,SQSTM1_ENSG00000161011.20,106.2180165,1,6.61E-25,1.55E-22,SQSTM1_ENSG00000161011.20,0.173237671,0.173237671,0.173237671,0.109424897,0.109424897,0.109424897,-0.063812773,chr5,179838074,179838075,3350,+,ENSG00000161011.20,SQSTM1,UTR3
SAR1A_ENSG00000079332.15,PAS14399_AATAAA_0.25,4.75E-25,1.03E-23,SAR1A_ENSG00000079332.15,104.527433,1,1.55E-24,3.58E-22,SAR1A_ENSG00000079332.15,0.477708859,0.477708859,0.477708859,0.235736618,0.235736618,0.235736618,-0.241972242,chr10,70152427,70152428,394,-,ENSG00000079332.15,SAR1A,UTR3
SAR1A_ENSG00000079332.15,PAS14397_AATAAA_0.25,4.75E-25,1.44E-23,SAR1A_ENSG00000079332.15,103.8590672,1,2.17E-24,4.93E-22,SAR1A_ENSG00000079332.15,0.462064905,0.462064905,0.462064905,0.709994471,0.709994471,0.709994471,0.247929566,chr10,70150206,70150207,1228,-,ENSG00000079332.15,SAR1A,UTR3
TUBGCP3_ENSG00000126216.15,PAS18340_AATAAA_0.4,1.40E-20,2.77E-23,TUBGCP3_ENSG00000126216.15,101.1912645,1,8.35E-24,1.86E-21,TUBGCP3_ENSG00000126216.15,0.081933128,0.081933128,0.081933128,0.448983567,0.448983567,0.448983567,0.367050439,chr13,112546483,112546484,62,-,ENSG00000126216.15,TUBGCP3,UTR3
ELP2_ENSG00000134759.14,PAS22845_AATAAA_0.35,1.97E-22,7.73E-23,ELP2_ENSG00000134759.14,100.5308063,1,1.17E-23,2.56E-21,ELP2_ENSG00000134759.14,0.910866505,0.910866505,0.910866505,0.587433781,0.587433781,0.587433781,-0.323432724,chr18,36174647,36174648,177,+,ENSG00000134759.14,ELP2,UTR3
CD59_ENSG00000085063.18,PAS15659_None_0.05,7.32E-134,2.00E-22,CD59_ENSG00000085063.18,100.4676513,1,1.20E-23,2.59E-21,CD59_ENSG00000085063.18,0.194009635,0.194009635,0.194009635,0.118224758,0.118224758,0.118224758,-0.075784877,chr11,33709435,33709436,1016,-,ENSG00000085063.18,CD59,UTR3
COL6A2_ENSG00000142173.17,PAS25506_None_0.15,1.63E-21,0,COL6A2_ENSG00000142173.17,100.396302,1,1.25E-23,2.60E-21,COL6A2_ENSG00000142173.17,0.21585657,0.21585657,0.21585657,0.414905204,0.414905204,0.414905204,0.199048634,chr21,46129798,46129799,490,+,ENSG00000142173.17,COL6A2,UTR3
COL6A2_ENSG00000142173.17,PAS25507_AATAAA_0.1,1.63E-21,0,COL6A2_ENSG00000142173.17,100.396302,1,1.25E-23,2.60E-21,COL6A2_ENSG00000142173.17,0.78414343,0.78414343,0.78414343,0.585094796,0.585094796,0.585094796,-0.199048634,chr21,46132846,46132847,2356,+,ENSG00000142173.17,COL6A2,UTR3
AXL_ENSG00000167601.12,PAS23649_APA_0.05,2.75E-20,6.74E-23,AXL_ENSG00000167601.12,99.42945754,1,2.03E-23,4.17E-21,AXL_ENSG00000167601.12,0.931333357,0.931333357,0.931333357,0.870099742,0.870099742,0.870099742,-0.061233615,chr19,41261764,41261765,11009,+,ENSG00000167601.12,AXL,UTR3
NSD2_ENSG00000109685.19,PAS6291_APA_0.25,5.04E-162,7.68E-22,NSD2_ENSG00000109685.19,97.79920584,1,4.63E-23,9.36E-21,NSD2_ENSG00000109685.19,0.421539953,0.421539953,0.421539953,0.182422816,0.182422816,0.182422816,-0.239117137,chr4,1979794,1979795,104,+,ENSG00000109685.19,NSD2,UTR3
DDX5_ENSG00000108654.16,PAS22518_AATAAA_0.15,1.62E-19,5.61E-22,DDX5_ENSG00000108654.16,95.23292482,1,1.69E-22,3.37E-20,DDX5_ENSG00000108654.16,0.020506226,0.020506226,0.020506226,0.092536441,0.092536441,0.092536441,0.072030215,chr17,64498254,64498255,407,-,ENSG00000108654.16,DDX5,UTR3
RPL37A_ENSG00000197756.10,PAS3481_ATTAAA_0.2,3.70E-185,1.25E-21,RPL37A_ENSG00000197756.10,95.02494655,1,1.88E-22,3.69E-20,RPL37A_ENSG00000197756.10,0.003754246,0.003754246,0.003754246,0.010104405,0.010104405,0.010104405,0.006350159,chr2,216502462,216502463,290,+,ENSG00000197756.10,RPL37A,UTR3
DNAJB6_ENSG00000105993.15,PAS10612_AATAAA_0.15,2.47E-20,0,DNAJB6_ENSG00000105993.15,94.86638708,1,2.04E-22,3.87E-20,DNAJB6_ENSG00000105993.15,0.233723139,0.233723139,0.233723139,0.571583855,0.571583855,0.571583855,0.337860716,chr7,157386300,157386301,106,+,ENSG00000105993.15,DNAJB6,UTR3
DNAJB6_ENSG00000105993.15,PAS10613_AATAAA_0.05,2.47E-20,0,DNAJB6_ENSG00000105993.15,94.86638708,1,2.04E-22,3.87E-20,DNAJB6_ENSG00000105993.15,0.766276861,0.766276861,0.766276861,0.428416145,0.428416145,0.428416145,-0.337860716,chr7,157417437,157417438,163,+,ENSG00000105993.15,DNAJB6,UTR3
TXNRD2_ENSG00000184470.21,PAS25966_AATAAA_0.1,4.61E-20,2.56E-21,TXNRD2_ENSG00000184470.21,93.59988747,1,3.86E-22,7.24E-20,TXNRD2_ENSG00000184470.21,0.994021279,0.994021279,0.994021279,0.923596369,0.923596369,0.923596369,-0.07042491,chr22,19875523,19875524,1446,-,ENSG00000184470.21,TXNRD2,UTR3
ASXL1_ENSG00000171456.21,PAS24824_AATAAA_0.35,3.73E-26,5.30E-21,ASXL1_ENSG00000171456.21,92.96162565,1,5.33E-22,9.85E-20,ASXL1_ENSG00000171456.21,0.216935956,0.216935956,0.216935956,0.47107937,0.47107937,0.47107937,0.254143414,chr20,32437354,32437355,339,+,ENSG00000171456.21,ASXL1,UTR3
SPPL3_ENSG00000157837.16,PAS17725_ATTAAA_0.4,2.68E-18,6.39E-21,SPPL3_ENSG00000157837.16,91.79052628,1,9.64E-22,1.76E-19,SPPL3_ENSG00000157837.16,0.474691016,0.474691016,0.474691016,0.240876024,0.240876024,0.240876024,-0.233814992,chr12,120764459,120764460,88,-,ENSG00000157837.16,SPPL3,UTR3
HTT_ENSG00000197386.14,PAS6309_APA_0.15,1.98E-19,0,HTT_ENSG00000197386.14,90.50809176,1,1.84E-21,3.26E-19,HTT_ENSG00000197386.14,0.860333407,0.860333407,0.860333407,0.433707821,0.433707821,0.433707821,-0.426625586,chr4,3240656,3240657,173,+,ENSG00000197386.14,HTT,UTR3
HTT_ENSG00000197386.14,PAS6310_ATTAAA_0.15,1.98E-19,0,HTT_ENSG00000197386.14,90.50809176,1,1.84E-21,3.26E-19,HTT_ENSG00000197386.14,0.139666593,0.139666593,0.139666593,0.566292179,0.566292179,0.566292179,0.426625586,chr4,3243955,3243956,88,+,ENSG00000197386.14,HTT,UTR3
ELP2_ENSG00000134759.14,PAS22847_AATAAA_0.25,1.97E-22,1.25E-20,ELP2_ENSG00000134759.14,90.47038832,1,1.88E-21,3.28E-19,ELP2_ENSG00000134759.14,0.02977116,0.02977116,0.02977116,0.272763032,0.272763032,0.272763032,0.242991872,chr18,36177928,36177929,58,+,ENSG00000134759.14,ELP2,UTR3
BAIAP2_ENSG00000175866.16,PAS21898_AATAAA_0.2,2.77E-19,0,BAIAP2_ENSG00000175866.16,89.79922143,1,2.64E-21,4.49E-19,BAIAP2_ENSG00000175866.16,0.130922226,0.130922226,0.130922226,0.490336475,0.490336475,0.490336475,0.359414249,chr17,81110511,81110512,128,+,ENSG00000175866.16,BAIAP2,UTR3
