gene_id,feature_id,twostep_gene_padj,twostep_transcript_padj,gene_id.x,lr,df,pvalue,adj_pvalue,gene_id.y,DMSO_96hrs_1,DMSO_96hrs_2,DMSO_96hrs_3,SDMAi_96hrs_1,SDMAi_96hrs_2,SDMAi_96hrs_3,mean_diff,chr,start,end,V5,strand,V7,V8,V9
CFAP251_ENSG00000158023.10,PAS16877_ATTAAA_0.4,1.07E-14,2.44E-17,CFAP251_ENSG00000158023.10,76.50094753,1,2.20E-18,2.06E-15,CFAP251_ENSG00000158023.10,0.644295144,0.644295144,0.644295144,0.387079951,0.387079951,0.387079951,-0.257215193,chr12,122003916,122003917,312,+,ENSG00000158023.10,CFAP251,UTR3
GLRX3_ENSG00000108010.12,PAS14089_AATAAA_0.05,2.27E-13,3.53E-16,GLRX3_ENSG00000108010.12,72.6009643,1,1.59E-17,1.38E-14,GLRX3_ENSG00000108010.12,0.166788672,0.166788672,0.166788672,0.051195023,0.051195023,0.051195023,-0.115593648,chr10,130180375,130180376,420,+,ENSG00000108010.12,GLRX3,UTR3
NQO1_ENSG00000181019.13,PAS21052_AATAAA_0.15,3.29E-13,8.62E-16,NQO1_ENSG00000181019.13,69.46942783,1,7.76E-17,6.31E-14,NQO1_ENSG00000181019.13,0.792893623,0.792893623,0.792893623,0.668645134,0.668645134,0.668645134,-0.124248489,chr16,69710841,69710842,4743,-,ENSG00000181019.13,NQO1,UTR3
SSR3_ENSG00000114850.7,PAS6038_ATTAAA_0.3,1.49E-22,1.02E-14,SSR3_ENSG00000114850.7,68.1249981,1,1.53E-16,1.17E-13,SSR3_ENSG00000114850.7,0.320547301,0.320547301,0.320547301,0.459017675,0.459017675,0.459017675,0.138470374,chr3,156540147,156540148,2452,-,ENSG00000114850.7,SSR3,UTR3
NQO1_ENSG00000181019.13,PAS21050_AATAAA_0.3,3.29E-13,2.74E-15,NQO1_ENSG00000181019.13,67.18592983,1,2.47E-16,1.77E-13,NQO1_ENSG00000181019.13,0.196845745,0.196845745,0.196845745,0.318169703,0.318169703,0.318169703,0.121323958,chr16,69709401,69709402,1108,-,ENSG00000181019.13,NQO1,UTR3
ENSA_ENSG00000143420.19,PAS2080_AATAAA_0.35,1.65E-12,1.71E-14,ENSA_ENSG00000143420.19,65.74741557,1,5.13E-16,3.47E-13,ENSA_ENSG00000143420.19,0.930905437,0.930905437,0.930905437,0.788024416,0.788024416,0.788024416,-0.142881021,chr1,150622127,150622128,1318,-,ENSG00000143420.19,ENSA,UTR3
DSTN_ENSG00000125868.16,PAS24766_AATAAA_0.4,1.50E-11,1.88E-14,DSTN_ENSG00000125868.16,64.76205859,1,8.45E-16,5.42E-13,DSTN_ENSG00000125868.16,0.334980561,0.334980561,0.334980561,0.196250583,0.196250583,0.196250583,-0.138729979,chr20,17607324,17607325,421,+,ENSG00000125868.16,DSTN,UTR3
GLRX3_ENSG00000108010.12,PAS14088_AATAAA_0.45,2.27E-13,8.85E-14,GLRX3_ENSG00000108010.12,61.70710352,1,3.99E-15,2.43E-12,GLRX3_ENSG00000108010.12,0.796312105,0.796312105,0.796312105,0.918078836,0.918078836,0.918078836,0.121766731,chr10,130179608,130179609,790,+,ENSG00000108010.12,GLRX3,UTR3
CSNK1E_ENSG00000213923.13,PAS26082_AATAAA_0.15,3.03E-17,1.38E-13,CSNK1E_ENSG00000213923.13,59.47161969,1,1.24E-14,7.20E-12,CSNK1E_ENSG00000213923.13,0.787551808,0.787551808,0.787551808,0.546562746,0.546562746,0.546562746,-0.240989062,chr22,38290691,38290692,428,-,ENSG00000213923.13,CSNK1E,UTR3
BCCIP_ENSG00000107949.17,PAS14074_ATTAAA_0.4,1.56E-13,3.16E-12,BCCIP_ENSG00000107949.17,55.47237564,1,9.48E-14,5.25E-11,BCCIP_ENSG00000107949.17,0.153170037,0.153170037,0.153170037,0.021122065,0.021122065,0.021122065,-0.132047972,chr10,125853520,125853521,123,+,ENSG00000107949.17,BCCIP,UTR3
ENSA_ENSG00000143420.19,PAS2083_AATAAA_0.25,1.65E-12,3.66E-12,ENSA_ENSG00000143420.19,55.18275079,1,1.10E-13,5.82E-11,ENSA_ENSG00000143420.19,0.023809767,0.023809767,0.023809767,0.119545537,0.119545537,0.119545537,0.09573577,chr1,150627047,150627048,140,-,ENSG00000143420.19,ENSA,UTR3
ILF3_ENSG00000129351.18,PAS23314_AATAAA_0.15,5.00E-10,6.69E-12,ILF3_ENSG00000129351.18,51.83855405,1,6.03E-13,3.06E-10,ILF3_ENSG00000129351.18,0.138095752,0.138095752,0.138095752,0.261904109,0.261904109,0.261904109,0.123808358,chr19,10692397,10692398,243,+,ENSG00000129351.18,ILF3,UTR3
HNRNPA2B1_ENSG00000122566.22,PAS10772_AATAAA_0.4,1.63E-11,4.59E-11,HNRNPA2B1_ENSG00000122566.22,49.41977095,1,2.07E-12,1.01E-09,HNRNPA2B1_ENSG00000122566.22,0.840907158,0.840907158,0.840907158,0.757577651,0.757577651,0.757577651,-0.083329506,chr7,26191846,26191847,9256,-,ENSG00000122566.22,HNRNPA2B1,UTR3
ANKRD11_ENSG00000167522.17,PAS21173_AATAAA_0.3,3.70E-09,3.05E-11,ANKRD11_ENSG00000167522.17,48.85960777,1,2.75E-12,1.29E-09,ANKRD11_ENSG00000167522.17,0.548927325,0.548927325,0.548927325,0.826525798,0.826525798,0.826525798,0.277598473,chr16,89298875,89298876,554,-,ENSG00000167522.17,ANKRD11,UTR3
PRTFDC1_ENSG00000099256.19,PAS14252_APA_0.2,1.84E-14,6.61E-11,PRTFDC1_ENSG00000099256.19,48.70586065,1,2.97E-12,1.34E-09,PRTFDC1_ENSG00000099256.19,0.070633472,0.070633472,0.070633472,0.283525306,0.283525306,0.283525306,0.212891834,chr10,24908302,24908303,58,-,ENSG00000099256.19,PRTFDC1,UTR3
BCCIP_ENSG00000107949.17,PAS14070_AATAAA_0.35,1.56E-13,1.35E-10,BCCIP_ENSG00000107949.17,48.09452623,1,4.06E-12,1.77E-09,BCCIP_ENSG00000107949.17,0.576033935,0.576033935,0.576033935,0.802115607,0.802115607,0.802115607,0.226081672,chr10,125836548,125836549,438,+,ENSG00000107949.17,BCCIP,UTR3
ACP1_ENSG00000143727.16,PAS2639_AATAAA_0.25,1.15E-09,0,ACP1_ENSG00000143727.16,47.80584005,1,4.71E-12,1.91E-09,ACP1_ENSG00000143727.16,0.529461275,0.529461275,0.529461275,0.268224029,0.268224029,0.268224029,-0.261237246,chr2,277506,277507,433,+,ENSG00000143727.16,ACP1,UTR3
ACP1_ENSG00000143727.16,PAS2640_AATAAA_0.15,1.15E-09,0,ACP1_ENSG00000143727.16,47.80584005,1,4.71E-12,1.91E-09,ACP1_ENSG00000143727.16,0.470538725,0.470538725,0.470538725,0.731775971,0.731775971,0.731775971,0.261237246,chr2,278279,278280,341,+,ENSG00000143727.16,ACP1,UTR3
NECTIN2_ENSG00000130202.10,PAS23711_AATAAA_0.2,1.51E-09,0,NECTIN2_ENSG00000130202.10,47.16884369,1,6.51E-12,2.48E-09,NECTIN2_ENSG00000130202.10,0.462298034,0.462298034,0.462298034,0.678690235,0.678690235,0.678690235,0.216392201,chr19,44878936,44878937,260,+,ENSG00000130202.10,NECTIN2,UTR3
NECTIN2_ENSG00000130202.10,PAS23712_None_0.1,1.51E-09,0,NECTIN2_ENSG00000130202.10,47.16884369,1,6.51E-12,2.48E-09,NECTIN2_ENSG00000130202.10,0.537701966,0.537701966,0.537701966,0.321309765,0.321309765,0.321309765,-0.216392201,chr19,44889221,44889222,644,+,ENSG00000130202.10,NECTIN2,UTR3
EEF1A1_ENSG00000156508.19,PAS9700_AATAAA_0.3,5.54E-08,1.55E-10,EEF1A1_ENSG00000156508.19,47.02781798,1,7.00E-12,2.59E-09,EEF1A1_ENSG00000156508.19,0.042581801,0.042581801,0.042581801,0.118661655,0.118661655,0.118661655,0.076079854,chr6,73515751,73515752,2355,-,ENSG00000156508.19,EEF1A1,UTR3
HNRNPA2B1_ENSG00000122566.22,PAS10771_AATAAA_0.3,1.63E-11,7.59E-10,HNRNPA2B1_ENSG00000122566.22,43.92246365,1,3.42E-11,1.23E-08,HNRNPA2B1_ENSG00000122566.22,0.1562337,0.1562337,0.1562337,0.233963987,0.233963987,0.233963987,0.077730287,chr7,26190127,26190128,2285,-,ENSG00000122566.22,HNRNPA2B1,UTR3
IPO9_ENSG00000198700.10,PAS1045_None_0.25,7.73E-15,4.47E-09,IPO9_ENSG00000198700.10,42.9021094,1,5.75E-11,2.00E-08,IPO9_ENSG00000198700.10,0.245730616,0.245730616,0.245730616,0.117125538,0.117125538,0.117125538,-0.128605078,chr1,201876367,201876368,101,+,ENSG00000198700.10,IPO9,UTR3
CSDE1_ENSG00000009307.17,PAS2000_AATAAA_0.4,2.43E-07,2.04E-09,CSDE1_ENSG00000009307.17,40.6319222,1,1.84E-10,6.22E-08,CSDE1_ENSG00000009307.17,0.258110207,0.258110207,0.258110207,0.170737467,0.170737467,0.170737467,-0.08737274,chr1,114717984,114717985,220,-,ENSG00000009307.17,CSDE1,UTR3
POLR2K_ENSG00000147669.11,PAS11559_AATAAA_0,3.83E-08,0,POLR2K_ENSG00000147669.11,40.48669052,1,1.98E-10,6.35E-08,POLR2K_ENSG00000147669.11,0.437131916,0.437131916,0.437131916,0.241853574,0.241853574,0.241853574,-0.195278342,chr8,100153612,100153613,805,+,ENSG00000147669.11,POLR2K,UTR3
POLR2K_ENSG00000147669.11,PAS11560_AATAAA_0.05,3.83E-08,0,POLR2K_ENSG00000147669.11,40.48669052,1,1.98E-10,6.35E-08,POLR2K_ENSG00000147669.11,0.562868084,0.562868084,0.562868084,0.758146426,0.758146426,0.758146426,0.195278342,chr8,100154002,100154003,843,+,ENSG00000147669.11,POLR2K,UTR3
EEF1A1_ENSG00000156508.19,PAS9702_ATTAAA_0.05,5.54E-08,5.14E-09,EEF1A1_ENSG00000156508.19,40.18200724,1,2.31E-10,7.23E-08,EEF1A1_ENSG00000156508.19,0.946377387,0.946377387,0.946377387,0.872105795,0.872105795,0.872105795,-0.074271592,chr6,73517514,73517515,374,-,ENSG00000156508.19,EEF1A1,UTR3
CD59_ENSG00000085063.18,PAS15656_AATAAA_0.25,1.04E-08,1.89E-08,CD59_ENSG00000085063.18,38.98850601,1,4.26E-10,1.30E-07,CD59_ENSG00000085063.18,0.097912557,0.097912557,0.097912557,0.151272782,0.151272782,0.151272782,0.053360225,chr11,33705282,33705283,1932,-,ENSG00000085063.18,CD59,UTR3
NONO_ENSG00000147140.17,PAS26376_ATTAAA_0.25,1.66E-07,0,NONO_ENSG00000147140.17,37.46702329,1,9.30E-10,2.70E-07,NONO_ENSG00000147140.17,0.097873281,0.097873281,0.097873281,0.180048288,0.180048288,0.180048288,0.082175007,chrX,71300267,71300268,650,+,ENSG00000147140.17,NONO,UTR3
NONO_ENSG00000147140.17,PAS26377_ATTAAA_0.1,1.66E-07,0,NONO_ENSG00000147140.17,37.46702329,1,9.30E-10,2.70E-07,NONO_ENSG00000147140.17,0.902126719,0.902126719,0.902126719,0.819951712,0.819951712,0.819951712,-0.082175007,chrX,71301165,71301166,8779,+,ENSG00000147140.17,NONO,UTR3
HERC4_ENSG00000148634.16,PAS14382_ATTAAA_0.15,1.61E-06,5.49E-08,HERC4_ENSG00000148634.16,36.35251926,1,1.65E-09,4.67E-07,HERC4_ENSG00000148634.16,0.222987211,0.222987211,0.222987211,0.026464377,0.026464377,0.026464377,-0.196522833,chr10,68070169,68070170,33,-,ENSG00000148634.16,HERC4,UTR3
CFAP251_ENSG00000158023.10,PAS16874_AATAAA_0.2,1.07E-14,2.67E-08,CFAP251_ENSG00000158023.10,35.61405514,1,2.41E-09,6.67E-07,CFAP251_ENSG00000158023.10,0.198617533,0.198617533,0.198617533,0.355819895,0.355819895,0.355819895,0.157202362,chr12,121971745,121971746,526,+,ENSG00000158023.10,CFAP251,UTR3
ERP44_ENSG00000023318.9,PAS13171_AATAAA_0.15,4.22E-06,9.03E-08,ERP44_ENSG00000023318.9,34.5929508,1,4.06E-09,1.10E-06,ERP44_ENSG00000023318.9,0.846652526,0.846652526,0.846652526,0.622423937,0.622423937,0.622423937,-0.22422859,chr9,99982481,99982482,369,-,ENSG00000023318.9,ERP44,UTR3
BUB3_ENSG00000154473.18,PAS14055_AATAAA_0.2,6.89E-07,0,BUB3_ENSG00000154473.18,34.48243287,1,4.30E-09,1.12E-06,BUB3_ENSG00000154473.18,0.411506295,0.411506295,0.411506295,0.2654835,0.2654835,0.2654835,-0.146022795,chr10,123164015,123164016,412,+,ENSG00000154473.18,BUB3,UTR3
BUB3_ENSG00000154473.18,PAS14056_AATAAA_0.25,6.89E-07,0,BUB3_ENSG00000154473.18,34.48243287,1,4.30E-09,1.12E-06,BUB3_ENSG00000154473.18,0.588493705,0.588493705,0.588493705,0.7345165,0.7345165,0.7345165,0.146022795,chr10,123165362,123165363,965,+,ENSG00000154473.18,BUB3,UTR3
SS18_ENSG00000141380.14,PAS23005_AATAAA_0.15,1.49E-06,5.25E-08,SS18_ENSG00000141380.14,34.29728502,1,4.73E-09,1.19E-06,SS18_ENSG00000141380.14,0.825399028,0.825399028,0.825399028,0.559454426,0.559454426,0.559454426,-0.265944601,chr18,26016254,26016255,357,-,ENSG00000141380.14,SS18,UTR3
TFDP2_ENSG00000114126.18,PAS5993_AATAAA_0.25,3.23E-06,5.30E-08,TFDP2_ENSG00000114126.18,34.28043442,1,4.77E-09,1.19E-06,TFDP2_ENSG00000114126.18,0.716854045,0.716854045,0.716854045,0.426818057,0.426818057,0.426818057,-0.290035987,chr3,141952496,141952497,153,-,ENSG00000114126.18,TFDP2,UTR3
INF2_ENSG00000203485.14,PAS18784_APA_0.05,6.96E-11,1.55E-07,INF2_ENSG00000203485.14,33.54729676,1,6.96E-09,1.70E-06,INF2_ENSG00000203485.14,0.013697459,0.013697459,0.013697459,0.097660975,0.097660975,0.097660975,0.083963516,chr14,104722534,104722535,35,+,ENSG00000203485.14,INF2,UTR3
ANKRD11_ENSG00000167522.17,PAS21171_AATAAA_0.3,3.70E-09,1.41E-07,ANKRD11_ENSG00000167522.17,32.37588937,1,1.27E-08,3.04E-06,ANKRD11_ENSG00000167522.17,0.298908441,0.298908441,0.298908441,0.105518937,0.105518937,0.105518937,-0.193389504,chr16,89267633,89267634,100,-,ENSG00000167522.17,ANKRD11,UTR3
BRI3BP_ENSG00000184992.13,PAS16959_APA_0.15,3.14E-06,6.37E-07,BRI3BP_ENSG00000184992.13,31.58184346,1,1.91E-08,4.48E-06,BRI3BP_ENSG00000184992.13,0.378496684,0.378496684,0.378496684,0.473717302,0.473717302,0.473717302,0.095220618,chr12,125029382,125029383,15,+,ENSG00000184992.13,BRI3BP,UTR3
IVD_ENSG00000128928.10,PAS19327_APA_0.05,1.17E-05,6.95E-07,IVD_ENSG00000128928.10,31.41248198,1,2.09E-08,4.80E-06,IVD_ENSG00000128928.10,0.100616319,0.100616319,0.100616319,0.232258664,0.232258664,0.232258664,0.131642344,chr15,40435946,40435947,57,+,ENSG00000128928.10,IVD,UTR3
RTN3_ENSG00000133318.14,PAS15091_AATAAA_0.45,3.50E-06,0,RTN3_ENSG00000133318.14,30.90124938,1,2.71E-08,5.77E-06,RTN3_ENSG00000133318.14,0.441948608,0.441948608,0.441948608,0.297688082,0.297688082,0.297688082,-0.144260526,chr11,63759045,63759046,152,+,ENSG00000133318.14,RTN3,UTR3
RTN3_ENSG00000133318.14,PAS15092_AATAAA_0.35,3.50E-06,0,RTN3_ENSG00000133318.14,30.90124938,1,2.71E-08,5.77E-06,RTN3_ENSG00000133318.14,0.558051392,0.558051392,0.558051392,0.702311918,0.702311918,0.702311918,0.144260526,chr11,63759884,63759885,672,+,ENSG00000133318.14,RTN3,UTR3
TMBIM6_ENSG00000139644.13,PAS16369_APA_0.25,3.50E-06,0,TMBIM6_ENSG00000139644.13,30.91084727,1,2.70E-08,5.77E-06,TMBIM6_ENSG00000139644.13,0.249313326,0.249313326,0.249313326,0.164154662,0.164154662,0.164154662,-0.085158664,chr12,49763000,49763001,791,+,ENSG00000139644.13,TMBIM6,UTR3
TMBIM6_ENSG00000139644.13,PAS16370_AATAAA_0.15,3.50E-06,0,TMBIM6_ENSG00000139644.13,30.91084727,1,2.70E-08,5.77E-06,TMBIM6_ENSG00000139644.13,0.750686674,0.750686674,0.750686674,0.835845338,0.835845338,0.835845338,0.085158664,chr12,49764933,49764934,3579,+,ENSG00000139644.13,TMBIM6,UTR3
EIF1_ENSG00000173812.11,PAS21539_AATAAA_0.2,1.90E-05,3.05E-07,EIF1_ENSG00000173812.11,30.88020941,1,2.74E-08,5.77E-06,EIF1_ENSG00000173812.11,0.779176019,0.779176019,0.779176019,0.670378481,0.670378481,0.670378481,-0.108797538,chr17,41690997,41690998,3863,+,ENSG00000173812.11,EIF1,UTR3
MRPS16_ENSG00000182180.14,PAS14429_AATAAA_0.25,4.88E-06,3.76E-07,MRPS16_ENSG00000182180.14,30.4732015,1,3.39E-08,6.45E-06,MRPS16_ENSG00000182180.14,0.445290049,0.445290049,0.445290049,0.642015398,0.642015398,0.642015398,0.196725349,chr10,73248849,73248850,248,-,ENSG00000182180.14,MRPS16,UTR3
EIF1_ENSG00000173812.11,PAS21540_AATAAA_0.35,1.90E-05,3.75E-07,EIF1_ENSG00000173812.11,30.47699829,1,3.38E-08,6.45E-06,EIF1_ENSG00000173812.11,0.218384215,0.218384215,0.218384215,0.328069792,0.328069792,0.328069792,0.109685577,chr17,41691640,41691641,2192,+,ENSG00000173812.11,EIF1,UTR3
C4orf3_ENSG00000164096.13,PAS7133_AATAAA_0.2,4.10E-06,0,C4orf3_ENSG00000164096.13,30.49934981,1,3.34E-08,6.45E-06,C4orf3_ENSG00000164096.13,0.130455174,0.130455174,0.130455174,0.273550558,0.273550558,0.273550558,0.143095383,chr4,119297054,119297055,148,-,ENSG00000164096.13,C4orf3,UTR3
C4orf3_ENSG00000164096.13,PAS7134_APA_0.25,4.10E-06,0,C4orf3_ENSG00000164096.13,30.49934981,1,3.34E-08,6.45E-06,C4orf3_ENSG00000164096.13,0.869544826,0.869544826,0.869544826,0.726449442,0.726449442,0.726449442,-0.143095383,chr4,119298490,119298491,924,-,ENSG00000164096.13,C4orf3,UTR3
ANKHD1_ENSG00000131503.21,PAS7796_AATAAA_0.1,4.10E-06,0,ANKHD1_ENSG00000131503.21,30.49170712,1,3.35E-08,6.45E-06,ANKHD1_ENSG00000131503.21,0.760327668,0.760327668,0.760327668,0.502018901,0.502018901,0.502018901,-0.258308767,chr5,140472475,140472476,718,+,ENSG00000131503.21,ANKHD1,UTR3
ANKHD1_ENSG00000131503.21,PAS7798_AATAAA_0.2,4.10E-06,0,ANKHD1_ENSG00000131503.21,30.49170712,1,3.35E-08,6.45E-06,ANKHD1_ENSG00000131503.21,0.239672332,0.239672332,0.239672332,0.497981099,0.497981099,0.497981099,0.258308767,chr5,140539848,140539849,265,+,ENSG00000131503.21,ANKHD1,UTR3
ERP44_ENSG00000023318.9,PAS13170_AATAAA_0.15,4.22E-06,7.84E-07,ERP44_ENSG00000023318.9,30.39321672,1,3.53E-08,6.62E-06,ERP44_ENSG00000023318.9,0.089651272,0.089651272,0.089651272,0.268794951,0.268794951,0.268794951,0.179143679,chr9,99982137,99982138,129,-,ENSG00000023318.9,ERP44,UTR3
RHOA_ENSG00000067560.14,PAS5604_AATAAA_0.2,4.76E-06,0,RHOA_ENSG00000067560.14,30.10078275,1,4.10E-08,7.46E-06,RHOA_ENSG00000067560.14,0.70192436,0.70192436,0.70192436,0.809831762,0.809831762,0.809831762,0.107907402,chr3,49359147,49359148,3410,-,ENSG00000067560.14,RHOA,UTR3
RHOA_ENSG00000067560.14,PAS5605_AATAAA_0.2,4.76E-06,0,RHOA_ENSG00000067560.14,30.10078275,1,4.10E-08,7.46E-06,RHOA_ENSG00000067560.14,0.29807564,0.29807564,0.29807564,0.190168238,0.190168238,0.190168238,-0.107907402,chr3,49359496,49359497,981,-,ENSG00000067560.14,RHOA,UTR3
INF2_ENSG00000203485.14,PAS18781_AATAAA_0.3,6.96E-11,9.72E-07,INF2_ENSG00000203485.14,29.97631906,1,4.37E-08,7.84E-06,INF2_ENSG00000203485.14,0.187963186,0.187963186,0.187963186,0.063429021,0.063429021,0.063429021,-0.124534165,chr14,104704805,104704806,118,+,ENSG00000203485.14,INF2,UTR3
TKT_ENSG00000163931.17,PAS5674_AATAAA_0.25,5.10E-06,0,TKT_ENSG00000163931.17,29.87355575,1,4.61E-08,8.03E-06,TKT_ENSG00000163931.17,0.024411764,0.024411764,0.024411764,0.003186635,0.003186635,0.003186635,-0.021225129,chr3,53224713,53224714,363,-,ENSG00000163931.17,TKT,UTR3
TKT_ENSG00000163931.17,PAS5675_APA_0.25,5.10E-06,0,TKT_ENSG00000163931.17,29.87355575,1,4.61E-08,8.03E-06,TKT_ENSG00000163931.17,0.975588236,0.975588236,0.975588236,0.996813365,0.996813365,0.996813365,0.021225129,chr3,53225649,53225650,16614,-,ENSG00000163931.17,TKT,UTR3
CYCS_ENSG00000172115.9,PAS10764_ATTAAA_0.15,4.28E-05,1.11E-06,CYCS_ENSG00000172115.9,29.71260445,1,5.01E-08,8.60E-06,CYCS_ENSG00000172115.9,0.60356067,0.60356067,0.60356067,0.71115342,0.71115342,0.71115342,0.10759275,chr7,25122826,25122827,1827,-,ENSG00000172115.9,CYCS,UTR3
ZBTB1_ENSG00000126804.14,PAS18578_AATAAA_0.35,2.91E-06,1.17E-06,ZBTB1_ENSG00000126804.14,29.61821264,1,5.26E-08,8.91E-06,ZBTB1_ENSG00000126804.14,0.0619495,0.0619495,0.0619495,0.325641043,0.325641043,0.325641043,0.263691543,chr14,64533683,64533684,50,+,ENSG00000126804.14,ZBTB1,UTR3
EXOC7_ENSG00000182473.22,PAS22618_APA_0.05,1.33E-04,1.64E-06,EXOC7_ENSG00000182473.22,28.96105871,1,7.38E-08,1.23E-05,EXOC7_ENSG00000182473.22,0.269837408,0.269837408,0.269837408,0.09357417,0.09357417,0.09357417,-0.176263238,chr17,76083576,76083577,88,-,ENSG00000182473.22,EXOC7,UTR3
MRPS25_ENSG00000131368.9,PAS5420_AATAAA_0.3,8.40E-05,1.68E-06,MRPS25_ENSG00000131368.9,28.91847623,1,7.55E-08,1.24E-05,MRPS25_ENSG00000131368.9,0.1293178,0.1293178,0.1293178,0.511109248,0.511109248,0.511109248,0.381791448,chr3,15042250,15042251,86,-,ENSG00000131368.9,MRPS25,UTR3
ZMIZ2_ENSG00000122515.16,PAS10284_ATTAAA_0.05,4.53E-05,9.57E-07,ZMIZ2_ENSG00000122515.16,28.66152537,1,8.62E-08,1.40E-05,ZMIZ2_ENSG00000122515.16,0.834819673,0.834819673,0.834819673,0.686044172,0.686044172,0.686044172,-0.148775501,chr7,44768693,44768694,618,+,ENSG00000122515.16,ZMIZ2,UTR3
