gene_name,ensembl_ID,feature_id,twostep_gene_padj,twostep_feature_padj,lr,df,pvalue,adj_pvalue,pA_usage_control,pA_usage_treatment,change_in_usage,chr,start,end,strand,mean_usage,pA_type,condition
ABI2,ENSG00000138443.17,PAS6853_AATAAA_0.2,0.2120996509711802,NA,4.525810330796503,1,0.03338726076261404,0.258389747833267,0.44832174325227453,0.5718280300564498,0.12350628680417525,chr2,203432167,203432168,+,0.5100748866543622,distal pA,SDMAi
ABLIM3,ENSG00000173210.21,PAS15637_APA_0.15,0.9875725977748063,NA,0.006561142532405029,1,0.9354412528065866,0.9887175767376349,0.751889303107883,0.746519060828772,-0.005370242279111093,chr5,149260435,149260436,+,0.7492041819683275,distal pA,SDMAi
ABRAXAS2,ENSG00000165660.8,PAS27969_AATAAA_0.2,0.7786905378691428,NA,0.01607304008484789,1,0.8991149262200067,0.9789775094883454,0.6950707388104513,0.687697344856877,-0.007373393953574392,chr10,124836666,124836667,+,0.6913840418336641,distal pA,SDMAi
ABT1,ENSG00000146109.5,PAS17486_AATAAA_0.35,0.7895734419790074,NA,0.4850264816068375,1,0.4861543054600326,0.8196419868863511,0.03814999386354867,0.05287146996177838,0.014721476098229713,chr6,26600046,26600047,+,0.04551073191266353,distal pA,SDMAi
ACACB,ENSG00000076555.16,PAS33226_AATAAA_0.25,0.8050029322708829,NA,0.4300556518238352,1,0.5119616420069876,0.834272084553525,0.8284453505244058,0.7623699991922877,-0.06607535133211817,chr12,109268222,109268223,+,0.7954076748583467,distal pA,SDMAi
ACADSB,ENSG00000196177.13,PAS27953_AATAAA_0.2,0.4413733653587626,NA,0.08158999827708158,1,0.7751541470382916,0.9398335961517142,0.3365283229148039,0.3123231996080116,-0.02420512330679231,chr10,123058288,123058289,+,0.32442576126140776,distal pA,SDMAi
ACER3,ENSG00000078124.13,PAS30308_APA_0.25,0.9808799545930005,NA,1.0349741205573082e-4,1,0.9918829669298399,1,0.44347822441365775,0.444442766743812,9.6454233015425e-4,chr11,77022926,77022927,+,0.44396049557873485,distal pA,SDMAi
ACO2,ENSG00000100412.17,PAS51084_APA_0.15,0.7249403300984462,NA,0.7255297297460856,1,0.3943360259252975,0.7627722003545067,0.9023017301074215,0.9280544215519274,0.02575269144450587,chr22,41528972,41528973,+,0.9151780758296745,distal pA,SDMAi
ACP1,ENSG00000143727.16,PAS5154_AATAAA_0.15,5.989752682643109e-9,0,44.22609438326799,1,2.9255534444821303e-11,9.97382759823716e-9,0.4635257891136959,0.709542769389972,0.24601698027627605,chr2,278279,278280,+,0.586534279251834,distal pA,SDMAi
ACP7,ENSG00000183760.11,PAS46791_AATAAA_0.45,0.7481858615409223,NA,0.6282765573309916,1,0.4279881895217397,0.7837713264170204,0.7806117705652591,0.8400238171222613,0.05941204655700216,chr19,39111481,39111482,+,0.8103177938437602,distal pA,SDMAi
ACSL3,ENSG00000123983.15,PAS7025_APA_0.25,0.5855033841415804,NA,0.7703575747964351,1,0.380106456432723,0.7526094176671131,0.25975610258158505,0.29834495404067307,0.038588851459088025,chr2,222943144,222943145,+,0.2790505283111291,distal pA,SDMAi
ACSS2,ENSG00000131069.20,PAS48995_AATAAA_0.25,0.6599532141844363,NA,1.0052978930674499,1,0.3160319596487646,0.7078482083765121,0.8978140473296466,0.9388415283184767,0.04102748098883002,chr20,34927956,34927957,+,0.9183277878240617,distal pA,SDMAi
ACTN4,ENSG00000130402.14,PAS46782_AATAAA_0.2,0.22748348637208146,NA,4.302030832026503,1,0.038066890478063324,0.2772099865898316,0.395859259659398,0.3517106986550768,-0.044148561004321185,chr19,38730529,38730530,+,0.3737849791572374,distal pA,SDMAi
ACTR10,ENSG00000131966.14,PAS36703_APA_0.2,0.8153011734958491,NA,0.39902032483996663,1,0.5275956360266977,0.8416495282178988,0.03223482813020573,0.04308870520456687,0.01085387707436114,chr14,58235632,58235633,+,0.0376617666673863,distal pA,SDMAi
ACTR2,ENSG00000138071.15,PAS5751_AATAAA_0.25,0.6519749352946962,NA,2.1962699200958014,1,0.13834514986781576,0.5164813979680691,0.8935632433109012,0.9175200469709276,0.023956803660026393,chr2,65271250,65271251,+,0.9055416451409144,distal pA,SDMAi
ACTR3,ENSG00000115091.12,PAS6208_AATAAA_0.2,0.6385532078823899,NA,0.0012597083273249154,1,0.9716871304117493,0.995042686246326,0.7085128557178318,0.7109860442693875,0.0024731885515556495,chr2,113958254,113958255,+,0.7097494499936097,distal pA,SDMAi
ACTR6,ENSG00000075089.10,PAS33123_AATAAA_0.25,0.36468407374864165,NA,2.9053474399261177,1,0.08828622726555899,0.42661248572372873,0.8427408149699458,0.9146334352410194,0.07189262027107357,chr12,100224422,100224423,+,0.8786871251054826,distal pA,SDMAi
ACVR2B,ENSG00000114739.14,PAS9431_AATAAA_0.2,0.926803946101429,NA,0.48549560189167096,1,0.4859435234767946,0.8194999149494758,0.30627623264372517,0.2615107383896238,-0.04476549425410137,chr3,38493139,38493140,+,0.2838934855166745,distal pA,SDMAi
ADAM9,ENSG00000168615.13,PAS22818_ATTAAA_0.3,0.9875725977748063,NA,0.006184479385410668,1,0.9373178085456352,0.9893017890133234,0.031184852862529477,0.032174598519689845,9.89745657160368e-4,chr8,39105257,39105258,+,0.03167972569110966,distal pA,SDMAi
ADAMTSL1,ENSG00000178031.18,PAS24853_APA_0.2,0.07708698118523517,NA,7.504304059315473,1,0.006155171995253435,0.09917941940112966,0.5567010358178774,0.7403844864374376,0.18368345061956015,chr9,18910946,18910947,+,0.6485427611276575,distal pA,SDMAi
ADAMTSL4,ENSG00000143382.16,PAS1526_ATTAAA_0.25,0.8560156444716128,NA,0.24304910874906227,1,0.6220125094097061,0.8809538461341189,0.907897780896833,0.8742246269338146,-0.0336731539630184,chr1,150560931,150560932,+,0.8910612039153238,distal pA,SDMAi
ADARB1,ENSG00000197381.18,PAS50348_AATAAA_0.15,0.9967412046676055,NA,0.1472646480219737,1,0.701163184493562,0.9106313687267373,0.8107377377226209,0.8226239334279376,0.011886195705316682,chr21,45226558,45226559,+,0.8166808355752793,distal pA,SDMAi
ADD3,ENSG00000148700.15,PAS27811_AATAAA_0.25,0.8600153923059151,NA,0.22633698283880221,1,0.634253303460114,0.8860797989396213,0.33792818341557157,0.3524599048984176,0.014531721482846038,chr10,110135563,110135564,+,0.3451940441569946,distal pA,SDMAi
ADGRL2,ENSG00000117114.21,PAS1054_AATAAA_0.3,0.4213470619086117,NA,2.4398364632816083,1,0.11828855719753337,0.4841093530227429,0.5938526457856139,0.690616458515724,0.09676381273011003,chr1,81992421,81992422,+,0.6422345521506689,distal pA,SDMAi
ADIPOR2,ENSG00000006831.10,PAS32053_AATAAA_0.25,0.8673484979577358,NA,0.2087988914743164,1,0.6477104536486683,0.8916553895581708,0.8142010809424759,0.8317471250354789,0.017546044093002977,chr12,1788670,1788671,+,0.8229741029889774,distal pA,SDMAi
ADK,ENSG00000156110.15,PAS27418_AATAAA_0.45,0.021243585682605617,1,2.934902729180976,1,0.08668388423547327,0.4231310174342714,0.20128543011675668,0.14239259799867757,-0.05889283211807911,chr10,74709022,74709023,+,0.17183901405771712,distal pA,SDMAi
ADO,ENSG00000181915.6,PAS27252_AATAAA_0.25,0.21091590983816627,NA,4.561591884964855,1,0.03269666897045262,0.25734225183002046,0.4040810845254508,0.567266350638535,0.16318526611308426,chr10,62808470,62808471,+,0.4856737175819929,distal pA,SDMAi
ADORA2B,ENSG00000170425.4,PAS42331_AATAAA_0.2,0.9960705426745304,NA,9.754283817073883e-4,1,0.9750846405991372,0.9959241267607534,0.25539369963322844,0.25808521867944256,0.002691519046214119,chr17,15976466,15976467,+,0.2567394591563355,distal pA,SDMAi
ADSL,ENSG00000239900.14,PAS51054_AATAAA_0.4,0.8736104273732831,NA,0.19560562222704903,1,0.6582914900818869,0.8972509758052345,0.01688563577800184,0.02123776926533716,0.004352133487335319,chr22,40367878,40367879,+,0.0190617025216695,distal pA,SDMAi
AEBP2,ENSG00000139154.16,PAS32284_ATTAAA_0.2,0.9755093163360337,NA,0.07822558298630611,1,0.779716603593535,0.9415761185266822,0.09565216059540321,0.10396852096431518,0.008316360368911965,chr12,19520959,19520960,+,0.0998103407798592,distal pA,SDMAi
AFAP1L1,ENSG00000157510.14,PAS15640_ATTAAA_0.35,0.7432116922948433,NA,0.6582250828387828,1,0.4171872559374489,0.7779775551294288,0.3107113773623964,0.2365122975992412,-0.0741990797631552,chr5,149341801,149341802,+,0.2736118374808188,distal pA,SDMAi
AFTPH,ENSG00000119844.17,PAS5733_AATAAA_0.2,0.41653710050102644,NA,-0.0031357470081729844,1,1,1,0.246543820534037,0.23775064716794336,-0.008793173366093643,chr2,64593001,64593002,+,0.24214723385099018,distal pA,SDMAi
AGAP1,ENSG00000157985.20,PAS7155_AATAAA_0.15,0.9298389729820234,NA,0.11557194333317966,1,0.7338876017305486,0.9227908260137102,0.30267913526206847,0.3225359942727105,0.019856859010642047,chr2,236131791,236131792,+,0.3126075647673895,distal pA,SDMAi
AGAP3,ENSG00000133612.20,PAS21139_AATAAA_0.05,0.24255287983309232,NA,4.109176459722676,1,0.042651126398561875,0.2945582761289397,0.7361611620645112,0.8686398983152888,0.13247873625077755,chr7,151144433,151144434,+,0.8024005301899,distal pA,SDMAi
AGBL5,ENSG00000084693.16,PAS5344_AATAAA_0.35,0.5621643954013587,NA,1.5463810226453916,1,0.21367049613985145,0.6184624984254103,0.2133932882838916,0.14671320468092697,-0.06668008360296462,chr2,27070612,27070613,+,0.18005324648240928,distal pA,SDMAi
AGFG1,ENSG00000173744.18,PAS7046_ATTAAA_0.3,0.6333466448751615,NA,0.5241677275250822,1,0.46906924247970655,0.8088369541228002,0.20420430817162175,0.1738445623161012,-0.030359745855520537,chr2,227556666,227556667,+,0.18902443524386148,distal pA,SDMAi
AGGF1,ENSG00000164252.13,PAS15004_AATAAA_0.4,0.9185488554649311,NA,0.13254816450046292,1,0.7158045080985671,0.9153652665118576,0.35495061322684734,0.3806779647955147,0.025727351568667345,chr5,77064090,77064091,+,0.367814289011181,distal pA,SDMAi
AGL,ENSG00000162688.17,PAS1196_AATAAA_0.15,1,NA,0.002292754536370012,1,0.961809713850045,0.9938777094143203,0.5800782096449958,0.5847840070486694,0.004705797403673606,chr1,99924019,99924020,+,0.5824311083468325,distal pA,SDMAi
AGO1,ENSG00000092847.14,PAS620_ATTAAA_0.2,0.9447615211509388,NA,0.39767459442373365,1,0.5282926432209436,0.8418161928697017,0.38350883490274934,0.4230737178735489,0.039564882970799575,chr1,35929608,35929609,+,0.4032912763881491,distal pA,SDMAi
AGO3,ENSG00000126070.20,PAS629_AATAAA_0.25,0.8153011734958491,NA,1.2708620745627854,1,0.25960501759345267,0.6602243821992893,0.5775119159738185,0.4773511325796221,-0.10016078339419637,chr1,36072032,36072033,+,0.5274315242767202,distal pA,SDMAi
AGO4,ENSG00000134698.11,PAS615_AATAAA_0.35,0.7230328587849926,NA,0.7346487159227877,1,0.39138049629283206,0.7605121238148551,0.6322236279228908,0.7491433061342199,0.11691967821132909,chr1,35857886,35857887,+,0.6906834670285553,distal pA,SDMAi
AGPAT3,ENSG00000160216.21,PAS50311_None_0.25,1.9392836632530833e-4,0.5722509755379619,6.185322934336909,1,0.012881419283717128,0.15246108000083947,0.3594919262823287,0.45317958338297465,0.09368765710064597,chr21,43985411,43985412,+,0.40633575483265166,distal pA,SDMAi
AGPAT5,ENSG00000155189.12,PAS22526_AATAAA_0.2,0.6264517430211564,NA,2.292378957848996,1,0.13001051582454268,0.5033730521539003,0.09950248756218905,0.16666644606740388,0.06716395850521484,chr8,6761448,6761449,+,0.13308446681479646,distal pA,SDMAi
AGPS,ENSG00000018510.18,PAS6621_ATTAAA_0.25,0.40517265736267366,NA,3.1000681607984006,1,0.07828901623166967,0.40183605597515076,0.3008128584273441,0.46874999725621597,0.16793713882887185,chr2,177539434,177539435,+,0.38478142784178004,distal pA,SDMAi
AHCYL1,ENSG00000168710.18,PAS1309_ATTAAA_0.15,0.9754508755052093,NA,0.014442407180467853,1,0.9043432803004396,0.9798442563513655,0.5360509557461395,0.5326591616276695,-0.003391794118470015,chr1,110023740,110023741,+,0.5343550586869045,distal pA,SDMAi
AHR,ENSG00000106546.14,PAS20113_AATAAA_0.3,0.32633039078852205,NA,4.4774531222944915,1,0.034344865404279924,0.2615742100602272,0.27076460074153097,0.15285140419159343,-0.11791319654993754,chr7,17345767,17345768,+,0.2118080024665622,distal pA,SDMAi
AIF1L,ENSG00000126878.13,PAS25648_AATAAA_0.2,0.9937381812342162,NA,0.0024812447168187646,1,0.9602721289648226,0.9938314598646868,0.6872552480576705,0.6910524589354043,0.003797210877733881,chr9,131123142,131123143,+,0.6891538534965373,distal pA,SDMAi
AIG1,ENSG00000146416.19,PAS18369_AATAAA_0.2,0.39050343162363693,NA,4.738312403869486,1,0.029497993594329027,0.24120071442154775,0.6813256385770191,0.7959834106118722,0.11465777203485306,chr6,143340301,143340302,+,0.7386545245944456,distal pA,SDMAi
AIMP1,ENSG00000164022.18,PAS13115_AATAAA_0.3,0.15469042008090586,NA,2.3065916007835767,1,0.12882626161422267,0.501713728449725,0.21766075592792936,0.16214595044530464,-0.05551480548262472,chr4,106348490,106348491,+,0.189903353186617,distal pA,SDMAi
AIMP2,ENSG00000106305.10,PAS20022_AATAAA_0.3,0.5144941473671323,NA,1.7955145983278271,1,0.18025570532816926,0.5735421507462818,0.037143881377739496,0.0591388739224028,0.021994992544663305,chr7,6024634,6024635,+,0.04814137765007115,distal pA,SDMAi
AKAP12,ENSG00000131016.17,PAS18440_AATAAA_0.25,0.5094247854539125,NA,3.375408202321978,1,0.06617618442627131,0.37170895012129357,0.40276914828968585,0.469736750037012,0.06696760174732613,chr6,151358532,151358533,+,0.4362529491633489,distal pA,SDMAi
AKAP13,ENSG00000170776.22,PAS38954_AATAAA_0.05,0.9754508755052093,NA,0.01448972834344886,1,0.9041874510047858,0.9798442563513655,0.852606017844581,0.8442030183899402,-0.008402999454640847,chr15,85749354,85749355,+,0.8484045181172606,distal pA,SDMAi
AKAP9,ENSG00000127914.19,PAS20636_ATTAAA_0.45,0.8422826133907885,NA,1.0417992887087166,1,0.30740337391104333,0.7010145182654157,0.4031619690882106,0.33783783783729143,-0.06532413125091918,chr7,92000940,92000941,+,0.370499903462751,distal pA,SDMAi
AKIP1,ENSG00000166452.12,PAS29451_AATAAA_0.35,0.8421044969633467,NA,0.291349818491085,1,0.5893568305733862,0.8661146418319587,0.6573334078921218,0.6172546936248542,-0.04007871426726761,chr11,8920076,8920077,+,0.637294050758488,distal pA,SDMAi
AKIRIN1,ENSG00000174574.16,PAS666_AATAAA_0.1,0.9929243793740504,NA,0.003156366813072964,1,0.9551971771215533,0.9933467861400523,0.6178737041125042,0.6205179269585913,0.0026442228460871187,chr1,39005884,39005885,+,0.6191958155355477,distal pA,SDMAi
ALCAM,ENSG00000170017.12,PAS9932_AATAAA_0.2,0.9159497349737917,NA,0.24313683439140732,1,0.6219496509904248,0.8809538461341189,0.6261515585058137,0.6092443938320424,-0.01690716467377129,chr3,105576898,105576899,+,0.6176979761689281,distal pA,SDMAi
ALDH16A1,ENSG00000161618.10,PAS47107_AATAAA_0.25,0.9561061870625113,NA,0.03328849658555555,1,0.8552285273798951,0.9637897737210871,0.35678478911172923,0.34960452366684835,-0.007180265444880873,chr19,49471046,49471047,+,0.3531946563892888,distal pA,SDMAi
ALDH1A3,ENSG00000184254.17,PAS39109_AATAAA_0.25,0.7475694294929572,NA,0.6404950052765344,1,0.4235316054288743,0.7817141969413117,0.9639391116841053,0.9490056488615362,-0.014933462822569132,chr15,100916622,100916623,+,0.9564723802728208,distal pA,SDMAi
ALDH3A2,ENSG00000072210.19,PAS42429_APA_0.25,0.6427518333731922,NA,1.0927850473387934,1,0.29585495526358574,0.6910791829931426,0.43031526823831695,0.36133431886129835,-0.0689809493770186,chr17,19677594,19677595,+,0.39582479354980765,distal pA,SDMAi
ALDH3B1,ENSG00000006534.17,PAS30152_APA_0.3,0.9833995698449975,NA,0.008516189211945857,1,0.926473034962712,0.9858233380701004,0.5648751397209703,0.5547851290850205,-0.01009001063594972,chr11,68030144,68030145,+,0.5598301344029954,distal pA,SDMAi
ALDH5A1,ENSG00000112294.14,PAS17429_AATAAA_0.15,0.9967412046676055,NA,4.327499945020463e-4,1,0.9834030886447684,0.9967131132368154,0.5560509990858424,0.5577213994928181,0.0016704004069756362,chr6,24537205,24537206,+,0.5568861992893303,distal pA,SDMAi
ALG1,ENSG00000033011.14,PAS40210_APA_0.25,0.8441619458015326,NA,0.930043597204758,1,0.3348515966293806,0.7218583783039966,0.48575135467180686,0.40581733985661744,-0.07993401481518941,chr16,5085391,5085392,+,0.4457843472642121,distal pA,SDMAi
ALG11,ENSG00000253710.5,PAS35566_ATTAAA_0.2,0.3892562225629664,NA,2.6999420984957965,1,0.10035189088793951,0.44984731711198095,0.5507420051336418,0.7232576650448898,0.17251565991124795,chr13,52033570,52033571,+,0.6369998350892658,distal pA,SDMAi
ALG13,ENSG00000101901.13,PAS52279_AATAAA_0.3,0.9745725549907988,NA,0.18129112105816603,1,0.6702660114617858,0.9011987103038522,0.43918673885679516,0.4067796797664618,-0.03240705909033337,chrX,111760643,111760644,+,0.42298320931162847,distal pA,SDMAi
AMD1,ENSG00000123505.19,PAS18194_AATAAA_0.2,0.5560436120215575,NA,1.5923124429818927,1,0.2069960611326152,0.6119657626594865,0.7832359457533243,0.7261617181399762,-0.05707422761334813,chr6,110895707,110895708,+,0.7546988319466503,distal pA,SDMAi
AMDHD2,ENSG00000162066.16,PAS40123_APA_0.25,0.8884190503138834,NA,0.15715947354385662,1,0.6917852998984433,0.9086309106599737,0.6393795053225326,0.6644827828819668,0.0251032775594342,chr16,2531414,2531415,+,0.6519311441022497,distal pA,SDMAi
AMOTL1,ENSG00000166025.18,PAS30416_AATAAA_0.25,0.927467294733393,NA,5.835199531247781e-4,1,0.9807280490305137,0.9967131132368154,0.3963307383312252,0.39469790454561043,-0.0016328337856147401,chr11,94876663,94876664,+,0.3955143214384178,distal pA,SDMAi
ANAPC16,ENSG00000166295.9,PAS27369_AATAAA_0.25,0.21401444893814697,NA,0.6872641731069962,1,0.40709649859948394,0.7716813758293681,0.5959618259918371,0.5602471055824629,-0.03571472040937418,chr10,72233825,72233826,+,0.57810446578715,distal pA,SDMAi
ANKDD1A,ENSG00000166839.18,PAS38680_AATAAA_0.3,0.9808799545930005,NA,0.010858073015810987,1,0.9170089851125418,0.9845504389817061,0.8478504836680373,0.8579159071581088,0.010065423490071557,chr15,64958689,64958690,+,0.8528831954130731,distal pA,SDMAi
ANKHD1,ENSG00000131503.21,PAS15518_AATAAA_0.2,1.4633531494076768e-6,0,32.636341675176936,1,1.1111752073032732e-8,2.2849642556530008e-6,0.22567911171919652,0.49473528606252176,0.26905617434332524,chr5,140539848,140539849,+,0.36020719889085917,distal pA,SDMAi
ANKRD12,ENSG00000101745.17,PAS45162_AATAAA_0.4,0.7993958202487925,NA,1.0607951749075255,1,0.3030338940665981,0.6977675504520063,0.49346435649228043,0.45314934759728165,-0.04031500889499878,chr18,9256249,9256250,+,0.47330685204478107,distal pA,SDMAi
ANKRD13D,ENSG00000172932.16,PAS30130_AATAAA_0.1,0.4403021856143717,NA,2.3063519914334165,1,0.12884612694343767,0.501713728449725,0.7279432945167853,0.6300971750821873,-0.09784611943459798,chr11,67302482,67302483,+,0.6790202347994863,distal pA,SDMAi
ANKRD33B,ENSG00000164236.12,PAS14609_AATAAA_0.3,0.8562768422019673,NA,0.018806941722687043,1,0.8909213975926283,0.9764709564985194,0.5492031412345293,0.5567475289571535,0.007544387722624224,chr5,10657814,10657815,+,0.5529753350958414,distal pA,SDMAi
ANKS1A,ENSG00000064999.16,PAS17697_AATAAA_0.2,0.8736104273732831,NA,0.19496151905616443,1,0.6588188747858087,0.8972509758052345,0.8392886759369141,0.8095689880862548,-0.02971968785065937,chr6,35091404,35091405,+,0.8244288320115845,distal pA,SDMAi
ANTXR1,ENSG00000169604.21,PAS5779_AATAAA_0.1,0.3751861185698702,NA,2.812412936435976,1,0.09353758827800975,0.4367775617000144,0.9276785512335529,0.8783810120776393,-0.04929753915591362,chr2,69249167,69249168,+,0.9030297816555961,distal pA,SDMAi
ANXA4,ENSG00000196975.16,PAS5786_APA_0.25,0.8828870213853521,NA,0.17127819642837494,1,0.6789783235647285,0.9046016782067731,0.24225981283949205,0.22019644857683252,-0.022063364262659535,chr2,69826360,69826361,+,0.23122813070816228,distal pA,SDMAi
AOX1,ENSG00000138356.14,PAS6787_AATAAA_0.35,0.9046562334244842,NA,0.11941704120590657,1,0.7296676173138139,0.9224336508965144,0.7330819504538204,0.713564967961655,-0.01951698249216538,chr2,200671491,200671492,+,0.7233234592077378,distal pA,SDMAi
AP2A2,ENSG00000183020.15,PAS29386_AATAAA_0.15,0.4218420583323133,NA,2.4250041571433485,1,0.11941292498555398,0.48437287248683986,0.10546568877402396,0.1578333148564538,0.05236762608242984,chr11,1012238,1012239,+,0.13164950181523888,distal pA,SDMAi
AP2B1,ENSG00000006125.18,PAS42660_AATAAA_0.35,1.4633531494076768e-6,2.65240974455891e-8,37.53996588514019,1,8.955896143233526e-10,2.2312237410690446e-7,0.7231451749579142,0.8570119082777921,0.13386673331987786,chr17,35726408,35726409,+,0.7900785416178531,distal pA,SDMAi
AP2M1,ENSG00000161203.14,PAS10575_AATAAA_0.1,0.9875725977748063,NA,0.005886889943212736,1,0.9388414641563179,0.989497192894099,0.992354663569427,0.9926368798456261,2.822162761990654e-4,chr3,184184089,184184090,+,0.9924957717075266,distal pA,SDMAi
AP3M2,ENSG00000070718.13,PAS22840_AATAAA_0.15,0.18800098664012774,NA,0.3994991024956107,1,0.5273480545923322,0.8416495282178988,0.38306375562735906,0.338984439541871,-0.04407931608548804,chr8,42171181,42171182,+,0.36102409758461507,distal pA,SDMAi
AP5M1,ENSG00000053770.12,PAS36691_ATTAAA_0.25,0.9561061870625113,NA,0.2771434942999349,1,0.5985796132256758,0.8694689113335907,0.6180355159676668,0.5836009554834362,-0.03443456048423066,chr14,57290066,57290067,+,0.6008182357255515,distal pA,SDMAi
AP5Z1,ENSG00000242802.9,PAS19983_AATAAA_0.15,0.13767399542114273,NA,1.8145152032002443,1,0.17796753664186646,0.5699800833610333,0.04778095711460628,0.07143233991793974,0.023651382803333454,chr7,4794394,4794395,+,0.05960664851627301,distal pA,SDMAi
APBA2,ENSG00000034053.15,PAS38226_AATAAA_0.25,0.408875468394717,NA,2.5244253443595426,1,0.1120956104688001,0.47256707895323963,0.17187961618364433,0.2730589893904737,0.10117937320682935,chr15,29118310,29118311,+,0.222469302787059,distal pA,SDMAi
APBB1IP,ENSG00000077420.16,PAS27070_AATAAA_0.3,0.4218420583323133,NA,2.4328932849948615,1,0.11881342244155312,0.48433854239468865,0.04773078323649538,0.0199954138393863,-0.027735369397109078,chr10,26568446,26568447,+,0.03386309853794084,distal pA,SDMAi
APEH,ENSG00000164062.13,PAS9616_APA_0.3,0.6768356793961259,NA,0.9354091746627091,1,0.33346128773674394,0.7209229771984298,0.01544151945407879,0.027475696216697987,0.012034176762619198,chr3,49683970,49683971,+,0.021458607835388388,distal pA,SDMAi
APEX2,ENSG00000169188.5,PAS52009_AATAAA_0.05,0.42523154503106886,NA,2.406161268901542,1,0.12085840876367035,0.48639015930128116,0.15948560265079814,0.057568294151531973,-0.10191730849926617,chrX,55009056,55009057,+,0.10852694840116506,distal pA,SDMAi
APH1B,ENSG00000138613.14,PAS38652_AATAAA_0.1,0.9967412046676055,NA,5.15647815234388e-4,1,0.9818832901064329,0.9967131132368154,0.5017272061390571,0.4988357763592027,-0.002891429779854404,chr15,63309117,63309118,+,0.5002814912491299,distal pA,SDMAi
API5,ENSG00000166181.13,PAS29757_AATAAA_0.05,0.7787179993627754,NA,-0.00963169548094811,1,1,1,0.8922919785267301,0.9053207057331369,0.013028727206406798,chr11,43344528,43344529,+,0.8988063421299335,distal pA,SDMAi
APLP2,ENSG00000084234.18,PAS30723_AATAAA_0.2,0.08374608302846549,NA,8.598382317939468,1,0.0033646173656338672,0.0685355628487213,0.6945843893535786,0.7670571975432118,0.0724728081896332,chr11,130144803,130144804,+,0.7308207934483952,distal pA,SDMAi
APOBEC3C,ENSG00000244509.4,PAS51015_AATAAA_0.2,0.8160274280529297,NA,0.3925071687790478,1,0.5309844628627056,0.842796338689825,0.27817470265732347,0.30066154787683386,0.022486845219510387,chr22,39020350,39020351,+,0.28941812526707866,distal pA,SDMAi
APOBEC3F,ENSG00000128394.17,PAS51021_ATTAAA_0.3,0.48563786879428583,NA,1.9893653293498232,1,0.1584072555676056,0.5459340239102936,0.47932193896605374,0.6433816777604725,0.16405973879441876,chr22,39055967,39055968,+,0.5613518083632631,distal pA,SDMAi
