gene_name,ensembl_ID,feature_id,chr,start,end,strand,pA_type,APA_and_gene_class_96hrs,log2FoldChange_24hrs,log2FoldChange_48hrs,log2FoldChange_72hrs,log2FoldChange_96hrs,prox_to_dist_shift_24hrs,prox_to_dist_shift_48hrs,prox_to_dist_shift_72hrs,prox_to_dist_shift_96hrs
AGO3,ENSG00000126070,PAS630_AATAAA_0.15,chr1,36072496,36072497,+,distal pA,up_not_lengthened,0.2987702211118234,0.5457108249610667,0.8356436063514187,0.950950310867332,0.057980487868398226,0.15367250576976627,-0.094614295,0.011385432512747935
AHNAK2,ENSG00000185567,PAS38152_APA_0.35,chr14,104937728,104937729,-,proximal pA,up_not_lengthened,1.0542123217958674,2.282573206528435,1.733361788267847,1.487481136115272,-0.032867814076615653,-0.009140067344198144,0.011258652,0.07032381497756401
AHNAK2,ENSG00000185567,PAS38151_AATAAA_0.2,chr14,104937253,104937254,-,distal pA,up_not_lengthened,1.0542123217958674,2.282573206528435,1.733361788267847,1.487481136115272,-0.032867814076615653,-0.009140067344198144,0.011258652,0.07032381497756401
AKAP13,ENSG00000170776,PAS38954_AATAAA_0.05,chr15,85749354,85749355,+,distal pA,up_not_lengthened,0.5913471875181561,1.545736268526354,1.7346345645232764,1.3942219478826663,NA,0.2821808074630669,0.197135194,0.03367248223480903
AKAP13,ENSG00000170776,PAS38952_APA_0.1,chr15,85745383,85745384,+,proximal pA,up_not_lengthened,0.5913471875181561,1.545736268526354,1.7346345645232764,1.3942219478826663,NA,0.2821808074630669,0.197135194,0.03367248223480903
AKAP9,ENSG00000127914,PAS20635_ATTAAA_0.3,chr7,91995799,91995800,+,proximal pA,up_not_lengthened,0.3464983043168285,0.7608269598062521,0.661745372829204,0.7122877317698463,-0.03660501570282931,0.00341216681638265,0.054943238444262486,1.7281546774819499e-4
AKAP9,ENSG00000127914,PAS20636_ATTAAA_0.45,chr7,92000940,92000941,+,distal pA,up_not_lengthened,0.3464983043168285,0.7608269598062521,0.661745372829204,0.7122877317698463,-0.03660501570282931,0.00341216681638265,0.054943238444262486,1.7281546774819499e-4
AKR1C1,ENSG00000187134,PAS26844_AATAAA_0.35,chr10,4983279,4983280,+,distal pA,up_not_lengthened,-0.2946759896919566,0.4092538918055994,0.13690048730924853,0.9509493432745312,NA,NA,NA,-0.18540726806438068
AKR1C1,ENSG00000187134,PAS26843_ATTAAA_0.2,chr10,4977964,4977965,+,proximal pA,up_not_lengthened,-0.2946759896919566,0.4092538918055994,0.13690048730924853,0.9509493432745312,NA,NA,NA,-0.18540726806438068
ANGEL2,ENSG00000174606,PAS4815_AATAAA_0.15,chr1,212992182,212992183,-,distal pA,up_not_lengthened,0.19721664899639177,0.4491266933325232,0.6686453170586046,0.6398130862825511,-0.08459381642090749,0.08681279592861708,-0.010091089737417056,0.13417968344286163
ANGEL2,ENSG00000174606,PAS4816_ATTAAA_0.3,chr1,212992458,212992459,-,proximal pA,up_not_lengthened,0.19721664899639177,0.4491266933325232,0.6686453170586046,0.6398130862825511,-0.08459381642090749,0.08681279592861708,-0.010091089737417056,0.13417968344286163
AOX1,ENSG00000138356,PAS6787_AATAAA_0.35,chr2,200671491,200671492,+,distal pA,up_not_lengthened,0.21296598267631384,0.7039289707013391,0.9891785058600118,1.9722768954881496,-0.05376170653726947,0.009697600574554627,0.118232404,0.06811643933116557
AOX1,ENSG00000138356,PAS6786_APA_0.3,chr2,200671063,200671064,+,proximal pA,up_not_lengthened,0.21296598267631384,0.7039289707013391,0.9891785058600118,1.9722768954881496,-0.05376170653726947,0.009697600574554627,0.118232404,0.06811643933116557
AP1S1,ENSG00000106367,PAS20777_AATAAA_0.05,chr7,101161274,101161275,+,distal pA,up_not_lengthened,0.2987630815994464,0.3910108728940721,0.6005335350179671,1.003685037851913,-0.0583216752965864,-0.017533968821508948,0.03671047421144283,0.025445496823450722
AP1S1,ENSG00000106367,PAS20776_APA_0.3,chr7,101160914,101160915,+,proximal pA,up_not_lengthened,0.2987630815994464,0.3910108728940721,0.6005335350179671,1.003685037851913,-0.0583216752965864,-0.017533968821508948,0.03671047421144283,0.025445496823450722
APOBEC3C,ENSG00000244509,PAS51015_AATAAA_0.2,chr22,39020350,39020351,+,distal pA,up_not_lengthened,0.06697936385331084,0.2515513859695123,0.5281998185782275,0.7478007206386698,0.005102924423007138,-0.023826356726407153,0.012107578,0.09205709183813704
APOBEC3C,ENSG00000244509,PAS51014_AATAAA_0.4,chr22,39019013,39019014,+,proximal pA,up_not_lengthened,0.06697936385331084,0.2515513859695123,0.5281998185782275,0.7478007206386698,0.005102924423007138,-0.023826356726407153,0.012107578,0.09205709183813704
APOL1,ENSG00000100342,PAS50948_AATAAA_0.2,chr22,36267522,36267523,+,distal pA,up_not_lengthened,0.10648643679876205,1.381404826033544,1.8230686398085707,1.4148662432801788,0.04834195691107904,-0.1285797450161617,-0.028905491588112966,-0.1823429187760317
APOL1,ENSG00000100342,PAS50947_None_0.1,chr22,36266113,36266114,+,proximal pA,up_not_lengthened,0.10648643679876205,1.381404826033544,1.8230686398085707,1.4148662432801788,0.04834195691107904,-0.1285797450161617,-0.028905491588112966,-0.1823429187760317
ARFIP2,ENSG00000132254,PAS30863_AATAAA_0.25,chr11,6476519,6476520,-,proximal pA,up_not_lengthened,0.1959890814774647,0.2093626497261713,0.736826942486134,0.6254770317530454,-0.07241571768818289,-0.03399832058282959,0.127995112,0.12018992917122207
ARFIP2,ENSG00000132254,PAS30862_AATAAA_0.4,chr11,6474699,6474700,-,distal pA,up_not_lengthened,0.1959890814774647,0.2093626497261713,0.736826942486134,0.6254770317530454,-0.07241571768818289,-0.03399832058282959,0.127995112,0.12018992917122207
ARHGEF19,ENSG00000142632,PAS2789_ATTAAA_0.05,chr1,16197855,16197856,-,distal pA,up_not_lengthened,0.4162866473899702,1.100019548520154,1.4759601001593745,1.3068457571422836,0.054904119529653725,0.01638179506591536,0.135580266,0.13595633572820867
ARHGEF19,ENSG00000142632,PAS2790_AATAAA_0.15,chr1,16198103,16198104,-,proximal pA,up_not_lengthened,0.4162866473899702,1.100019548520154,1.4759601001593745,1.3068457571422836,0.054904119529653725,0.01638179506591536,0.135580266,0.13595633572820867
ARIH1,ENSG00000166233,PAS38774_AATAAA_0.25,chr15,72586553,72586554,+,distal pA,up_not_lengthened,0.4661069761588175,0.6122265484149066,0.4612370779872314,0.7122524858632125,-0.09708069082130885,-0.13274415774756718,-0.16784543899999999,-0.04841239699845262
ARIH1,ENSG00000166233,PAS38772_APA_0.25,chr15,72584001,72584002,+,proximal pA,up_not_lengthened,0.4661069761588175,0.6122265484149066,0.4612370779872314,0.7122524858632125,-0.09708069082130885,-0.13274415774756718,-0.16784543899999999,-0.04841239699845262
ASAP2,ENSG00000151693,PAS5183_AATAAA_0.15,chr2,9403678,9403679,+,proximal pA,up_not_lengthened,0.4232902087658224,0.5215827270351583,0.4843736802003424,0.715903347853379,-0.08476588778071555,-0.08612810477693235,-0.004424768,0.09206832142624477
ASAP2,ENSG00000151693,PAS5184_AATAAA_0.25,chr2,9405676,9405677,+,distal pA,up_not_lengthened,0.4232902087658224,0.5215827270351583,0.4843736802003424,0.715903347853379,-0.08476588778071555,-0.08612810477693235,-0.004424768,0.09206832142624477
ATAD1,ENSG00000138138,PAS28855_AATAAA_0.15,chr10,87753117,87753118,-,proximal pA,up_not_lengthened,0.3413976419111296,0.31332802473455285,0.13988478163988202,0.5889180138665894,0.07794817857736969,0.023229872512439215,-0.064345649,0.030082664764924258
ATAD1,ENSG00000138138,PAS28854_AATAAA_0.15,chr10,87751851,87751852,-,distal pA,up_not_lengthened,0.3413976419111296,0.31332802473455285,0.13988478163988202,0.5889180138665894,0.07794817857736969,0.023229872512439215,-0.064345649,0.030082664764924258
ATE1,ENSG00000107669,PAS29235_AATAAA_0.35,chr10,121740649,121740650,-,proximal pA,up_not_lengthened,-0.05726099537131796,0.3139251979585981,0.3903796792772156,0.6167054113946013,0.1221915577965356,-0.04852978989676543,0.07809588950654034,0.09028586459844348
ATE1,ENSG00000107669,PAS29234_AATAAA_0.1,chr10,121740424,121740425,-,distal pA,up_not_lengthened,-0.05726099537131796,0.3139251979585981,0.3903796792772156,0.6167054113946013,0.1221915577965356,-0.04852978989676543,0.07809588950654034,0.09028586459844348
ATP6V0E1,ENSG00000113732,PAS15814_ATTAAA_0.3,chr5,173035435,173035436,+,distal pA,up_not_lengthened,0.20283864371951169,-0.0028879652027447807,0.4350897719024293,0.6194493349385393,0.007511891070188126,0.022803532980027907,0.011698832,0.015695680359662845
ATP6V0E1,ENSG00000113732,PAS15813_AATAAA_0.15,chr5,173034888,173034889,+,proximal pA,up_not_lengthened,0.20283864371951169,-0.0028879652027447807,0.4350897719024293,0.6194493349385393,0.007511891070188126,0.022803532980027907,0.011698832,0.015695680359662845
ATP6V1B2,ENSG00000147416,PAS22626_AATAAA_0.35,chr8,20221688,20221689,+,distal pA,up_not_lengthened,0.27569118536743925,0.20793711877533136,0.4603087045037013,0.5855083586715281,0.03544928437499094,-0.009101880605629518,-0.014397498,0.029893743124731125
ATP6V1B2,ENSG00000147416,PAS22625_ATTAAA_0.25,chr8,20220533,20220534,+,proximal pA,up_not_lengthened,0.27569118536743925,0.20793711877533136,0.4603087045037013,0.5855083586715281,0.03544928437499094,-0.009101880605629518,-0.014397498,0.029893743124731125
ATP6V1G1,ENSG00000136888,PAS25418_APA_0.1,chr9,114598371,114598372,+,distal pA,up_not_lengthened,0.20599278665953177,0.47374522880958125,0.8616487683611749,1.077519123388654,0.04856989164995168,-0.00893228456413564,0.013240365,0.13418317238821825
ATP6V1G1,ENSG00000136888,PAS25417_ATTAAA_0.3,chr9,114597856,114597857,+,proximal pA,up_not_lengthened,0.20599278665953177,0.47374522880958125,0.8616487683611749,1.077519123388654,0.04856989164995168,-0.00893228456413564,0.013240365,0.13418317238821825
B2M,ENSG00000166710,PAS38488_AATAAA_0.2,chr15,44718143,44718144,+,distal pA,up_not_lengthened,0.3609544103032309,0.6663889245971788,0.6652049885072278,0.6006520632668699,0.017602069821430616,8.985353003680974e-4,0.01568418,0.08923598382499114
B2M,ENSG00000166710,PAS38487_APA_0.15,chr15,44717751,44717752,+,proximal pA,up_not_lengthened,0.3609544103032309,0.6663889245971788,0.6652049885072278,0.6006520632668699,0.017602069821430616,8.985353003680974e-4,0.01568418,0.08923598382499114
BCAT1,ENSG00000060982,PAS33918_AATAAA_0.2,chr12,24811362,24811363,-,distal pA,up_not_lengthened,0.668782944722485,0.6844067011436605,-0.08946670981019968,0.6248781290619937,-0.008997679943808345,-0.06235787953679417,-0.050334531260671396,0.0012266343105090081
BCAT1,ENSG00000060982,PAS33920_AATAAA_0.15,chr12,24814972,24814973,-,proximal pA,up_not_lengthened,0.668782944722485,0.6844067011436605,-0.08946670981019968,0.6248781290619937,-0.008997679943808345,-0.06235787953679417,-0.050334531260671396,0.0012266343105090081
BECN1,ENSG00000126581,PAS44330_ATTAAA_0.45,chr17,42810672,42810673,-,proximal pA,up_not_lengthened,-0.1893287107208139,0.10440940554921609,0.4685429794630425,0.6338362524244299,-0.04524501273120418,-0.08503640781773514,0.038001497943344245,0.0851168822477384
BECN1,ENSG00000126581,PAS44329_AATAAA_0.3,chr17,42810140,42810141,-,distal pA,up_not_lengthened,-0.1893287107208139,0.10440940554921609,0.4685429794630425,0.6338362524244299,-0.04524501273120418,-0.08503640781773514,0.038001497943344245,0.0851168822477384
BMP1,ENSG00000168487,PAS22637_None_0.1,chr8,22212118,22212119,+,proximal pA,up_not_lengthened,0.3276048010053201,1.2379145568940575,1.3335291571935093,0.6851434236268181,-4.0555817912063183e-4,0.01563118192531332,0.167955876,-0.02901864505908275
BMP1,ENSG00000168487,PAS22638_AATAAA_0.25,chr8,22212323,22212324,+,distal pA,up_not_lengthened,0.3276048010053201,1.2379145568940575,1.3335291571935093,0.6851434236268181,-4.0555817912063183e-4,0.01563118192531332,0.167955876,-0.02901864505908275
C10orf88,ENSG00000119965,PAS29245_AATAAA_0.1,chr10,122930900,122930901,-,distal pA,up_not_lengthened,0.028845552442003444,0.2131858158923381,0.7090118347748251,0.8833776610967137,0.0678649774228009,-0.4678038559347706,-0.22121631958762705,-0.4010132593744262
C10orf88,ENSG00000119965,PAS29246_AATAAA_0.25,chr10,122931509,122931510,-,proximal pA,up_not_lengthened,0.028845552442003444,0.2131858158923381,0.7090118347748251,0.8833776610967137,0.0678649774228009,-0.4678038559347706,-0.22121631958762705,-0.4010132593744262
C11orf54,ENSG00000182919,PAS30396_ATTAAA_0.3,chr11,93762315,93762316,+,proximal pA,up_not_lengthened,-0.05655600703793514,0.2811733584623929,0.4431163523314414,0.736023253206437,0.35299423138052227,0.07841814981762157,0.17533587,0.09208529305701968
C11orf54,ENSG00000182919,PAS30397_AATAAA_0.3,chr11,93763082,93763083,+,distal pA,up_not_lengthened,-0.05655600703793514,0.2811733584623929,0.4431163523314414,0.736023253206437,0.35299423138052227,0.07841814981762157,0.17533587,0.09208529305701968
CALD1,ENSG00000122786,PAS21014_AATAAA_0.25,chr7,134970636,134970637,+,distal pA,up_not_lengthened,0.4908939227384917,1.1974343565384156,1.2409873672982057,1.052040264572309,0.0794452694263317,-0.11740744995800947,0.10836884,0.05863960823663003
CALD1,ENSG00000122786,PAS21013_AATAAA_0.3,chr7,134968782,134968783,+,proximal pA,up_not_lengthened,0.4908939227384917,1.1974343565384156,1.2409873672982057,1.052040264572309,0.0794452694263317,-0.11740744995800947,0.10836884,0.05863960823663003
CALU,ENSG00000128595,PAS20956_AATAAA_0.25,chr7,128771472,128771473,+,distal pA,up_not_lengthened,0.3893274906066228,0.5364821531541786,1.0348275385401116,1.595724142119395,0.03516231283127802,-0.11116856361934593,-0.09068765889350613,-0.0783927737947121
CALU,ENSG00000128595,PAS20954_None_0.05,chr7,128770557,128770558,+,proximal pA,up_not_lengthened,0.3893274906066228,0.5364821531541786,1.0348275385401116,1.595724142119395,0.03516231283127802,-0.11116856361934593,-0.09068765889350613,-0.0783927737947121
CBX5,ENSG00000094916,PAS34308_AATAAA_0.3,chr12,54230948,54230949,-,distal pA,up_not_lengthened,1.0944467464702825,1.0732400163460063,0.8228931050223304,0.8328642481979506,-2.904163634052104e-4,-0.00495264445320167,0.034293222,0.0400520334339265
CBX5,ENSG00000094916,PAS34309_None_0.25,chr12,54234257,54234258,-,proximal pA,up_not_lengthened,1.0944467464702825,1.0732400163460063,0.8228931050223304,0.8328642481979506,-2.904163634052104e-4,-0.00495264445320167,0.034293222,0.0400520334339265
CCN2,ENSG00000118523,PAS19617_AATAAA_0.25,chr6,131948180,131948181,-,distal pA,up_not_lengthened,0.6026598657683772,0.4705994275832428,-0.32106163291672424,1.4472935685580262,0.03651142214135916,0.0032941169436715434,0.025093242272774728,0.058762776676434925
CCN2,ENSG00000118523,PAS19618_None_0.25,chr6,131948611,131948612,-,proximal pA,up_not_lengthened,0.6026598657683772,0.4705994275832428,-0.32106163291672424,1.4472935685580262,0.03651142214135916,0.0032941169436715434,0.025093242272774728,0.058762776676434925
CCND1,ENSG00000110092,PAS30199_AATAAA_0.05,chr11,69654472,69654473,+,distal pA,up_not_lengthened,0.18989351852297184,0.3270908013064758,1.0397773142843203,1.1818084084657754,-0.17589134943095963,-0.06514824641313008,0.16480598653422993,0.16417205780717092
CCND1,ENSG00000110092,PAS30195_APA_0.15,chr11,69651607,69651608,+,proximal pA,up_not_lengthened,0.18989351852297184,0.3270908013064758,1.0397773142843203,1.1818084084657754,-0.17589134943095963,-0.06514824641313008,0.16480598653422993,0.16417205780717092
CD46,ENSG00000117335,PAS2172_AATAAA_0.15,chr1,207795222,207795223,+,proximal pA,up_not_lengthened,0.4108639982767088,0.4692027008689013,0.6571582874144396,0.6367097193777432,0.10462119404959888,0.07100055857853907,0.059741578019726835,0.13127692597131027
CD46,ENSG00000117335,PAS2173_AATAAA_0.25,chr1,207795502,207795503,+,distal pA,up_not_lengthened,0.4108639982767088,0.4692027008689013,0.6571582874144396,0.6367097193777432,0.10462119404959888,0.07100055857853907,0.059741578019726835,0.13127692597131027
CD9,ENSG00000010278,PAS32088_APA_0.15,chr12,6237982,6237983,+,proximal pA,up_not_lengthened,0.4925884598820443,0.9835972659365124,0.9244088216454304,0.7275662095683788,0.04950904798356048,0.00268833372115565,-0.017982444,0.13592916990149506
CD9,ENSG00000010278,PAS32089_AATAAA_0.05,chr12,6238258,6238259,+,distal pA,up_not_lengthened,0.4925884598820443,0.9835972659365124,0.9244088216454304,0.7275662095683788,0.04950904798356048,0.00268833372115565,-0.017982444,0.13592916990149506
CDCP1,ENSG00000163814,PAS11118_AATAAA_0.15,chr3,45082286,45082287,-,distal pA,up_not_lengthened,0.21538424592562455,0.5141157784748028,0.8682787480257563,0.7221350133173657,0.04674706809452557,-0.01341708957871586,0.0025991413063009023,0.018954158467112278
CDCP1,ENSG00000163814,PAS11119_AATAAA_0.35,chr3,45082516,45082517,-,proximal pA,up_not_lengthened,0.21538424592562455,0.5141157784748028,0.8682787480257563,0.7221350133173657,0.04674706809452557,-0.01341708957871586,0.0025991413063009023,0.018954158467112278
CELF2,ENSG00000048740,PAS26919_ATTAAA_0.05,chr10,11334356,11334357,+,distal pA,up_not_lengthened,0.15980891154333957,0.615915021423775,1.017887760461,1.3508310712841085,0.031355916915039805,0.06487507082215754,-0.028455098999999998,0.0456005459687745
CELF2,ENSG00000048740,PAS26917_AATAAA_0.45,chr10,11333559,11333560,+,proximal pA,up_not_lengthened,0.15980891154333957,0.615915021423775,1.017887760461,1.3508310712841085,0.031355916915039805,0.06487507082215754,-0.028455098999999998,0.0456005459687745
CEP135,ENSG00000174799,PAS12858_AATAAA_0.4,chr4,56033103,56033104,+,proximal pA,up_not_lengthened,0.019799105419073555,0.29776909267036206,0.8345009042137221,0.6495815604098432,-0.10028462342992944,-0.13730505704523976,0.05232287573243192,-0.08011585656294656
CEP135,ENSG00000174799,PAS12859_AATAAA_0.15,chr4,56033359,56033360,+,distal pA,up_not_lengthened,0.019799105419073555,0.29776909267036206,0.8345009042137221,0.6495815604098432,-0.10028462342992944,-0.13730505704523976,0.05232287573243192,-0.08011585656294656
CHD3,ENSG00000170004,PAS42270_APA_0.05,chr17,7912754,7912755,+,distal pA,up_not_lengthened,0.7468889957980613,1.2980966510293066,0.9910856178412396,0.6118509952221858,0.06705621727747157,0.13945516093678612,0.11571358,0.14905790552974318
CHD3,ENSG00000170004,PAS42269_AATAAA_0.15,chr17,7912202,7912203,+,proximal pA,up_not_lengthened,0.7468889957980613,1.2980966510293066,0.9910856178412396,0.6118509952221858,0.06705621727747157,0.13945516093678612,0.11571358,0.14905790552974318
CHD9,ENSG00000177200,PAS40589_AATAAA_0.2,chr16,53326986,53326987,+,proximal pA,up_not_lengthened,0.34817519154738424,0.785188581267587,0.9450804406331046,0.8773067949101095,-0.061883317445753205,0.001653326298025004,-0.129370971,-0.03690072749007384
CHD9,ENSG00000177200,PAS40590_ATTAAA_0.2,chr16,53327493,53327494,+,distal pA,up_not_lengthened,0.34817519154738424,0.785188581267587,0.9450804406331046,0.8773067949101095,-0.061883317445753205,0.001653326298025004,-0.129370971,-0.03690072749007384
CHML,ENSG00000203668,PAS5078_AATAAA_0.35,chr1,241633241,241633242,-,proximal pA,up_not_lengthened,0.25202729336535684,0.907180044486208,1.128543130815173,1.106627225718012,0.07424133300028912,NA,NA,0.08819931060009356
CHML,ENSG00000203668,PAS5077_AATAAA_0.3,chr1,241628866,241628867,-,distal pA,up_not_lengthened,0.25202729336535684,0.907180044486208,1.128543130815173,1.106627225718012,0.07424133300028912,NA,NA,0.08819931060009356
CHP1,ENSG00000187446,PAS38355_AATAAA_0.35,chr15,41281882,41281883,+,distal pA,up_not_lengthened,0.3329035796323653,0.23944110591778267,0.4163273595930237,0.6307467113660127,-0.001256401490907215,0.004793575391947337,0.0054814420000000004,-0.0015153103244046062
CHP1,ENSG00000187446,PAS38354_None_0.2,chr15,41280864,41280865,+,proximal pA,up_not_lengthened,0.3329035796323653,0.23944110591778267,0.4163273595930237,0.6307467113660127,-0.001256401490907215,0.004793575391947337,0.0054814420000000004,-0.0015153103244046062
CITED2,ENSG00000164442,PAS19705_None_0,chr6,139372953,139372955,-,proximal pA,up_not_lengthened,1.1051830272037912,1.4317546039013211,0.57954432575397,1.6624143920913503,-0.005404200314557905,0.03695547033286395,NA,0.009791214335371112
CITED2,ENSG00000164442,PAS19704_AATAAA_0.25,chr6,139372257,139372258,-,distal pA,up_not_lengthened,1.1051830272037912,1.4317546039013211,0.57954432575397,1.6624143920913503,-0.005404200314557905,0.03695547033286395,NA,0.009791214335371112
COLGALT1,ENSG00000130309,PAS46445_None_0.2,chr19,17581860,17581861,+,proximal pA,up_not_lengthened,0.40746972582253593,0.33872848123968147,0.3476099831226898,0.5873462510699352,NA,0.0026739952781751723,-0.004602084,0.015504823863582158
COLGALT1,ENSG00000130309,PAS46446_AATAAA_0.2,chr19,17583155,17583156,+,distal pA,up_not_lengthened,0.40746972582253593,0.33872848123968147,0.3476099831226898,0.5873462510699352,NA,0.0026739952781751723,-0.004602084,0.015504823863582158
COMT,ENSG00000093010,PAS50710_APA_0.3,chr22,19969026,19969027,+,proximal pA,up_not_lengthened,0.4901141085899204,1.2008843483012666,0.933224487228715,1.119091085006672,-0.024149287918993956,0.00441755534474042,0.030015029696313117,-0.009186077315233132
COMT,ENSG00000093010,PAS50711_None_0.15,chr22,19969950,19969951,+,distal pA,up_not_lengthened,0.4901141085899204,1.2008843483012666,0.933224487228715,1.119091085006672,-0.024149287918993956,0.00441755534474042,0.030015029696313117,-0.009186077315233132
CPEB4,ENSG00000113742,PAS15824_AATAAA_0.3,chr5,173960308,173960309,+,distal pA,up_not_lengthened,0.01801321295648965,0.9075595526386322,1.3660642519101576,1.0186805808179848,NA,0.12360140086376835,-0.089059218,-0.09108291758892319
CPEB4,ENSG00000113742,PAS15823_AATAAA_0.2,chr5,173959735,173959736,+,proximal pA,up_not_lengthened,0.01801321295648965,0.9075595526386322,1.3660642519101576,1.0186805808179848,NA,0.12360140086376835,-0.089059218,-0.09108291758892319
CYFIP2,ENSG00000055163,PAS15712_APA_0.3,chr5,157393223,157393224,+,proximal pA,up_not_lengthened,0.00475571771817767,0.965314883382617,1.2917905435585515,1.3452041610259131,-0.11036110153355928,0.050783721974091534,0.10523129,0.029157108575745716
CYFIP2,ENSG00000055163,PAS15713_ATTAAA_0.35,chr5,157395586,157395587,+,distal pA,up_not_lengthened,0.00475571771817767,0.965314883382617,1.2917905435585515,1.3452041610259131,-0.11036110153355928,0.050783721974091534,0.10523129,0.029157108575745716
DDHD2,ENSG00000085788,PAS22806_APA_0.35,chr8,38262760,38262761,+,distal pA,up_not_lengthened,0.3251929593140566,0.30820750113507595,0.34372747697101697,0.6480088123086606,-0.09263288921915236,-0.14816486915053917,-0.129219136,0.0189550763953166
DDHD2,ENSG00000085788,PAS22804_APA_0.1,chr8,38260812,38260813,+,proximal pA,up_not_lengthened,0.3251929593140566,0.30820750113507595,0.34372747697101697,0.6480088123086606,-0.09263288921915236,-0.14816486915053917,-0.129219136,0.0189550763953166
DGKG,ENSG00000058866,PAS12257_AATAAA_0.25,chr3,186147202,186147203,-,distal pA,up_not_lengthened,0.011866342588244752,0.7854701499052384,2.049997720353857,1.497358100063961,-0.3006798568763863,-0.2686112225025424,-0.217686469,0.1749299032952478
DGKG,ENSG00000058866,PAS12259_None_0.15,chr3,186149207,186149208,-,proximal pA,up_not_lengthened,0.011866342588244752,0.7854701499052384,2.049997720353857,1.497358100063961,-0.3006798568763863,-0.2686112225025424,-0.217686469,0.1749299032952478
DNAJB4,ENSG00000162616,PAS1040_AATAAA_0.3,chr1,78017206,78017207,+,proximal pA,up_not_lengthened,0.2855629992659968,0.4619791049689045,1.1699873292565262,1.1227516047570032,-0.00979595915652793,-0.06850409829173021,-0.16689111699999998,-0.06662504037788841
DNAJB4,ENSG00000162616,PAS1041_APA_0.25,chr1,78017961,78017962,+,distal pA,up_not_lengthened,0.2855629992659968,0.4619791049689045,1.1699873292565262,1.1227516047570032,-0.00979595915652793,-0.06850409829173021,-0.16689111699999998,-0.06662504037788841
DOCK4,ENSG00000128512,PAS22158_AATAAA_0.35,chr7,111726742,111726743,-,proximal pA,up_not_lengthened,0.05781810816562415,0.3871401585368706,0.06795874378480499,0.7357620285621875,0.13337052808958716,0.0204114986632411,0.020415702307972083,0.05754441141097422
